COD_Ateneo,exemptions,enrolments,exemptions_per_1000
6307.0,308640.0,207184.0,1489.6903235771101
9201.0,307627.0,49973.0,6155.864166649991
8701.0,303356.0,79172.0,3831.6071338351944
9001.0,295567.0,24381.0,12122.841556950083
8201.0,286111.0,88018.0,3250.596468904088
8301.0,280052.0,50813.0,5511.424241827878
8601.0,279797.0,11047.0,25327.87182040373
7801.0,261619.0,46694.0,5602.839765280335
5801.0,261386.0,224872.0,1162.37681881248
7901.0,259206.0,23625.0,10971.68253968254
8001.0,258685.0,9734.0,26575.40579412369
8003.0,256539.0,554.0,463066.7870036101
7201.0,254277.0,81061.0,3136.859895634152
7501.0,248073.0,38995.0,6361.661751506604
7601.0,246779.0,11137.0,22158.48073987609
6301.0,242491.0,144500.0,1678.1384083044984
7202.0,236767.0,20845.0,11358.45526505157
7101.0,234345.0,26651.0,8793.10344827586
7203.0,233392.0,4297.0,54315.10356062369
6901.0,233156.0,41465.0,5622.959122151212
5814.0,230127.0,120560.0,1908.8171864631718
7001.0,228475.0,13652.0,16735.643129211836
6501.0,225798.0,65487.0,3447.9820422373905
6601.0,223725.0,33641.0,6650.367111560298
6902.0,222010.0,892.0,248890.134529148
6701.0,218032.0,9652.0,22589.307915457935
6306.0,212462.0,46574.0,4561.815605273328
6603.0,211483.0,,
6304.0,210694.0,17973.0,11722.806431870027
5807.0,207566.0,68859.0,3014.3626831641473
6302.0,207556.0,28327.0,7327.1437144773545
6303.0,206952.0,17824.0,11610.861759425494
5815.0,203740.0,38093.0,5348.489223741895
5802.0,202853.0,61794.0,3282.729714859048
5810.0,202689.0,42402.0,4780.175463421537
6308.0,202043.0,,
6202.0,201707.0,4937.0,40856.187968401864
6201.0,200561.0,7344.0,27309.504357298476
5816.0,198492.0,29636.0,6697.665002024565
5805.0,197322.0,22837.0,8640.45189823532
5813.0,196833.0,34575.0,5692.9284164859
6001.0,195654.0,14811.0,13210.046586996152
5818.0,195604.0,6617.0,29560.828169865497
4801.0,195064.0,111306.0,1752.5021112967854
5811.0,194811.0,7773.0,25062.524121960632
5803.0,194601.0,17937.0,10849.138651948486
5401.0,191595.0,57759.0,3317.1453799407886
5001.0,190352.0,88920.0,2140.710751237067
5808.0,189655.0,6180.0,30688.51132686084
5812.0,188553.0,4972.0,37922.96862429606
5806.0,187547.0,4824.0,38877.90215588723
5809.0,187485.0,2545.0,73667.97642436149
5817.0,187160.0,2297.0,81480.19155420113
5819.0,186395.0,,
5601.0,184271.0,15437.0,11936.96961844918
3701.0,178900.0,170085.0,1051.8270276626395
5201.0,178781.0,29744.0,6010.65761161915
5403.0,173597.0,2100.0,82665.23809523809
5202.0,167672.0,3225.0,51991.317829457366
5003.0,160381.0,,
5002.0,160251.0,,
4804.0,155933.0,3761.0,41460.51582026057
4601.0,147419.0,,
4201.0,145680.0,31851.0,4573.796741075634
2801.0,144142.0,143552.0,1004.1100089166295
4301.0,143961.0,18298.0,7867.581156410536
4302.0,141872.0,12124.0,11701.748597822501
3801.0,140406.0,53838.0,2607.9349158586874
4101.0,140062.0,26998.0,5187.865767834654
3601.0,135362.0,51431.0,2631.9146040325872
3401.0,129770.0,61108.0,2123.6172023303
3201.0,115473.0,34599.0,3337.4664007630277
3001.0,107429.0,29411.0,3652.680969705212
3202.0,102651.0,,
2701.0,101188.0,38333.0,2639.7099105209613
2301.0,94959.0,51728.0,1835.7369316424374
1301.0,93734.0,106020.0,884.1162044897189
1504.0,92472.0,84090.0,1099.6789154477347
1501.0,92158.0,116406.0,791.6945861897153
2702.0,89910.0,9487.0,9477.179297986719
1502.0,88099.0,96055.0,917.1724532819738
2201.0,83235.0,33354.0,2495.502788271272
1509.0,76556.0,72442.0,1056.7902597940422
1801.0,75816.0,52602.0,1441.3140184783847
2101.0,69917.0,6855.0,10199.416484318017
1701.0,67676.0,32243.0,2098.9362032068975
1601.0,63988.0,37862.0,1690.032222280915
101.0,62245.0,156326.0,398.1743280068575
1503.0,61456.0,27821.0,2208.9788289421663
1802.0,57851.0,,
1001.0,56059.0,63893.0,877.3887593320082
1505.0,56020.0,15675.0,3573.84370015949
1508.0,54654.0,10996.0,4970.352855583848
1510.0,51074.0,4214.0,12120.075937351685
1202.0,47117.0,22447.0,2099.0332783890944
1201.0,41028.0,4926.0,8328.867235079171
102.0,27531.0,70340.0,391.3989195336935
701.0,23405.0,2002.0,11690.80919080919
201.0,16328.0,28115.0,580.7576027031834
401.0,13380.0,587.0,22793.867120954004
