COD_Ateneo,exemptions
6307.0,308640.0
9201.0,307627.0
8701.0,303356.0
9001.0,295567.0
8201.0,286111.0
8301.0,280052.0
8601.0,279797.0
7801.0,261619.0
5801.0,261386.0
7901.0,259206.0
8001.0,258685.0
8003.0,256539.0
7201.0,254277.0
7501.0,248073.0
7601.0,246779.0
6301.0,242491.0
7202.0,236767.0
7101.0,234345.0
7203.0,233392.0
6901.0,233156.0
5814.0,230127.0
7001.0,228475.0
6501.0,225798.0
6601.0,223725.0
6902.0,222010.0
6701.0,218032.0
6306.0,212462.0
6603.0,211483.0
6304.0,210694.0
5807.0,207566.0
6302.0,207556.0
6303.0,206952.0
5815.0,203740.0
5802.0,202853.0
5810.0,202689.0
6308.0,202043.0
6202.0,201707.0
6201.0,200561.0
5816.0,198492.0
5805.0,197322.0
5813.0,196833.0
6001.0,195654.0
5818.0,195604.0
4801.0,195064.0
5811.0,194811.0
5803.0,194601.0
5401.0,191595.0
5001.0,190352.0
5808.0,189655.0
5812.0,188553.0
5806.0,187547.0
5809.0,187485.0
5817.0,187160.0
5819.0,186395.0
5601.0,184271.0
3701.0,178900.0
5201.0,178781.0
5403.0,173597.0
5202.0,167672.0
5003.0,160381.0
5002.0,160251.0
4804.0,155933.0
4601.0,147419.0
4201.0,145680.0
2801.0,144142.0
4301.0,143961.0
4302.0,141872.0
3801.0,140406.0
4101.0,140062.0
3601.0,135362.0
3401.0,129770.0
3201.0,115473.0
3001.0,107429.0
3202.0,102651.0
2701.0,101188.0
2301.0,94959.0
1301.0,93734.0
1504.0,92472.0
1501.0,92158.0
2702.0,89910.0
1502.0,88099.0
2201.0,83235.0
1509.0,76556.0
1801.0,75816.0
2101.0,69917.0
1701.0,67676.0
1601.0,63988.0
101.0,62245.0
1503.0,61456.0
1802.0,57851.0
1001.0,56059.0
1505.0,56020.0
1508.0,54654.0
1510.0,51074.0
1202.0,47117.0
1201.0,41028.0
102.0,27531.0
701.0,23405.0
201.0,16328.0
401.0,13380.0
