slug,title,resource_name,resource_url,status,error
laureati,Laureati,Laureati per anno. 2001-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/43df861d-7345-481a-9803-2eb236aa022e/download/01_laureatixanno.csv,OK,
laureati,Laureati,Laureati per ateneo. 2001-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/88acd482-9d75-44d1-ab16-aa04524f5d94/download/02_laureatixateneo.csv,OK,
laureati,Laureati,Laureati per gruppo. 2001-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/4783e6b6-eac2-4dfa-a2c6-5b27e1298464/download/03_laureatixgruppo.csv,OK,
laureati,Laureati,Laureati per tipo del corso di studi. 2001-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/cd23705b-7192-4735-85b2-f79a96af6557/download/04_laureatixtipocorso.csv,OK,
laureati,Laureati,Laureati per classe. 2001-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/75773630-77e4-47eb-be2b-370f9ec1296f/download/05_laureatixclasse.csv,OK,
laureati,Laureati,Laureati per anno di nascita. 2010-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/7cac651c-4543-42f1-8d54-a2b9db6ff717/download/06_laureatixannonascita.csv,OK,
laureati,Laureati,Laureati per residenza. 2010-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/0ac215ca-6cd2-4935-bf0e-14c66a13871f/download/07_laureatixresidenza.csv,OK,
laureati,Laureati,Laureati internazionali per anno di laurea. 2010-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/692bb5fb-8585-4758-8fcc-5f94d5357498/download/08_laureatiinternazionalixanno.csv,OK,
laureati,Laureati,Laureati internazionali per paese e ateneo. 2010-2024,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/f9de8db4-6b4e-4c13-9045-80c2d7714880/download/09bis_laureatiinternazionalixpaeseateneo.csv,OK,
laureati,Laureati,Laureati internazionali per classe di laurea,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/08d4be89-0404-4956-994e-b0c14bd16a22/download/11_laureatiinternazionalixclasse.csv,OK,
laureati,Laureati,Laureati internazionali,https://dati-ustat.mur.gov.it/dataset/ca0b9831-c9ef-49d4-b792-6bd963e4d837/resource/4c6aaebe-665c-4b39-8695-583403d53e0b/download/09_laureatiinternazionalixpaese.csv,OK,
