AnnoA;CorsoTIPO;SESSO;Isc_FC
2024/2025;Laurea;F;138362
2024/2025;Laurea;M;127839
2024/2025;Laurea Magistrale;F;54382
2024/2025;Laurea Magistrale;M;46499
2024/2025;Laurea Magistrale Ciclo Unico;F;42319
2024/2025;Laurea Magistrale Ciclo Unico;M;20864
2024/2025;Vecchio Ordinamento;F;443
2024/2025;Vecchio Ordinamento;M;31
2023/2024;Laurea;F;142770
2023/2024;Laurea;M;131665
2023/2024;Laurea Magistrale;F;56699
2023/2024;Laurea Magistrale;M;48339
2023/2024;Laurea Magistrale Ciclo Unico;F;43370
2023/2024;Laurea Magistrale Ciclo Unico;M;22106
2023/2024;Vecchio Ordinamento;F;523
2023/2024;Vecchio Ordinamento;M;34
