AnnoA;Continente;CittadinanzaNOME;Isc_D
2024/2025;Africa;Algeria;392
2024/2025;Africa;Angola;145
2024/2025;Africa;Benin;27
2024/2025;Africa;Botswana;8
2024/2025;Africa;Burkina Faso;39
2024/2025;Africa;Burundi;63
2024/2025;Africa;Camerun;2919
2024/2025;Africa;Capo Verde;8
2024/2025;Africa;Ciad;15
2024/2025;Africa;Congo;671
2024/2025;Africa;Costa d'Avorio;136
2024/2025;Africa;Egitto;2386
2024/2025;Africa;Eritrea;49
2024/2025;Africa;Eswatini;5
2024/2025;Africa;Etiopia;1675
2024/2025;Africa;Gabon;165
2024/2025;Africa;Gambia;253
2024/2025;Africa;Ghana;231
2024/2025;Africa;Gibuti;15
2024/2025;Africa;Guinea;18
2024/2025;Africa;Guinea equatoriale;7
2024/2025;Africa;Guinea-Bissau;5
2024/2025;Africa;Kenya;202
2024/2025;Africa;Lesotho;4
2024/2025;Africa;Liberia;13
2024/2025;Africa;Libia;253
2024/2025;Africa;Madagascar;280
2024/2025;Africa;Malawi;12
2024/2025;Africa;Mali;27
2024/2025;Africa;Marocco;3264
2024/2025;Africa;Mauritania;3
2024/2025;Africa;Maurizio;20
2024/2025;Africa;Mozambico;57
2024/2025;Africa;Namibia;5
2024/2025;Africa;Niger;9
2024/2025;Africa;Nigeria;580
2024/2025;Africa;Repubblica Centrafricana;11
2024/2025;Africa;Repubblica Democratica del Congo;231
2024/2025;Africa;Ruanda;219
2024/2025;Africa;Senegal;223
2024/2025;Africa;Sierra Leone;4
2024/2025;Africa;Somalia;89
2024/2025;Africa;Sud Sudan;23
2024/2025;Africa;Sudafrica;122
2024/2025;Africa;Sudan;186
2024/2025;Africa;Tanzania;47
2024/2025;Africa;Togo;118
2024/2025;Africa;Tunisia;4106
2024/2025;Africa;Uganda;207
2024/2025;Africa;Zambia;26
2024/2025;Africa;Zimbabwe;134
2024/2025;America;Antigua e Barbuda;1
2024/2025;America;Antille olandesi;1
2024/2025;America;Argentina;679
2024/2025;America;Bahamas;3
2024/2025;America;Belize;1
2024/2025;America;Bolivia;208
2024/2025;America;Brasile;2040
2024/2025;America;Canada;499
2024/2025;America;Cile;284
2024/2025;America;Colombia;985
2024/2025;America;Costa Rica;73
2024/2025;America;Cuba;253
2024/2025;America;Dominica;1
2024/2025;America;Ecuador;874
2024/2025;America;El Salvador;81
2024/2025;America;Giamaica;6
2024/2025;America;Guatemala;52
2024/2025;America;Guyana;1
2024/2025;America;Haiti;85
2024/2025;America;Honduras;63
2024/2025;America;Isola di Guadalupe;1
2024/2025;America;Messico;592
2024/2025;America;Nicaragua;18
2024/2025;America;Panama;57
2024/2025;America;Paraguay;95
2024/2025;America;Perù;892
2024/2025;America;Portorico;6
2024/2025;America;Repubblica Dominicana;153
2024/2025;America;Saint Vincent e Grenadine;1
2024/2025;America;Stati Uniti d'America;1485
2024/2025;America;Suriname;2
2024/2025;America;Trinidad e Tobago;5
2024/2025;America;Uruguay;45
2024/2025;America;Venezuela;409
2024/2025;Asia;;1
2024/2025;Asia;Afghanistan;471
2024/2025;Asia;Arabia Saudita;204
2024/2025;Asia;Armenia;131
2024/2025;Asia;Azerbaigian;598
2024/2025;Asia;Bahrein;26
2024/2025;Asia;Bangladesh;1154
2024/2025;Asia;Bhutan;2
2024/2025;Asia;Brunei Darussalam;5
2024/2025;Asia;Cambogia;7
2024/2025;Asia;Cina;7110
2024/2025;Asia;Corea del Sud;159
2024/2025;Asia;Emirati Arabi Uniti;359
2024/2025;Asia;Filippine;206
2024/2025;Asia;Georgia;401
2024/2025;Asia;Giappone;242
2024/2025;Asia;Giordania;144
2024/2025;Asia;Hong Kong;49
2024/2025;Asia;India;4377
2024/2025;Asia;Indonesia;340
2024/2025;Asia;Iran;14017
2024/2025;Asia;Iraq;126
2024/2025;Asia;Israele;1874
2024/2025;Asia;Kazakhstan;3178
2024/2025;Asia;Kirghizistan;945
2024/2025;Asia;Kuwait;70
2024/2025;Asia;Laos;3
2024/2025;Asia;Libano;1617
2024/2025;Asia;Macao;1
2024/2025;Asia;Malaysia;49
2024/2025;Asia;Maldive;1
2024/2025;Asia;Mongolia;391
2024/2025;Asia;Myanmar/Birmania;189
2024/2025;Asia;Nepal;225
2024/2025;Asia;Oman;44
2024/2025;Asia;Pakistan;3467
2024/2025;Asia;Palestina;92
2024/2025;Asia;Qatar;46
2024/2025;Asia;Singapore;68
2024/2025;Asia;Siria;344
2024/2025;Asia;Sri Lanka;536
2024/2025;Asia;Tagikistan;53
2024/2025;Asia;Taiwan;67
2024/2025;Asia;Thailandia;79
2024/2025;Asia;Timor Leste;3
2024/2025;Asia;Turkmenistan;25
2024/2025;Asia;Uzbekistan;982
2024/2025;Asia;Vietnam;563
2024/2025;Asia;Yemen;21
2024/2025;Europa;Albania;2713
2024/2025;Europa;Andorra;4
2024/2025;Europa;Austria;270
2024/2025;Europa;Belgio;640
2024/2025;Europa;Bielorussia;385
2024/2025;Europa;Bosnia-Erzegovina;142
2024/2025;Europa;Bulgaria;678
2024/2025;Europa;Cecoslovacchia;2
2024/2025;Europa;Cipro;271
2024/2025;Europa;Croazia;498
2024/2025;Europa;Danimarca;84
2024/2025;Europa;Estonia;33
2024/2025;Europa;Federazione russa;3383
2024/2025;Europa;Finlandia;115
2024/2025;Europa;Francia;2346
2024/2025;Europa;Germania;1647
2024/2025;Europa;Gibilterra;1
2024/2025;Europa;Grecia;1764
2024/2025;Europa;Irlanda;258
2024/2025;Europa;Islanda;18
2024/2025;Europa;Jogoslavia;13
2024/2025;Europa;Kosovo;112
2024/2025;Europa;Lettonia;93
2024/2025;Europa;Liechtenstein;1
2024/2025;Europa;Lituania;127
2024/2025;Europa;Lussemburgo;172
2024/2025;Europa;Macedonia del Nord;185
2024/2025;Europa;Malta;44
2024/2025;Europa;Moldova;499
2024/2025;Europa;Monaco;42
2024/2025;Europa;Montenegro;158
2024/2025;Europa;Norvegia;166
2024/2025;Europa;Paesi Bassi;305
2024/2025;Europa;Polonia;981
2024/2025;Europa;Portogallo;270
2024/2025;Europa;Regno Unito;1307
2024/2025;Europa;Repubblica ceca;128
2024/2025;Europa;REPUBBLICA DEMOCRATICA TEDESCA;2
2024/2025;Europa;REPUBBLICA FEDERALE TEDESCA;13
2024/2025;Europa;Romania;1634
2024/2025;Europa;San Marino;492
2024/2025;Europa;Serbia;617
2024/2025;Europa;Serbia e Montenegro;9
2024/2025;Europa;Slovacchia;157
2024/2025;Europa;Slovenia;166
2024/2025;Europa;Spagna;993
2024/2025;Europa;Stato della Città del Vaticano;9
2024/2025;Europa;Svezia;134
2024/2025;Europa;Svizzera;1473
2024/2025;Europa;Turchia;8455
2024/2025;Europa;Ucraina;1090
2024/2025;Europa;Ungheria;327
2024/2025;Europa;Unione Sovietica;38
2024/2025;non disponibile;non disponibile;224
2024/2025;Oceania;Australia;114
2024/2025;Oceania;Figi;1
2024/2025;Oceania;Nuova Caledonia;1
2024/2025;Oceania;Nuova Zelanda;33
2024/2025;Oceania;Polinesia francese;4
2024/2025;Oceania;Stati Federati di Micronesia;1
2023/2024;Africa;Algeria;345
2023/2024;Africa;Angola;154
2023/2024;Africa;Benin;24
