AnnoA;CorsoTIPO;SESSO;Isc
2024/2025;Corso di Diploma Universitario - vecchio ordinamento;F;20
2024/2025;Corso di Diploma Universitario - vecchio ordinamento;M;28
2024/2025;Corso di Laurea - vecchio ordinamento;F;7941
2024/2025;Corso di Laurea - vecchio ordinamento;M;4747
2024/2025;Laurea  - dm 509/99;F;2855
2024/2025;Laurea  - dm 509/99;M;2043
2024/2025;Laurea - dm 270/04;F;674025
2024/2025;Laurea - dm 270/04;M;578870
2024/2025;Laurea Magistrale - dm 270/04;9;1
2024/2025;Laurea Magistrale - dm 270/04;F;239383
2024/2025;Laurea Magistrale - dm 270/04;M;187633
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;9;1
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;F;225336
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;M;100439
2024/2025;Laurea Specialistica - dm 509/99;F;320
2024/2025;Laurea Specialistica - dm 509/99;M;264
2024/2025;Laurea Specialistica a Ciclo Unico - dm 509/99;F;2008
2024/2025;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1013
2023/2024;Corso di Diploma Universitario - vecchio ordinamento;F;16
2023/2024;Corso di Diploma Universitario - vecchio ordinamento;M;32
2023/2024;Corso di Laurea - vecchio ordinamento;F;9475
2023/2024;Corso di Laurea - vecchio ordinamento;M;5774
2023/2024;Laurea  - dm 509/99;F;3507
2023/2024;Laurea  - dm 509/99;M;2424
2023/2024;Laurea - dm 270/04;F;660840
2023/2024;Laurea - dm 270/04;M;563732
2023/2024;Laurea Magistrale - dm 270/04;F;235600
2023/2024;Laurea Magistrale - dm 270/04;M;184788
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;F;212106
2023/2024;Laurea Magistrale a Ciclo Unico - dm 270/04;M;98957
2023/2024;Laurea Specialistica - dm 509/99;F;387
2023/2024;Laurea Specialistica - dm 509/99;M;326
2023/2024;Laurea Specialistica a Ciclo Unico - dm 509/99;F;2309
2023/2024;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1199
