AnnoA;ClasseNUMERO;ClasseNOME;SESSO;Isc
2023/2024;1;Biotecnologie;F;35
2023/2024;1;Biotecnologie;M;13
2023/2024;1/S;Specialistiche in antropologia culturale ed etnologia;F;7
2023/2024;1/S;Specialistiche in antropologia culturale ed etnologia;M;1
2023/2024;10;Ingegneria industriale;F;69
2023/2024;10;Ingegneria industriale;M;283
2023/2024;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;M;1
2023/2024;101/S;Specialistiche in teoria della comunicazione;F;2
2023/2024;101/S;Specialistiche in teoria della comunicazione;M;3
2023/2024;102/S;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;M;1
2023/2024;103/S;Specialistiche in teorie e metodi del disegno industriale;F;2
2023/2024;103/S;Specialistiche in teorie e metodi del disegno industriale;M;1
2023/2024;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;F;3
2023/2024;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;M;1
2023/2024;11;Lingue e culture moderne;F;199
2023/2024;11;Lingue e culture moderne;M;36
2023/2024;12;Scienze biologiche;F;211
2023/2024;12;Scienze biologiche;M;54
2023/2024;13;Scienze dei beni culturali;F;210
2023/2024;13;Scienze dei beni culturali;M;58
2023/2024;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;F;4
2023/2024;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;M;5
2023/2024;14;Scienze della comunicazione;F;129
2023/2024;14;Scienze della comunicazione;M;63
2023/2024;14/S;Specialistiche in farmacia e farmacia industriale;F;744
2023/2024;14/S;Specialistiche in farmacia e farmacia industriale;M;219
2023/2024;15;Scienze politiche e delle relazioni internazionali;F;93
2023/2024;15;Scienze politiche e delle relazioni internazionali;M;85
2023/2024;15/S;Specialistiche in filologia e letterature dell'antichita;F;6
2023/2024;15/S;Specialistiche in filologia e letterature dell'antichita;M;2
2023/2024;16;Scienze della Terra;F;8
2023/2024;16;Scienze della Terra;M;20
2023/2024;16/S;Specialistiche in filologia moderna;F;15
2023/2024;16/S;Specialistiche in filologia moderna;M;3
2023/2024;17;Scienze dell'economia e della gestione aziendale;F;332
2023/2024;17;Scienze dell'economia e della gestione aziendale;M;224
2023/2024;17/S;Specialistiche in filosofia e storia della scienza;F;1
2023/2024;17/S;Specialistiche in filosofia e storia della scienza;M;1
2023/2024;18;Scienze dell'educazione e della formazione;F;293
2023/2024;18;Scienze dell'educazione e della formazione;M;32
