Indicator 5,"Changes in teachers’ statutory salaries compared to the previous school year, by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Category,Year,ISCED level,BE-FR,BE-DE,BE-NL,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Teachers,2020/2021,ISCED 02,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,No change,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,No change,No change,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change
Teachers,2020/2021,ISCED 1,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,No change,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,No change,No change,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change
Teachers,2020/2021,ISCED 24,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,No change,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,No change,No change,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change
Teachers,2020/2021,ISCED 34,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Structural adjustment and adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Structural adjustment,No change,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,No change,No change,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change
Teachers,2021/2022,ISCED 02,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Not available,Not available,Not applicable,No change,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Not available,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Not available,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,No change,Adjustment to the cost of living,No change,No change,Adjustment to the cost of living,No change,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living
Teachers,2021/2022,ISCED 1,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,No change,Adjustment to the cost of living,No change,No change,Adjustment to the cost of living,No change,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living
Teachers,2021/2022,ISCED 24,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,No change,Adjustment to the cost of living,No change,No change,Adjustment to the cost of living,No change,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living
Teachers,2021/2022,ISCED 34,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,No change,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,No change,Adjustment to the cost of living,No change,No change,Adjustment to the cost of living,No change,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living
Teachers,2022/2023,ISCED 02,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,No change,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Structural adjustment,No change,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,No change,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment,Adjustment to the cost of living,Structural adjustment and adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Structural adjustment,Adjustment to the cost of living,No change,No change,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living,Adjustment to the cost of living,Structural adjustment,Structural adjustment,Structural adjustment,Adjustment to the cost of living,Adjustment to the cost of living
