AnnoA;AteneoNOME;AteneoCOD;SESSO;Imm
2024/2025;Aosta;701;F;189
2024/2025;Aosta;701;M;75
2024/2025;Bari;7201;F;4607
2024/2025;Bari;7201;M;3249
2024/2025;Bari Politecnico;7202;F;678
2024/2025;Bari Politecnico;7202;M;1452
2024/2025;Basilicata;7601;F;492
2024/2025;Basilicata;7601;M;341
2024/2025;Benevento Giustino Fortunato - telematica;6202;F;111
2024/2025;Benevento Giustino Fortunato - telematica;6202;M;102
2024/2025;Bergamo;1601;F;2255
2024/2025;Bergamo;1601;M;1571
2024/2025;Bologna;3701;F;8108
2024/2025;Bologna;3701;M;6179
2024/2025;Bolzano;2101;F;400
2024/2025;Bolzano;2101;M;238
2024/2025;Bra Scienze Gastronomiche;401;F;37
2024/2025;Bra Scienze Gastronomiche;401;M;33
2024/2025;Brescia;1701;F;1755
2024/2025;Brescia;1701;M;1840
2024/2025;Ca' Foscari Venezia;2701;F;1992
2024/2025;Ca' Foscari Venezia;2701;M;1321
2024/2025;Cagliari;9201;F;2585
2024/2025;Cagliari;9201;M;1794
2024/2025;Calabria;7801;F;2494
2024/2025;Calabria;7801;M;2066
2024/2025;Camerino;4302;F;724
2024/2025;Camerino;4302;M;786
2024/2025;Casamassima – LUM G. Degennaro;7203;F;273
2024/2025;Casamassima – LUM G. Degennaro;7203;M;226
2024/2025;Cassino;6001;F;737
2024/2025;Cassino;6001;M;738
2024/2025;Castellanza LIUC;1201;F;136
2024/2025;Castellanza LIUC;1201;M;284
2024/2025;Catania;8701;F;4775
2024/2025;Catania;8701;M;3442
2024/2025;Catanzaro;7901;F;1251
2024/2025;Catanzaro;7901;M;765
2024/2025;Chieti e Pescara;6901;F;2400
2024/2025;Chieti e Pescara;6901;M;1375
2024/2025;Enna KORE;8601;F;743
2024/2025;Enna KORE;8601;M;417
2024/2025;Ferrara;3801;F;3988
2024/2025;Ferrara;3801;M;2361
2024/2025;Firenze;4801;F;6235
2024/2025;Firenze;4801;M;4425
2024/2025;Firenze IUL - telematica;4804;F;249
2024/2025;Firenze IUL - telematica;4804;M;131
2024/2025;Foggia;7101;F;1731
2024/2025;Foggia;7101;M;1116
2024/2025;Genova;1001;F;3270
2024/2025;Genova;1001;M;2668
2024/2025;Insubria;1202;F;1590
2024/2025;Insubria;1202;M;1184
2024/2025;L'Aquila;6601;F;1375
2024/2025;L'Aquila;6601;M;1337
2024/2025;Macerata;4301;F;1227
2024/2025;Macerata;4301;M;409
2024/2025;Marche;4201;F;1446
2024/2025;Marche;4201;M;1744
2024/2025;Messina;8301;F;2592
2024/2025;Messina;8301;M;1995
2024/2025;Milano;1501;F;6490
2024/2025;Milano;1501;M;4352
2024/2025;Milano Bicocca;1509;F;3249
2024/2025;Milano Bicocca;1509;M;2334
2024/2025;Milano Bocconi;1503;F;1320
2024/2025;Milano Bocconi;1503;M;1770
2024/2025;Milano Cattolica;1504;F;5059
2024/2025;Milano Cattolica;1504;M;2768
2024/2025;Milano IULM;1505;F;1420
2024/2025;Milano IULM;1505;M;420
2024/2025;Milano Politecnico;1502;F;2937
2024/2025;Milano Politecnico;1502;M;4883
2024/2025;Milano San Raffaele;1508;F;725
2024/2025;Milano San Raffaele;1508;M;303
2024/2025;Modena e Reggio Emilia;3601;F;2596
2024/2025;Modena e Reggio Emilia;3601;M;2301
2024/2025;Molise;7001;F;643
2024/2025;Molise;7001;M;485
2024/2025;Napoli Benincasa;6304;F;1504
2024/2025;Napoli Benincasa;6304;M;247
2024/2025;Napoli Federico II;6301;F;7400
2024/2025;Napoli Federico II;6301;M;5817
2024/2025;Napoli L'Orientale;6303;F;918
2024/2025;Napoli L'Orientale;6303;M;231
2024/2025;Napoli Parthenope;6302;F;1443
2024/2025;Napoli Parthenope;6302;M;2145
2024/2025;Napoli Pegaso - telematica;6307;F;6381
2024/2025;Napoli Pegaso - telematica;6307;M;7072
2024/2025;Napoli Vanvitelli;6306;F;2241
2024/2025;Napoli Vanvitelli;6306;M;1675
2024/2025;Novedrate e-Campus - telematica;1301;F;4700
2024/2025;Novedrate e-Campus - telematica;1301;M;4223
2024/2025;Padova;2801;F;6977
2024/2025;Padova;2801;M;5894
2024/2025;Palermo;8201;F;5128
2024/2025;Palermo;8201;M;3816
2024/2025;Parma;3401;F;3791
2024/2025;Parma;3401;M;2385
2024/2025;Pavia;1801;F;2930
2024/2025;Pavia;1801;M;2436
2024/2025;Perugia;5401;F;3619
2024/2025;Perugia;5401;M;2476
2024/2025;Perugia Stranieri;5403;F;86
2024/2025;Perugia Stranieri;5403;M;53
2024/2025;Piemonte Orientale;201;F;2149
2024/2025;Piemonte Orientale;201;M;1372
2024/2025;Pisa;5001;F;3742
2024/2025;Pisa;5001;M;3913
2024/2025;Reggio Calabria;8001;F;583
2024/2025;Reggio Calabria;8001;M;520
2024/2025;Reggio Calabria - Dante Alighieri;8003;F;5
2024/2025;Roma  Mercatorum - telematica;5814;F;3871
2024/2025;Roma  Mercatorum - telematica;5814;M;5647
2024/2025;Roma Biomedico;5808;F;315
2024/2025;Roma Biomedico;5808;M;205
2024/2025;Roma Europea;5812;F;269
2024/2025;Roma Europea;5812;M;108
2024/2025;Roma Foro Italico;5806;F;106
2024/2025;Roma Foro Italico;5806;M;344
2024/2025;Roma La Sapienza;5801;F;9983
2024/2025;Roma La Sapienza;5801;M;7370
2024/2025;Roma Link Campus;5817;F;182
2024/2025;Roma Link Campus;5817;M;159
2024/2025;Roma Luiss;5805;F;1208
2024/2025;Roma Luiss;5805;M;1257
2024/2025;Roma LUMSA;5803;F;932
2024/2025;Roma LUMSA;5803;M;429
2024/2025;Roma Marconi - telematica;5810;F;2225
2024/2025;Roma Marconi - telematica;5810;M;1225
2024/2025;Roma Saint Camillus;5818;F;473
2024/2025;Roma Saint Camillus;5818;M;252
2024/2025;Roma San Raffaele - telematica;5816;F;975
2024/2025;Roma San Raffaele - telematica;5816;M;1094
2024/2025;Roma Tor Vergata;5802;F;3473
2024/2025;Roma Tor Vergata;5802;M;2802
2024/2025;Roma Tre;5807;F;4343
2024/2025;Roma Tre;5807;M;3074
2024/2025;Roma UNICUSANO - telematica;5815;F;814
2024/2025;Roma UNICUSANO - telematica;5815;M;708
2024/2025;Roma UNINETTUNO - telematica;5813;F;708
2024/2025;Roma UNINETTUNO - telematica;5813;M;653
2024/2025;Roma UNINT;5809;F;57
2024/2025;Roma UNINT;5809;M;18
2024/2025;Roma UNITELMA - telematica;5811;F;261
2024/2025;Roma UNITELMA - telematica;5811;M;227
2024/2025;Rozzano (MI) Humanitas University;1510;F;314
2024/2025;Rozzano (MI) Humanitas University;1510;M;174
2024/2025;Salento;7501;9;1
2024/2025;Salento;7501;F;2544
2024/2025;Salento;7501;M;1678
2024/2025;Salerno;6501;F;3176
2024/2025;Salerno;6501;M;2614
2024/2025;Sannio;6201;F;444
2024/2025;Sannio;6201;M;493
2024/2025;Sassari;9001;F;1227
2024/2025;Sassari;9001;M;789
2024/2025;Siena;5201;F;1450
2024/2025;Siena;5201;M;919
2024/2025;Siena Stranieri;5202;F;244
2024/2025;Siena Stranieri;5202;M;112
2024/2025;Teramo;6701;F;469
2024/2025;Teramo;6701;M;299
2024/2025;Torino;101;F;8449
2024/2025;Torino;101;M;5370
2024/2025;Torino Politecnico;102;F;1684
2024/2025;Torino Politecnico;102;M;3799
2024/2025;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;157
2024/2025;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;45
2024/2025;Trento;2201;F;1634
2024/2025;Trento;2201;M;1551
2024/2025;Trieste;3201;F;2095
2024/2025;Trieste;3201;M;1409
2024/2025;Tuscia;5601;F;706
2024/2025;Tuscia;5601;M;817
2024/2025;Udine;3001;F;1622
2024/2025;Udine;3001;M;1411
2024/2025;Urbino;4101;F;1556
2024/2025;Urbino;4101;M;972
2024/2025;Venezia Iuav;2702;F;606
2024/2025;Venezia Iuav;2702;M;376
2024/2025;Verona;2301;F;3641
2024/2025;Verona;2301;M;1962
2023/2024;Aosta;701;F;175
2023/2024;Aosta;701;M;78
2023/2024;Bari;7201;F;4491
2023/2024;Bari;7201;M;3045
2023/2024;Bari Politecnico;7202;F;586
2023/2024;Bari Politecnico;7202;M;1354
2023/2024;Basilicata;7601;F;526
2023/2024;Basilicata;7601;M;341
2023/2024;Benevento Giustino Fortunato - telematica;6202;F;79
2023/2024;Benevento Giustino Fortunato - telematica;6202;M;86
2023/2024;Bergamo;1601;F;2197
2023/2024;Bergamo;1601;M;1450
2023/2024;Bologna;3701;F;8418
2023/2024;Bologna;3701;M;6139
2023/2024;Bolzano;2101;F;413
2023/2024;Bolzano;2101;M;221
2023/2024;Bra Scienze Gastronomiche;401;F;37
2023/2024;Bra Scienze Gastronomiche;401;M;26
2023/2024;Brescia;1701;F;1640
2023/2024;Brescia;1701;M;1727
2023/2024;Ca' Foscari Venezia;2701;F;2107
