query_slug,survey_year,years_after_graduation,disaggregation,table_index,section_title,measure,group_label,value_raw,value_numeric,source_url
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di laureati,Collettivo selezionato,307.434,307434.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di laureati,laurea di primo livello,170.663,170663.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di laureati,laurea magistrale a ciclo unico,31.264,31264.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di laureati,laurea magistrale biennale,105.507,105507.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di intervistati,Collettivo selezionato,199.929,199929.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di intervistati,laurea di primo livello,110.844,110844.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di intervistati,laurea magistrale a ciclo unico,20.276,20276.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Numero di intervistati,laurea magistrale biennale,68.809,68809.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Tasso di risposta sul totale dei laureati,Collettivo selezionato,"65,0",65.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_course_type,2024,1,course_type,1,1. Popolazione analizzata,Tasso di risposta sul totale dei laureati,laurea di primo livello,"64,9",64.9,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=TUTTI&ateneo=tutti&facolta=tutti&gruppo=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&disaggregazione=corstipo&LANG=it&CONFIG=occupazione
