ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA,CAP,average_income_per_capita,income_clean,taxpayers,Track_Type
202526,ISOLE,SICILIA,CATANIA,CTIC857005,"I.C.""ERCOLE PATTI"" TRECASTAGNI",CTAA857012,VIA GRASSI,VIA GRASSI,95039,L355,TRECASTAGNI,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC857005@istruzione.it,Non Disponibile,www.icercolepatti.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC83900G,IC C.DUSMET - NICOLOSI,CTMM83901L,- SEC. 1 GRADO DUSMET NICOLOSI,VIA MONTI ROSSI 14,95030,F890,NICOLOSI,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC83900G@istruzione.it,Non Disponibile,www.scuoladusmetnicolosi.edu.it,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC815003,IC GUGLIELMINO - ROSSI,CTMM815014,F.GUGLIELMINO - ACICATENA,VIA DANTE ALIGHIERI 6,95022,A027,ACI CATENA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC815003@istruzione.it,Non Disponibile,www.fguglielmino.gov.it,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC89800B,I.C. DIAZ - MANZONI CATANIA,CTAA89803A,OSPEDALE GARIBALDI,VIA PALERMO,95122,C351,CATANIA,C/O IST. OSPEDALIERO,SCUOLA INFANZIA,NO,Non Disponibile,CTIC89800B@istruzione.it,Non Disponibile,www.scuoladiazcatania.it,NO,95122,16136.755483908111,280279306.0,17369.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC83900G,IC C.DUSMET - NICOLOSI,CTIC83900G,IC C.DUSMET - NICOLOSI,VIA MONTI ROSSI 14,95030,F890,NICOLOSI,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,CTIC83900G@istruzione.it,ctic83900g@pec.istruzione.it,www.scuoladusmetnicolosi.edu.it,NO,,,,,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC893008,IC NICOLOSI - G.NNI XXIII,CTEE89301A,IC G.B.NICOLOSI PATERNO',VIA LIBERTA',95047,G371,PATERNO',NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC893008@istruzione.it,Non Disponibile,www.gbnicolosi.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC82600D,I.C. VERGA FIUMEFREDDO,CTAA82605E,VIA QUASIMODO,VIA QUASIMODO,95013,D623,FIUMEFREDDO DI SICILIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC82600D@istruzione.it,Non Disponibile,www.icvergafiumefreddodisicilia.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC86300C,IC CAMPANELLA-STURZO CATANIA,CTIC86300C,IC CAMPANELLA-STURZO CATANIA,VIALE BUMMACARO 8,95121,C351,CATANIA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,CTIC86300C@istruzione.it,ctic86300c@pec.istruzione.it,https//www.iccampanellasturzo.edu.it/,NO,95121,15005.508239789826,502624504.0,33496.0,Altro
202526,ISOLE,SICILIA,CATANIA,CTIS03300R,I.S. G. FERRARIS,CTIS03300R,I.S. G. FERRARIS,VIA TRAPANI N.4,95024,A028,ACIREALE,NORMALE,ISTITUTO SUPERIORE,SI,Non Disponibile,CTIS03300R@istruzione.it,ctis03300r@pec.istruzione.it,https//www.iissferraris.edu.it/,NO,,,,,Altro
202526,ISOLE,SICILIA,CATANIA,CTIS00600C,IS ENRICO MEDI,CTPC00601Q,DON CAVINA,PIAZZA S. BENEDETTO12,95036,H175,RANDAZZO,NORMALE,LICEO CLASSICO,NO,Non Disponibile,CTIS00600C@istruzione.it,Non Disponibile,WWW.IISSMEDIRANDAZZO.IT,NO,,,,,Liceo
202526,ISOLE,SICILIA,CATANIA,CTMM151004,CPIA CATANIA 2,CTCT71400G,I.C. DE GASPERI,VIA T. NICOLA MAUGERI N. 4,95025,A029,ACI SANT'ANTONIO,NORMALE,CENTRO TERRITORIALE,NO,Non Disponibile,CTMM151004@istruzione.it,Non Disponibile,www.cpiacatania2.edu.it,NO,,,,,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC80900Q,I.C. E. DE AMICIS MIRABELLA I.,CTEE80902V,I..C. G. FALCONE,VIA DON PAOLO FIRRARELLO N.9,95040,H805,SAN CONO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC80900Q@istruzione.it,Non Disponibile,https//www.icmirabella.edu.it/,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC860001,IC F.DE ROBERTO -ZAFFERANA,CTEE860035,SARRO,VIA IV NOVEMBRE,95019,M139,ZAFFERANA ETNEA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC860001@istruzione.it,Non Disponibile,WWW.icderobertozafferana.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC815003,IC GUGLIELMINO - ROSSI,CTEE815026,PRIMARIA VIA TURI D'AGOSTINO,VIA TURI D'AGOSTINO,95022,A027,ACI CATENA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC815003@istruzione.it,Non Disponibile,www.fguglielmino.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC857005,"I.C.""ERCOLE PATTI"" TRECASTAGNI",CTEE857028,TRECASTAGNI-GAGLIANESI,VIA TOSELLI,95039,L355,TRECASTAGNI,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC857005@istruzione.it,Non Disponibile,www.icercolepatti.edu.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTEE028007,CONV. NAZ. CUTELLI CATANIA,CTEE028007,CONV. NAZ. CUTELLI CATANIA,VIA VITTORIO EMANUELE 56,95131,C351,CATANIA,CONVITTO NAZIONALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTEE028007@istruzione.it,ctvc01000n@pec.istruzione.it,www.convittocutelli.edu.it,NO,95131,20425.00226084499,144547741.0,7077.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC83900G,IC C.DUSMET - NICOLOSI,CTAA83902D,SCUOLA INFANZIA VIA VENETO,VIA VITTORIO VENETO,95030,F890,NICOLOSI,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC83900G@istruzione.it,Non Disponibile,www.scuoladusmetnicolosi.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC89800B,I.C. DIAZ - MANZONI CATANIA,CTEE89804L,POLICLINICO UNIVERSITARIO,VIA SANTA SOFIA 78,95123,C351,CATANIA,C/O IST. OSPEDALIERO,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC89800B@istruzione.it,Non Disponibile,www.scuoladiazcatania.it,NO,95123,21151.818810386474,700548239.0,33120.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC894004,IC MALERBA CATANIA,CTEE894016,C.D. MALERBA,VIA PIDATELLA,95126,C351,CATANIA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC894004@istruzione.it,Non Disponibile,wwww.icmalerba-leopardi.it,NO,95126,23583.85132765531,376586938.0,15968.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC8BQ005,IC T.DI CALCUTTA - SANZIO,CTIC8BQ005,IC T.DI CALCUTTA - SANZIO,VIA GUGLIELMINO 49,95030,L369,TREMESTIERI ETNEO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,Non Disponibile,Non Disponibile,Non Disponibile,NO,,,,,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC86300C,IC CAMPANELLA-STURZO CATANIA,CTAA86302A,PIANETA INFANZIA V.LE BUMMACARO,VIALE BUMMACARO 13,95121,C351,CATANIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC86300C@istruzione.it,Non Disponibile,www.iccampanellasturzo.gov.it,NO,95121,15005.508239789826,502624504.0,33496.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC82600D,I.C. VERGA FIUMEFREDDO,CTAA82603C,PLESSO LIBERTO VIA PAPA G. PAOL,VIA PAPA GIOVANNI PAOLO II,95013,D623,FIUMEFREDDO DI SICILIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC82600D@istruzione.it,Non Disponibile,www.icvergafiumefreddodisicilia.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC860001,IC F.DE ROBERTO -ZAFFERANA,CTAA86001T,FLERI,VIA ROSSI,95019,M139,ZAFFERANA ETNEA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC860001@istruzione.it,Non Disponibile,www.icderobertozafferana.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIS007008,I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE,CTRM00750Q,SERALE IST PROF IND. E ATTIVITA' MARINAR,VIALE ARTALE ALAGONA 99,95126,C351,CATANIA,PERCORSO II LIVELLO,IST PROF INDUSTRIA E ATTIVITA' MARINARE,NO,Non Disponibile,CTIS007008@istruzione.it,Non Disponibile,www.POLITECNICODELMARE.GOV.IT,NO,95126,23583.85132765531,376586938.0,15968.0,Altro
202526,ISOLE,SICILIA,CATANIA,CTPC01000A,LC GIOVANNI VERGA,CTPC01000A,LC GIOVANNI VERGA,VIA S. D'ACQUISTO N. 16,95031,A056,ADRANO,NORMALE,LICEO CLASSICO,SI,Non Disponibile,CTPC01000A@istruzione.it,ctpc01000a@pec.istruzione.it,www.liceovergadrano.edu.it,NO,,,,,Liceo
202526,ISOLE,SICILIA,CATANIA,CTIC8AZ00A,"II IST. COMPRENSIVO ""S.G.BOSCO""",CTEE8AZ04G,TREPUNTI,VIA GIUSTI,95014,E017,GIARRE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC8AZ00A@istruzione.it,Non Disponibile,www.secondoicgiarre.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC894004,IC MALERBA CATANIA,CTMM894015,SMS G. LEOPARDI CATANIA,VIA DUCA DEGLI ABRUZZI 49,95127,C351,CATANIA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC894004@istruzione.it,Non Disponibile,www.icmalerba-leopardi.it,NO,95127,28873.453900149852,366086522.0,12679.0,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC80900Q,I.C. E. DE AMICIS MIRABELLA I.,CTAA80901L,VIA SCOLLO,VIA SCOLLO N. 2,95040,F231,MIRABELLA IMBACCARI,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC80900Q@istruzione.it,Non Disponibile,icmirabella.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC815003,IC GUGLIELMINO - ROSSI,CTEE815037,CD E. ROSSI ACICATENA,VIA F. STRANO 79,95022,A027,ACI CATENA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,http//www.fguglielmino.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC857005,"I.C.""ERCOLE PATTI"" TRECASTAGNI",CTAA857023,TRECASTAGNI-GAGLIANESI,VIA TOSELLI,95039,L355,TRECASTAGNI,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC857005@istruzione.it,Non Disponibile,www.icercolepatti.edu.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC8AC00B,IC DELEDDA - COPPOLA,CTAA8AC029,OSPEDALE SAN MARCO,VIA CARLO AZEGLIO CIAMPI,95124,C351,CATANIA,C/O IST. OSPEDALIERO,SCUOLA INFANZIA,NO,Non Disponibile,CTIC8AC00B@istruzione.it,Non Disponibile,WWW.XXSETTEMBRE.INFO,NO,95124,21758.67941040995,236190465.0,10855.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC89800B,I.C. DIAZ - MANZONI CATANIA,CTAA89805C,OSPEDALE CANNIZZARO,VIA MESSINA 829,95126,C351,CATANIA,C/O IST. OSPEDALIERO,SCUOLA INFANZIA,NO,Non Disponibile,CTIC89800B@istruzione.it,Non Disponibile,www.scuoladiazcatania.it,NO,95126,23583.85132765531,376586938.0,15968.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC83900G,IC C.DUSMET - NICOLOSI,CTEE83903Q,SCUOLA PRIMARIA PL. GEMMELLARO,VI A F.LLI GEMMELLARO,95030,F890,NICOLOSI,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC83900G@istruzione.it,Non Disponibile,www.scuoladusmetnicolosi.edu.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC852002,IC D. SAVIO - S. GREGORIO,CTIC852002,IC D. SAVIO - S. GREGORIO,VIA SGROPPILLO 27,95027,H940,SAN GREGORIO DI CATANIA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,CTIC852002@istruzione.it,ctic852002@pec.istruzione.it,www.icsaviosangregorio.gov.it,NO,,,,,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC8BQ005,IC T.DI CALCUTTA - SANZIO,CTAA8BQ012,IMMACOLATA 1,VIA CARDUCCI,95030,L369,TREMESTIERI ETNEO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.cdbelpasso.edu.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC8BL002,IC PLUCHINOTTA,CTAA8BL01V,C.D.S.A.LI BATTIATI -S. LORENZO,VIA BELLINI 49,95030,I202,SANT'AGATA LI BATTIATI,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ICGFAVA.EDU.IT,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC82600D,I.C. VERGA FIUMEFREDDO,CTMM82601E,GIOVANNI VERGA - FIUMEFREDDO,VIA M. RAPISARDI 38,95013,D623,FIUMEFREDDO DI SICILIA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC82600D@istruzione.it,Non Disponibile,www.icvergafiumefreddodisicilia.gov.it,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIS007008,I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE,CTTH007018,DUCA DEGLI ABRUZZI,VIALE ARTALE ALAGONA 99,95126,C351,CATANIA,NORMALE,ISTITUTO TECNICO NAUTICO,NO,Non Disponibile,CTIS007008@istruzione.it,Non Disponibile,www.politecnicodelmare.it,NO,95126,23583.85132765531,376586938.0,15968.0,Istituto Tecnico
202526,ISOLE,SICILIA,CATANIA,CTIC894004,IC MALERBA CATANIA,CTIC894004,IC MALERBA CATANIA,VIA PIDATELLA 127,95126,C351,CATANIA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,CTIC894004@istruzione.it,ctic894004@pec.istruzione.it,Non Disponibile,NO,95126,23583.85132765531,376586938.0,15968.0,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC8AZ00A,"II IST. COMPRENSIVO ""S.G.BOSCO""",CTEE8AZ07P,SAN DOMENICO SAVIO,VIA S.MARTINO,95010,E017,GIARRE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC8AZ00A@istruzione.it,Non Disponibile,www.secondogiarre.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC815003,IC GUGLIELMINO - ROSSI,CTAA81501X,VIA TURI D'AGOSTINO,VIA TURI D'AGOSTINO (EX VIA CICUNV.),95022,A027,ACI CATENA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC815003@istruzione.it,Non Disponibile,http//www.fguglielmino.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIS007008,I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE,CTIS007008,I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE,VIALE ARTALE ALAGONA 99,95126,C351,CATANIA,NORMALE,ISTITUTO SUPERIORE,SI,Non Disponibile,CTIS007008@istruzione.it,ctis007008@pec.istruzione.it,www.politecnicodelmare.edu.it,NO,95126,23583.85132765531,376586938.0,15968.0,Altro
202526,ISOLE,SICILIA,CATANIA,CTIC860001,IC F.DE ROBERTO -ZAFFERANA,CTEE860057,CD ZAFFERANA ETNEA,VIA F.DE ROBERTO,95019,M139,ZAFFERANA ETNEA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,WWW.icderobertozafferana.gov.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC80900Q,I.C. E. DE AMICIS MIRABELLA I.,CTAA80903P,F. COSTA - S. MICHELE GANZARIA,VIA M. KOLBE S.N.,95040,I035,SAN MICHELE DI GANZARIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC80900Q@istruzione.it,Non Disponibile,icmirabella.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC89800B,I.C. DIAZ - MANZONI CATANIA,CTEE89805N,OSPEDALE GARIBALDI,VIA PALERMO,95122,C351,CATANIA,C/O IST. OSPEDALIERO,SCUOLA PRIMARIA,NO,Non Disponibile,CTIC89800B@istruzione.it,Non Disponibile,www.scuoladiazcatania.it,NO,95122,16136.755483908111,280279306.0,17369.0,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC8BQ005,IC T.DI CALCUTTA - SANZIO,CTEE8BQ017,SETTEBELLO SUD,VIA MONTI IBLEI,95030,L369,TREMESTIERI ETNEO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.cdbelpasso.edu.it,NO,,,,,Primaria/Infanzia
202526,ISOLE,SICILIA,CATANIA,CTIC852002,IC D. SAVIO - S. GREGORIO,CTMM852013,VIA SGROPPILLO S.GREGORIO -,VIA SGROPPILLO 27,95027,H940,SAN GREGORIO DI CATANIA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,CTIC852002@istruzione.it,Non Disponibile,www.icsaviosangregorio.gov.it,NO,,,,,Medie
202526,ISOLE,SICILIA,CATANIA,CTIC8BL002,IC PLUCHINOTTA,CTAA8BL031,C.D. S.A. BATTIATI- BARRIERA,LARGO PERLASCA 2,95030,I202,SANT'AGATA LI BATTIATI,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ICGFAVA.EDU.IT,NO,,,,,Primaria/Infanzia
