FREQ,REF_AREA,DATA_TYPE,SEX,CITIZENSHIP,SCHOOL_LEVEL,TYPE_SCHOOL_MANAGEMENT,SCHOOL_YEAR,TYPE_SCHOOL,TIME_PERIOD,OBS_VALUE,SOURCE,FLOW_ID,FLOW_TITLE_IT,REF_AREA_LABEL,TYPE_SCHOOL_LABEL,SCHOOL_YEAR_LABEL,TYPE_SCHOOL_MANAGEMENT_LABEL,SCHOOL_YEAR_PROXY
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2015,5.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2015/2016
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2016,5.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2016/2017
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2017,4.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2017/2018
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2018,4.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2018/2019
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2019,4.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2019/2020
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2020,4.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2020/2021
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2021,0.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2021/2022
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2022,4.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2022/2023
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2023,4.5,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2023/2024
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,ALL,2024,4.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,ALL,ALL,ALL,2024/2025
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,LIC,2020,2.7,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2020/2021
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,LIC,2021,0.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2021/2022
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,LIC,2022,2.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2022/2023
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,LIC,2023,2.6,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2023/2024
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,LIC,2024,2.4,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,LIC,ALL,ALL,2024/2025
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,TEC,2020,6.3,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2020/2021
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,TEC,2021,1.2,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2021/2022
A,IT,REPEA,F,TOTAL,UPP,ALL,ALL,TEC,2022,6.8,ISTAT SDMX,52_1044_DF_DCIS_SCUOLE_15,Secondaria II grado - ripetenti per anno di corso,Italia,TEC,ALL,ALL,2022/2023
