COD_ISTITUTO;Area_Istituto;STATUS;COD_TIPO_ISTITUTO;TIPO_ISTITUTO_SIGLA;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CAP;Indirizzo;COD_RIPGEO;RIPGEO;COD_REG_ISTAT;REGIONE_ISTITUTO;COD_PROV_ISTAT;PROVINCIA_ISTITUTO;web;Stato attività;Data_Chiusura;Annotazioni;ID_ISTITUTO
7238;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di BARI ;BARI;70124;via re david, 189/c;4;Sud e Isole;16;PUGLIA;72;BARI;https://www.accademiabelleartiba.it/;1;;;1
54190;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di BERGAMO Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara (area artistica);BERGAMO;24121;p.za g.carrara, 82/d;1;Nord Ovest;3;LOMBARDIA;16;BERGAMO;https://www.poliartibg.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1186 del 14-10-2022 (disattivata ALR BERGAMO - COD_ISTITUTO 7313);22
7195;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di BOLOGNA ;BOLOGNA;40126;via delle belle arti, 54;2;Nord Est;8;EMILIA ROMAGNA;37;BOLOGNA;https://www.ababo.it/;1;;;2
7213;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di CARRARA ;CARRARA;54033;via roma, 1;3;Centro;9;TOSCANA;45;MASSA-CARRARA;https://www.accademiacarrara.it;1;;;3
7292;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di CATANIA ;CATANIA;95125;via del bosco, 34/a;4;Sud e Isole;19;SICILIA;87;CATANIA;https://www.abacatania.it;1;;;4
7212;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di CATANZARO ;CATANZARO;88100;Via Tommaso Campanella, 182 (Mater Domini);4;Sud e Isole;18;CALABRIA;79;CATANZARO;https://www.abacatanzaro.it;1;;;5
7243;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di FIRENZE ;FIRENZE;50122;via ricasoli, 66 - succ. via alfani, 58;3;Centro;9;TOSCANA;48;FIRENZE;https://www.accademia.firenze.it;1;;;6
7245;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di FOGGIA ;FOGGIA;71100;corso garibaldi, 35;4;Sud e Isole;16;PUGLIA;71;FOGGIA;https://www.abafg.it;1;;;7
7310;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di FROSINONE ;FROSINONE;3100;via marconi;3;Centro;12;LAZIO;60;FROSINONE;https://www.accademiabellearti.fr.it;1;;;8
54188;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di GENOVA Ligustica;GENOVA;16121;l.go pertini, 4;1;Nord Ovest;7;LIGURIA;10;GENOVA;https://www.accademialigustica.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1202 del 14-10-2022 (disattivata ALR GENOVA - COD_ISTITUTO 7267);26
7237;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di L'AQUILA ;L'AQUILA;67100;via leonardo da vinci  loc. pettino;4;Sud e Isole;13;ABRUZZO;66;L'AQUILA;https://www.abaq.it/;1;;;9
7321;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di LECCE ;LECCE;73100;via libertini, 3;4;Sud e Isole;16;PUGLIA;75;LECCE;https://www.accademialecce.edu.it/;1;;;10
7297;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di MACERATA ;MACERATA;62100;via berardi, 6;3;Centro;11;MARCHE;43;MACERATA;https://www.abamc.it;1;;;11
7299;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di MILANO Brera;MILANO;20121;via brera, 28;1;Nord Ovest;3;LOMBARDIA;15;MILANO;https://www.accademiadibrera.milano.it;1;;;12
7316;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di NAPOLI ;NAPOLI;80138;via s.m. costantinopoli, 107/a;4;Sud e Isole;15;CAMPANIA;63;NAPOLI;https://www.abana.it/it/;1;;;13
7219;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di PALERMO ;PALERMO;90134;via papireto, 18/20;4;Sud e Isole;19;SICILIA;82;PALERMO;https://www.accademiadipalermo.it;1;;;14
54186;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di PERUGIA Pietro Vannucci;PERUGIA;6100;p.zza s.francesco al prato, 5;3;Centro;10;UMBRIA;54;PERUGIA;https://www.abaperugia.com/;1;;NB. Statizzazione dal 2023 con D.M.n.1185 del 14-10-2022 (disattivata ALR PERUGIA - COD_ISTITUTO 7234);29
54189;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di RAVENNA ;RAVENNA;48100;via delle industrie, 76;2;Nord Est;8;EMILIA ROMAGNA;39;RAVENNA;https://www.abaravenna.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1176 del 14-10-2022 (disattivata ALR RAVENNA - COD_ISTITUTO 7291);30
7194;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di REGGIO CALABRIA ;REGGIO CALABRIA;89121;via XXV luglio, 10;4;Sud e Isole;18;CALABRIA;80;REGGIO CALABRIA;https://www.abarc.it/;1;;;15
7295;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di ROMA ;ROMA;186;via ripetta, 222;3;Centro;12;LAZIO;58;ROMA;https://abaroma.it/;1;;;16
7240;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di SASSARI Mario Sironi;SASSARI;7100;via duca degli abruzzi, 4;4;Sud e Isole;20;SARDEGNA;90;SASSARI;https://www.accademiasironi.it/;1;;;17
7334;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di TORINO Albertina;TORINO;10123;via accademia albertina, 6;1;Nord Ovest;1;PIEMONTE;1;TORINO;https://albertina-academy.it/;1;;;18
7318;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di URBINO (PU) ;URBINO (PU);61029;via dei maceri, 2;3;Centro;11;MARCHE;41;PESARO E URBINO;https://www.accademiadiurbino.it;1;;;19
7196;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di VENEZIA ;VENEZIA;30123;dorsoduro, 423;2;Nord Est;5;VENETO;27;VENEZIA;https://www.accademiavenezia.it;1;;;20
54187;Area Artistica;Statale;1;ABA;Accademia di Belle Arti statale;Accademia di Belle Arti statale di VERONA ;VERONA;37122;via carlo montanari, 5;2;Nord Est;5;VENETO;23;VERONA;https://accademiabelleartiverona.it/it/;1;;NB. Statizzazione dal 2023 con D.M.n.1195 del 14-10-2022(disattivata ALR VERONA - COD_ISTITUTO 7306);31
7215;Area Artistica;Statale;2;ANAD;Accademia Nazionale di Arte Drammatica;Accademia Nazionale di Arte Drammatica di ROMA Silvio D'Amico;ROMA;198;via vincenzo bellini, 16;3;Centro;12;LAZIO;58;ROMA;https://www.silviodamico.it;1;;;42
7285;Area Musicale/Coreutica;Statale;3;AND;Accademia Nazionale di Danza;Accademia Nazionale di Danza di ROMA ;ROMA;154;largo arrigo vii , 5;3;Centro;12;LAZIO;58;ROMA;https://www.accademianazionaledanza.it;1;;;37
7198;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di ADRIA (RO) Antonio Buzzolla;ADRIA (RO);45011;viale maddalena, 2;2;Nord Est;5;VENETO;29;ROVIGO;https://www.conservatorioadria.it;1;;;43
7262;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di ALESSANDRIA Antonio Vivaldi;ALESSANDRIA;15100;via parma, 1;1;Nord Ovest;1;PIEMONTE;6;ALESSANDRIA;https://www.conservatoriovivaldi.it;1;;;44
7257;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di AVELLINO Domenico Cimarosa;AVELLINO;83100;via circonvallazione;4;Sud e Isole;15;CAMPANIA;64;AVELLINO;https://www.conservatoriocimarosa.org;1;;;45
7305;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di BARI Niccolò Piccinni;BARI;70124;via cifarelli, 26;4;Sud e Isole;16;PUGLIA;72;BARI;https://www.conservatoriopiccinni.it;1;;;46
7301;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di BENEVENTO Nicola Sala;BENEVENTO;82100;via mario la vipera;4;Sud e Isole;15;CAMPANIA;62;BENEVENTO;https://www.conservatorio.bn.it/;1;;;47
54190;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di BERGAMO Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara  (area musicale);BERGAMO;24122;via scotti, 17;1;Nord Ovest;3;LOMBARDIA;16;BERGAMO;https://www.poliartibg.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1186 del 14-10-2022 (disattivato IMP BERGAMO - COD_ISTITUTO 7315);100
7199;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di BOLOGNA Giovan B. Martini;BOLOGNA;40126;p.zza rossini, 2;2;Nord Est;8;EMILIA ROMAGNA;37;BOLOGNA;https://www.conservatorio-bologna.com/;1;;;48
7270;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di BOLZANO Claudio Monteverdi;BOLZANO;39100;p.zza domenicani, 19;2;Nord Est;4;TRENTINO-ALTO ADIGE;21;BOLZANO/BOZEN;https://cons.bz.it;1;;;49
7300;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di BRESCIA Luca Marenzio;BRESCIA;25121;p.zza arturo benedetti michelangeli, 1;1;Nord Ovest;3;LOMBARDIA;17;BRESCIA;https://www.conservatorio.brescia.it;1;;;50
7242;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di BRESCIA - DARFO BOARIO TERME (BS) Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);25047;via razziche, 5;1;Nord Ovest;3;LOMBARDIA;17;BRESCIA;https://www.conservatorio.brescia.it/darfo/;1;;;58
7320;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CAGLIARI Pierluigi da Palestrina;CAGLIARI;9100;p.zza e. porrino, 1;4;Sud e Isole;20;SARDEGNA;92;CAGLIARI;https://www.conservatoriocagliari.it/;1;;;51
54185;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CALTANISSETTA Vincenzo Bellini;CALTANISSETTA;93100;c.so umberto i, 84-85;4;Sud e Isole;19;SICILIA;85;CALTANISSETTA;https://www.issmbellini.cl.it/;1;;NB. Statizzazione dal 2023 con D.M.n.1184 del 14-10-2022  (disattivato IMP CALTANISSETTA - COD_ISTITUTO 7329);101
7210;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CAMPOBASSO Lorenzo Perosi;CAMPOBASSO;86100;via principe di piemonte, 2;4;Sud e Isole;14;MOLISE;70;CAMPOBASSO;https://www.conservatorioperosi.it;1;;;52
7201;Area Musicale/Coreutica;Statale;4;CON;Conservatorio di Musica statale;Conservatorio di Musica statale di CASTELFRANCO VENETO (TV) Agostino Steffani;CASTELFRANCO VENETO (TV);31033;via garibaldi, 25;2;Nord Est;5;VENETO;26;TREVISO;https://www.steffani.it;1;;;53
