DATA;CODICE_REGIONE;NOME_REGIONE;CODICE_TIPOLOGIA_PERSONALE;DESCRIZIONE_TIPOLOGIA_PERSONALE;NUMERO
31/12/2024;01;Piemonte;95;Dipendente dall'Ente full time a tempo indeterminato maschio;23
31/12/2024;01;Piemonte;96;Dipendente dall'Ente full time a tempo indeterminato femmina;32
31/12/2024;01;Piemonte;97;Dipendente dall'Ente part time a tempo indeterminato maschio;1
31/12/2024;01;Piemonte;98;Dipendente dall'Ente part time a tempo indeterminato femmina;2
31/12/2024;01;Piemonte;99;Dipendente dalla Regione full time a tempo indeterminato maschio;0
31/12/2024;01;Piemonte;100;Dipendente dalla Regione full time a tempo indeterminato femmina;0
31/12/2024;01;Piemonte;101;Dipendente dalla Regione part time a tempo indeterminato maschio;0
31/12/2024;01;Piemonte;102;Dipendente dalla Regione part time a tempo indeterminato femmina;0
31/12/2024;01;Piemonte;103;Dipendente dall'ateneo full time a tempo indeterminato maschio;0
31/12/2024;01;Piemonte;104;Dipendente dall'ateneo full time a tempo indeterminato femmina;0
31/12/2024;01;Piemonte;105;Dipendente dall'ateneo part time a tempo indeterminato maschio;0
31/12/2024;01;Piemonte;106;Dipendente dall'ateneo part time a tempo indeterminato femmina;0
31/12/2024;01;Piemonte;107;Dipendente da altro Ente Pubblico full time a tempo indeterminato maschio;0
31/12/2024;01;Piemonte;108;Dipendente da altro Ente Pubblico full time a tempo indeterminato femmina;0
31/12/2024;01;Piemonte;109;Dipendente da altro Ente Pubblico part time a tempo indeterminato maschio;0
31/12/2024;01;Piemonte;110;Dipendente da altro Ente Pubblico parz time a tempo indeterminato femmina;0
31/12/2024;02;Valle d'Aosta;95;Dipendente dall'Ente full time a tempo indeterminato maschio;0
31/12/2024;02;Valle d'Aosta;96;Dipendente dall'Ente full time a tempo indeterminato femmina;0
31/12/2024;02;Valle d'Aosta;97;Dipendente dall'Ente part time a tempo indeterminato maschio;0
31/12/2024;02;Valle d'Aosta;98;Dipendente dall'Ente part time a tempo indeterminato femmina;0
31/12/2024;02;Valle d'Aosta;99;Dipendente dalla Regione full time a tempo indeterminato maschio;2
31/12/2024;02;Valle d'Aosta;100;Dipendente dalla Regione full time a tempo indeterminato femmina;2
31/12/2024;02;Valle d'Aosta;101;Dipendente dalla Regione part time a tempo indeterminato maschio;0
31/12/2024;02;Valle d'Aosta;102;Dipendente dalla Regione part time a tempo indeterminato femmina;0
31/12/2024;02;Valle d'Aosta;103;Dipendente dall'ateneo full time a tempo indeterminato maschio;0
31/12/2024;02;Valle d'Aosta;104;Dipendente dall'ateneo full time a tempo indeterminato femmina;0
