AnnoA;CorsoTIPO;AnnoNascita;SESSO;Isc
2024/2025;Laurea - dm 270/04;2005;F;99278
2024/2025;Laurea - dm 270/04;2005;M;83741
2024/2025;Laurea - dm 270/04;2004;F;31655
2024/2025;Laurea Magistrale - dm 270/04;2002;F;26062
2024/2025;Laurea - dm 270/04;2004;M;24665
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2005;F;23672
2024/2025;Laurea Magistrale - dm 270/04;2002;M;20316
2024/2025;Laurea Magistrale - dm 270/04;2001;F;19778
2024/2025;Laurea Magistrale - dm 270/04;2001;M;15097
2024/2025;Laurea - dm 270/04;2006;F;12781
2024/2025;Laurea - dm 270/04;2003;F;12556
2024/2025;Laurea - dm 270/04;2003;M;11345
2024/2025;Laurea Magistrale - dm 270/04;2000;F;10836
2024/2025;Laurea - dm 270/04;2006;M;9959
2024/2025;Laurea Magistrale - dm 270/04;2000;M;9274
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2005;M;8961
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2004;F;7850
2024/2025;Laurea - dm 270/04;2002;F;7266
2024/2025;Laurea - dm 270/04;2002;M;7224
2024/2025;Laurea Magistrale - dm 270/04;1999;F;6265
2024/2025;Laurea Magistrale - dm 270/04;1999;M;5487
2024/2025;Laurea - dm 270/04;2001;M;5355
2024/2025;Laurea - dm 270/04;2001;F;5270
2024/2025;Laurea - dm 270/04;2000;M;4233
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2006;F;4010
2024/2025;Laurea - dm 270/04;2000;F;3982
2024/2025;Laurea Magistrale - dm 270/04;1998;F;3922
2024/2025;Laurea Magistrale - dm 270/04;2003;F;3626
2024/2025;Laurea Magistrale - dm 270/04;1998;M;3545
2024/2025;Laurea - dm 270/04;1999;M;3219
2024/2025;Laurea - dm 270/04;1999;F;2997
2024/2025;Laurea Magistrale - dm 270/04;1997;F;2767
2024/2025;Laurea Magistrale - dm 270/04;2003;M;2613
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2004;M;2599
2024/2025;Laurea - dm 270/04;1998;M;2581
2024/2025;Laurea - dm 270/04;1998;F;2445
2024/2025;Laurea Magistrale - dm 270/04;1997;M;2397
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2003;F;2370
2024/2025;Laurea Magistrale - dm 270/04;1996;F;2042
2024/2025;Laurea - dm 270/04;1997;M;1969
2024/2025;Laurea - dm 270/04;1997;F;1891
2024/2025;Laurea Magistrale - dm 270/04;1996;M;1731
2024/2025;Laurea - dm 270/04;1996;F;1659
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2006;M;1584
2024/2025;Laurea - dm 270/04;1996;M;1583
2024/2025;Laurea Magistrale - dm 270/04;1995;F;1551
2024/2025;Laurea - dm 270/04;1995;F;1389
2024/2025;Laurea Magistrale - dm 270/04;1995;M;1348
2024/2025;Laurea - dm 270/04;1995;M;1333
2024/2025;Laurea - dm 270/04;1994;F;1322
2024/2025;Laurea Magistrale - dm 270/04;1994;F;1308
2024/2025;Laurea - dm 270/04;1994;M;1229
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2002;F;1216
2024/2025;Laurea - dm 270/04;1993;F;1202
2024/2025;Laurea - dm 270/04;1992;F;1192
2024/2025;Laurea Magistrale - dm 270/04;1993;F;1116
2024/2025;Laurea - dm 270/04;1993;M;1102
2024/2025;Laurea - dm 270/04;1991;F;1051
2024/2025;Laurea Magistrale - dm 270/04;1992;F;1048
2024/2025;Laurea Magistrale - dm 270/04;1994;M;1036
2024/2025;Laurea - dm 270/04;1992;M;1009
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2001;F;1004
2024/2025;Laurea - dm 270/04;1991;M;983
2024/2025;Laurea - dm 270/04;1990;F;943
2024/2025;Laurea Magistrale - dm 270/04;1991;F;928
2024/2025;Laurea - dm 270/04;1989;F;926
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2003;M;894
2024/2025;Laurea - dm 270/04;1990;M;885
2024/2025;Laurea - dm 270/04;1988;F;866
2024/2025;Laurea Magistrale - dm 270/04;1993;M;847
2024/2025;Laurea Magistrale - dm 270/04;1990;F;814
2024/2025;Laurea Magistrale - dm 270/04;1989;F;807
2024/2025;Laurea - dm 270/04;1989;M;803
2024/2025;Laurea - dm 270/04;1987;F;791
2024/2025;Laurea Magistrale - dm 270/04;1988;F;719
2024/2025;Laurea - dm 270/04;1988;M;713
2024/2025;Laurea Magistrale - dm 270/04;1992;M;704
2024/2025;Laurea - dm 270/04;1986;F;687
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2000;F;676
2024/2025;Laurea - dm 270/04;1987;M;673
2024/2025;Laurea - dm 270/04;1985;F;671
2024/2025;Laurea - dm 270/04;1984;F;666
2024/2025;Laurea Magistrale - dm 270/04;1986;F;656
2024/2025;Laurea Magistrale - dm 270/04;1987;F;648
2024/2025;Laurea Magistrale - dm 270/04;1991;M;606
2024/2025;Laurea Magistrale - dm 270/04;1990;M;587
2024/2025;Laurea - dm 270/04;1986;M;574
2024/2025;Laurea Magistrale - dm 270/04;1985;F;572
2024/2025;Laurea - dm 270/04;1977;F;569
2024/2025;Laurea - dm 270/04;1981;F;563
2024/2025;Laurea Magistrale - dm 270/04;1984;F;562
2024/2025;Laurea - dm 270/04;1982;F;556
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;2002;M;552
2024/2025;Laurea - dm 270/04;1980;F;546
2024/2025;Laurea - dm 270/04;1983;F;543
2024/2025;Laurea - dm 270/04;1979;F;527
2024/2025;Laurea Magistrale - dm 270/04;1983;F;516
2024/2025;Laurea - dm 270/04;1978;F;505
2024/2025;Laurea - dm 270/04;1975;F;502
2024/2025;Laurea - dm 270/04;1985;M;502
2024/2025;Laurea Magistrale a Ciclo Unico - dm 270/04;1999;F;495
2024/2025;Laurea - dm 270/04;1976;F;490
2024/2025;Laurea Magistrale - dm 270/04;1982;F;484
2024/2025;Laurea - dm 270/04;1974;F;469
2024/2025;Laurea Magistrale - dm 270/04;1989;M;467
2024/2025;Laurea - dm 270/04;1984;M;465
2024/2025;Laurea Magistrale - dm 270/04;1988;M;453
2024/2025;Laurea - dm 270/04;1981;M;446
2024/2025;Laurea Magistrale - dm 270/04;1981;F;446
2024/2025;Laurea - dm 270/04;1983;M;434
2024/2025;Laurea Magistrale - dm 270/04;1987;M;406
2024/2025;Laurea - dm 270/04;1979;M;401
