DATAFLOW,FREQ,UNIT_IST_AGGR,ITTER107,FASE_STATO_PATR,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:124_1156(1.0),A,2I,IT,1,2016,21901452908,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,1,2017,23287959962,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,1,2018,24515112223,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,1,2019,25809772097,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,1,2020,27396304262,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,1,2021,28976573124,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,1,2022,32117670635,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,1,2023,36792351587,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2016,1013009297,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2017,1055359064,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2018,774993365,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2019,853174950,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2020,912384972,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2021,1001743281,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2022,1084991162,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,11,2023,1200068633,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2016,9389736430,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2017,9530712074,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2018,9644182290,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2019,9703440011,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2020,9814600015,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2021,9826157333,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2022,10099052492,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,12,2023,10606627822,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2016,163867202,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2017,170923649,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2018,122118490,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2019,112904574,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2020,114305287,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2021,110262983,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2022,116779595,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,13,2023,122335819,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2016,42563488,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2017,14711382,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2018,14230682,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2019,14881038,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2020,23245456,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2021,24122536,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2022,26193883,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,14,2023,21200927,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2016,6913146544,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2017,7999588363,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2018,8827127034,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2019,10209425943,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2020,11560094802,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2021,12083761399,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2022,12306307685,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,16,2023,13745871669,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2016,81286843,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2017,91008659,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2018,106959701,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2019,124854756,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2020,123870075,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2021,127957886,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2022,134463527,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,17,2023,147494840,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2016,21901452908,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2017,23287959962,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2018,24515112223,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2019,25809772097,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2020,27396304262,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2021,28976573124,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2022,32117670635,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,2,2023,36792351587,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2016,1356616635,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2017,1268049077,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2018,1319124180,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2019,1360305800,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2020,1267936686,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2021,1270078821,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2022,1232599829,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,28,2023,1336187070,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2016,10566612929,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2017,10756994787,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2018,10541294145,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2019,10669519535,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2020,10841290274,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2021,10938163597,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2022,11300823249,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,30,2023,11929032274,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2016,10941598778,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2017,12100482513,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2018,13441346378,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2019,14517965203,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2020,16093181966,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2021,17516362493,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2022,20186439131,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,31,2023,24114732107,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2016,3981019740,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2017,4081067912,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2018,4594979677,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2019,4287249111,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2020,4504874278,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2021,5403719081,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2022,7849500987,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,32,2023,10344318081,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2016,4869006,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2017,5114856,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2018,5008985,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2019,6409111,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2020,4967430,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2021,4759477,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2022,4436576,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,33,2023,3341430,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2016,311954358,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2017,339474003,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2018,425511999,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2019,497432603,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2020,337961947,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2021,394089148,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2022,495944728,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,34,2023,601092366,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,35,2016,10008961803,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,35,2017,10954300919,,,,,,,,,
IT1:124_1156(1.0),A,2I,IT,35,2018,11067433029,,,,,,,,,
