Indicator 2,"Annual gross actual salaries of teachers (in national currency), by ISCED level and age range",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Category,Year,ISCED,Age range,BE-FR,BE-DE,BE-NL,BG,CZ*,DK,DE,EE,IE,EL,ES,FR*,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI*,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Teachers,2020/2021,ISCED 02,25-64 years,46540.253055108275,45085.03,48734,:,441900,398917,:,15156,:,17759,:,38202.39,:,29490.012,47964,12590.469216,21120,:,4312025.78,26599.677539771685,54947.01994754198,:,:,33883,59184,24844,13559,35170,403158,:,14364,:,7663000,:,12159.13,:,522644,:,:
Teachers,2020/2021,ISCED 1,25-64 years,45405.609179627696,46530.38,48139,:,564500,485093.5095610974,63329.07178772439,19607,60369,17759,:,37110.97,:,29490.012,47964,15702.68811024,21120,:,4515918.83,30564.653320586924,54947.01994754198,52525.53453710412,:,30881,61263,30804,17938,46332,457892,:,15162,:,8320000,:,12159.13,:,575848,989589,:
Teachers,2020/2021,ISCED 24,25-64 years,44494.28183611015,47899.32,47968,:,561100,488226.08112590126,69778.62094492692,19607,62573,18634,:,41441.84,:,31564.549,47964,16724.119558079998,21120,:,4515918.83,31066.58936101746,66711.51499659399,58723.602212296726,:,30078,60255,31248,17938,51347,476260,:,15960,:,8320000,:,12159.13,:,575848,989589,:
Teachers,2020/2021,ISCED 34,25-64 years,55936.90817793338,53616.47,57675,:,590500,568012.6154085635,73556.82476156532,19607,62573,18634,:,45887.15,:,33810.938,47964,18269.34978672,21120,:,4941289,30927.619577821315,66711.51499659399,67207.40773294133,:,32656,61043,31707,18656,57848,484829,:,17556,:,10581000,:,12159.13,:,626379,992623,:
Teachers,2020/2021,ISCED 02,25-34 years,37100.05,37455.11,39789.073220686,:,411700,366035,:,:,:,11275,:,30754.29,:,24683.156,31337,12595.4725248,:,:,3406504.61,26219.634220121225,46739,:,:,22640,46140,:,:,32853,381001,:,:,:,6891000,:,10875.75,:,485081,:,:
Teachers,2020/2021,ISCED 1,25-34 years,37432.47,38175.23,39473.75356030804,:,496600,445991.19791853713,:,:,50373,11275,:,30715.75,:,24683.156,31337,15701.991220799999,:,:,3344906.45,30359.26607766037,46739,40140.890036514065,:,22648,45575,21897,:,39504,418442,:,:,:,7348000,:,10875.75,:,533128,926763,:
Teachers,2020/2021,ISCED 24,25-34 years,37721.35,41552.78,39593.38636854958,:,501500,447963.81903014035,:,:,48347,10631,:,33858.83,:,26941.797,31337,16723.38544164,:,:,3344906.45,30620.628712282203,52944,42772.04269468948,:,22149,45404,21708,:,43558,434217,:,:,:,7348000,:,10875.75,:,533128,926763,:
Teachers,2020/2021,ISCED 34,25-34 years,44866.39,43934.7,45345.94044070045,:,521500,478328.7465895605,:,:,48347,10631,:,34969.85,:,27289.93,31337,18270.582744959996,:,:,3394848,30393.76384130065,52944,47014.57388524489,:,21911,44789,21798,:,48158,436364,:,:,:,9358000,:,10875.75,:,571337,928152,:
Teachers,2020/2021,ISCED 02,35-44 years,43848.06,43542.46,47463.43909749107,:,432800,401001,:,:,:,16221,:,35624.61,:,26290.523,44626,12795.31599528,:,:,3844069.22,26745.690816549282,57507,:,:,23495,57965,:,:,34766,397781,:,:,:,7343000,:,11713.14,:,532378,:,:
Teachers,2020/2021,ISCED 1,35-44 years,44560.96,45707.48,47690.90573148417,:,534400,484892.1490430677,:,:,62548,16221,:,35151.08,:,26290.523,44626,15429.176873999997,:,:,3985023.93,30302.78817788459,57507,46323.30694209603,:,24967,59932,29508,:,44600,451590,:,:,:,8084000,:,11713.14,:,578491,953561,:
Teachers,2020/2021,ISCED 24,35-44 years,44447.7,48243.29,47812.95051053037,:,539600,489253.27534650365,:,:,63660,15193,:,38649.65,:,28376.145,44626,16944.8965152,:,:,3985023.93,31115.037420314486,69116,49944.88501376542,:,24101,58644,29067,:,49362,469542,:,:,:,8084000,:,11713.14,:,578491,953561,:
Teachers,2020/2021,ISCED 34,35-44 years,53222.94,52140.51,55939.97368973516,:,559600,558472.541925986,:,:,63660,15193,:,41109.72,:,28690.94,44626,18712.3302396,:,:,4326594,30885.683428571425,69116,57030.09260127266,:,24031,58804,28539,:,54979,475229,:,:,:,10079000,:,11713.14,:,617104,955278,:
Teachers,2020/2021,ISCED 02,45-54 years,51644.66,51910.77,56107.06752193605,:,460400,415801,:,:,:,19604,:,39502.24,:,29144.859,57047,12903.109007399999,:,:,4597408.43,26944.03878077669,59058,:,:,28459,64230,:,:,36098,411114,:,:,:,7988000,:,12531.99,:,546244,:,:
Teachers,2020/2021,ISCED 1,45-54 years,51785.46,51623.59,55305.769899406696,:,580500,496567.1420702239,:,:,70341,19604,:,39076.77,:,29144.859,57047,15754.57957008,:,:,4726892.69,31379.6779182964,59058,57967.62888081329,:,28593,68642,34230,:,49079,470920,:,:,:,8578000,:,12531.99,:,602946,983732,:
Teachers,2020/2021,ISCED 24,45-54 years,50172.03,52259.46,54705.315794883885,:,583800,501073.53363225656,:,:,71800,18754,:,44442.75,:,31133.43,57047,16856.634276359997,:,:,4726892.69,31625.359675066324,71720,62735.45310940039,:,28580,66964,33999,:,53605,487120,:,:,:,8578000,:,12531.99,:,602946,983732,:
Teachers,2020/2021,ISCED 34,45-54 years,60524.73,58820.41,64812.69019331589,:,600700,591114.8586219468,:,:,71800,18754,:,47469.46,:,32164.11,57047,18477.70186032,:,:,5144459,31818.319849427186,71720,69112.00575169499,:,29047,67944,33681,:,60130,493895,:,:,:,10788000,:,12531.99,:,648776,984459,:
Teachers,2020/2021,ISCED 02,55-64 years,55737.25,55466.82,58791.03250424116,:,473100,424909,:,:,:,22625,:,44181.79,:,32434.797,58845,12940.596596399999,:,:,4957466.53,27443.716592926827,59766,:,:,38910,68402,:,:,36941,417342,:,:,:,8074000,:,13442.51,:,553139,:,:
Teachers,2020/2021,ISCED 1,55-64 years,55052.51,55119.85,58464.30712346575,:,604000,506649.33657211385,:,:,75380,22625,:,44592.33,:,32434.797,58845,15501.322799999998,:,:,5107289.64,30634.175118881114,59766,67172.30800136166,:,38401,70903,34497,:,50132,474867,:,:,:,8771000,:,13442.51,:,598239,1081747,:
Teachers,2020/2021,ISCED 24,55-64 years,53987.17,56440.64,57914.410905821314,:,610100,512471.7224505425,:,:,75379,21490,:,49276.13,:,35342.656,58845,16394.44915872,:,:,5107289.64,31363.77362179488,73910,75660.16934448073,:,36671,71210,34107,:,54077,487042,:,:,:,8771000,:,13442.51,:,598239,1081747,:
Teachers,2020/2021,ISCED 34,55-64 years,66012.88,62651.84,69028.78719641421,:,625500,614341.5161517084,:,:,75379,21490,:,52503.63,:,38123.79,58845,17978.56820064,:,:,5677442,30569.320799999994,73910,82488.71373156675,:,39242,72635,34014,:,60220,501369,:,:,:,10932000,:,13442.51,:,640701,1082994,:
Teachers,2021/2022,ISCED 02,25-64 years,48174.638069440705,47169.24,50912,:,459700,405444.3985337515,:,15953,a,17593,:,39038,:,29150.863283524952,47964,14051,23690,:,4406882.15,27702.2436277602,60360.28089822654,:,63724,34037,61482,21969,14307,35539,411872,:,14364,:,8537000,:,12159.13,:,543351,:,:
