ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_CORSI_SUP_VO;INTERVENTI_CORSI_ACCADEMICI_NO;INTERVENTI_CORSI_ACCADEMICI_NO_POST
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;013;Borse di studio - N. borse concesse;0;20;11
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;20;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;19;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;47;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;19;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;001101001272;Accademie delle Belle Arti;ALBERTINA;TORINO;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;013;Borse di studio - N. borse concesse;0;80;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;3;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;3;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;48;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;28;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;23;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;013;Borse di studio - N. borse concesse;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;001803001272;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Istituto di Arte Applicata e Design (IAAD) di TORINO;TORINO;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;013;Borse di studio - N. borse concesse;0;9;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;5;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;4;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;11;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;3;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;5;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;013;Borse di studio - N. borse concesse;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;4;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;1;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;070;Altri interventi di tipo finanziario - N. prestiti agevolati;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;071;Altri interventi di tipo finanziario - N. premi per il conseguimento del titolo;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;072;Altri interventi di tipo finanziario - N. contributi finanziari per il trasporto;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;073;Altri interventi di tipo finanziario - N. altri sussidi concessi;0;0;0
2024-2025;003803003106;Istituzioni autorizzate a rilasciare titoli AFAM (art.11 DPR 8.7.2005, n.212);Scuola del Teatro Musicale di NOVARA;NOVARA;074;Altri interventi di tipo finanziario - N. contributi straordinari;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;013;Borse di studio - N. borse concesse;0;14;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;014;Borse di studio -  N. borse concesse - di cui con fondi trasferiti da enti privati (banche, donazioni private, ecc.);0;9;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;015;Borse di studio - N. borse concesse - di cui con fondi trasferiti da enti pubblici;0;5;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;031;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali;0;5;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;033;Mobilità internazionale - N. studenti iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;034;Mobilità internazionale - N. studenti iscritti nell'istituto coinvolti in scambi internazionali - di cui n. studenti in mobilità extra Unione Europea;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;041;Interventi a favore di studenti con disabilità - N. domande;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;042;Interventi a favore di studenti con disabilità - N. interventi concessi;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;051;Attività di collaborazione a tempo parziale - N. collaborazioni;0;10;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;061;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;062;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;063;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;064;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0
