ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,TIPOPERCORSO,PERCORSO,INDIRIZZO,ALUNNIMASCHI,ALUNNIFEMMINE
202425,RETA00901C,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,VITICOLTURA ED ENOLOGIA,18,3
202425,NATN078016,SCUOLA SECONDARIA II GRADO,3,TECNICO,ECONOMICO,TURISMO,8,41
202425,ANPS03000E,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,61,60
202425,FIPC04000N,SCUOLA SECONDARIA II GRADO,3,LICEO,CLASSICO,CLASSICO,48,84
202425,PARH02150G,SCUOLA SECONDARIA II GRADO,4,PROFESSIONALE,SERVIZI,SERVIZI PER L'AGRICOLTURA E LO SVILUPPO RURALE,13,7
202425,BSPS03000P,SCUOLA SECONDARIA II GRADO,2,LICEO,ARTISTICO,ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE,3,22
202425,RGPS014015,SCUOLA SECONDARIA II GRADO,4,LICEO,CLASSICO,CLASSICO,9,20
202425,FRPC023019,SCUOLA SECONDARIA II GRADO,3,LICEO,SCIENTIFICO,SCIENTIFICO,19,19
202425,ENTD00801N,SCUOLA SECONDARIA II GRADO,3,TECNICO,TECNOLOGICO,ELETTRONICA,31,0
202425,VBTF003014,SCUOLA SECONDARIA II GRADO,5,TECNICO,TECNOLOGICO,INFORMATICA,23,1
202425,ANPC010006,SCUOLA SECONDARIA II GRADO,5,LICEO,SCIENZE UMANE,SCIENZE UMANE - OPZ. ECONOMICO SOCIALE,12,17
202425,RCPS01901C,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO,10,1
202425,AGRI026021,SCUOLA SECONDARIA II GRADO,5,PROFESSIONALE,NUOVI PROFESSIONALI,INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY,0,4
202425,PVTF00201D,SCUOLA SECONDARIA II GRADO,4,TECNICO,TECNOLOGICO,MECCANICA E MECCATRONICA,12,2
202425,CEPM07000X,SCUOLA SECONDARIA II GRADO,3,LICEO,ARTISTICO,DESIGN - MODA,3,12
202425,CTPS170002,SCUOLA SECONDARIA II GRADO,4,LICEO,SCIENTIFICO,SCIENTIFICO,15,15
