DATAFLOW,FREQ,GRUPPO_LAUREA,ATT_ECO,CONDIZIONE_DICH3_OCC,ANNO_CONSEG_LAUREA,ITTER107,ISCO3D,TIPO_OCC,TIPO_LAUREA,SETTORE_IMPIEGO,SESSO,RICHIESTA_LAUREA,UTILITA_LAUREA,TIPO_DATO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:612_939(1.1),A,1,0010,A1A1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,542,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,10.6,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,291,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,9.5,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,833,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,10.2,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,3570,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,69.9,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,2456,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,80.1,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,6026,,,,,,,,,
IT1:612_939(1.1),A,1,0010,A1A2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,73.7,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,483,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,9.5,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,203,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,6.6,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,686,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,8.4,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,513,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,10,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,118,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,3.8,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,631,,,,,,,,,
IT1:612_939(1.1),A,1,0010,B2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,7.7,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,1,9,9,INC,2015,1400,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,1,9,9,INC_AC,2015,1400,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,2,9,9,INC,2015,1283,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,2,9,9,INC_AC,2015,1283,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,INC,2015,1400,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,INC_AC,2015,1342,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,5107,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,100,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,WORK_NS,2015,3012,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,72,9,9,9,9,WORK_O,2015,100,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,1,9,9,INC,2015,1528,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,1,9,9,INC_AC,2015,1517,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,2,9,9,INC,2015,1417,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,2,9,9,INC_AC,2015,1408,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,INC,2015,1517,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,INC_AC,2015,1500,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,3068,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,100,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,WORK_NS,2015,2065,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,73,9,9,9,9,WORK_O,2015,100,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,1,9,9,INC,2015,1458,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,1,9,9,INC_AC,2015,1408,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,2,9,9,INC,2015,1375,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,2,9,9,INC_AC,2015,1300,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,9,9,9,INC,2015,1408,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,9,9,9,INC_AC,2015,1400,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,8175,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,100,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,9,9,9,WORK_NS,2015,5076,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ALL,9,99,9,9,9,9,WORK_O,2015,100,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ART,9,72,9,9,9,9,WORK_NS,2015,37,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ART,9,72,9,9,9,9,WORK_O,2015,1.2,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ART,9,73,9,9,9,9,WORK_NS,2015,5,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ART,9,73,9,9,9,9,WORK_O,2015,0.2,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ART,9,99,9,9,9,9,WORK_NS,2015,42,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,ART,9,99,9,9,9,9,WORK_O,2015,0.8,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SERV,9,72,9,9,9,9,WORK_NS,2015,303,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SERV,9,72,9,9,9,9,WORK_O,2015,10.1,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SERV,9,73,9,9,9,9,WORK_NS,2015,81,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SERV,9,73,9,9,9,9,WORK_O,2015,3.9,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SERV,9,99,9,9,9,9,WORK_NS,2015,384,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SERV,9,99,9,9,9,9,WORK_O,2015,7.6,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SKIL,9,72,9,9,9,9,WORK_NS,2015,1396,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SKIL,9,72,9,9,9,9,WORK_O,2015,46.4,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SKIL,9,73,9,9,9,9,WORK_NS,2015,1621,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SKIL,9,73,9,9,9,9,WORK_O,2015,78.5,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SKIL,9,99,9,9,9,9,WORK_NS,2015,3017,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,SKIL,9,99,9,9,9,9,WORK_O,2015,59.4,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,TECH,9,72,9,9,9,9,WORK_NS,2015,1275,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,TECH,9,72,9,9,9,9,WORK_O,2015,42.3,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,TECH,9,73,9,9,9,9,WORK_NS,2015,358,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,TECH,9,73,9,9,9,9,WORK_O,2015,17.3,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,TECH,9,99,9,9,9,9,WORK_NS,2015,1633,,,,,,,,,
IT1:612_939(1.1),A,1,0010,TOT,2011,ITTOT,TECH,9,99,9,9,9,9,WORK_O,2015,32.2,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,1056,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,34,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,2895,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,16.5,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,3951,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A1_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,19.1,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,1124,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A2_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,36.1,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,8963,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A2_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,51.1,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH,2015,10087,,,,,,,,,
IT1:612_939(1.1),A,10,0010,A1A2_P,2011,ITTOT,ALL,9,99,9,9,9,9,NO_ACH_C,2015,48.9,,,,,,,,,
IT1:612_939(1.1),A,10,0010,B1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH,2015,669,,,,,,,,,
IT1:612_939(1.1),A,10,0010,B1_P,2011,ITTOT,ALL,9,72,9,9,9,9,NO_ACH_C,2015,21.5,,,,,,,,,
IT1:612_939(1.1),A,10,0010,B1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH,2015,4280,,,,,,,,,
IT1:612_939(1.1),A,10,0010,B1_P,2011,ITTOT,ALL,9,73,9,9,9,9,NO_ACH_C,2015,24.4,,,,,,,,,
