Anno;Ente Controllore;Aziende ispezionate;Aziende irregolari;Aziende ispezionate e irregolari;Lavoratori irregolari;Lavoratori totalmente in nero;Importo recupero contributi e premi evasi in euro
2010;Ministero del Lavoro;148.694;82.191;55.3;157.574;57.186;214.832.586.00
2010;inps;88.123;67.955;77.1;77.636;65.086;1.121.491.000.00
2010;inail;24.584;21.221;86.3;46.325;10.426;52.066.440.00
2010;enpals;613;443;72.3;16.405;668;29.164.606.39
2010;tutti gli enti;262.014;171.810;65.6;232.854;133.366;1.417.554.632.39
2011;Ministero del Lavoro;148.553;73.789;49.7;164.473;52.426;165.479.636.20
2011;inps;73.722;57.224;77.6;56.660;45.036;981.438.778.00
2011;inail;21.201;18.145;85.6;48.716;7.509;56.548.902.00
2011;enpals;694;550;79.3;8.419;308;21.698.122.62
2011;tutti gli enti;244.170;149.708;61.3;278.268;105.279;1.225.165.438.82
2012;Ministero del Lavoro;139.937;75.087;53.7;163.305;47.877;450.079.448.00
2012;inps;80.960;59.823;73.9;78.263;44.261;1.124.159.151.00
2012;inail;22.950;19.910;86.8;53.734;8.055;57.464.693.00
2012;tutti gli enti;243.847;154.820;63.5;295.302;100.193;16.317.032.920.00
