Macro_Track,Specific_Branch,Grade_Level,Subject,Book_Title_Type,Average_Price_Print_Eur,Digital_Edition_Price_Eur,Digital_Discount_Percent,Ministerial_Ceiling_Cap_Notes
Liceo,Liceo Classico,Anno 1 (Classe I),Lingua e letteratura italiana,Antologia + Grammatica (3 vol.),58.5,42.0,39.3,MIM Tetto Anno 1: €335.00 | Overrun: +74.6%
Liceo,Liceo Classico,Anno 1 (Classe I),Lingua e cultura latina,Grammatica + Esercizi (2 vol.),49.0,36.0,36.1,Obbligatorio adozione Anno 1
Liceo,Liceo Classico,Anno 1 (Classe I),Lingua e cultura greca,Grammatica + Esercizi (2 vol.),52.0,38.0,36.8,Obbligatorio adozione Anno 1
Liceo,Liceo Classico,Anno 1 (Classe I),Lingua e cultura straniera (Inglese),Coursebook + Grammar + WB,38.0,29.0,31.0,Consigliata versione integrata digital
Liceo,Liceo Classico,Anno 1 (Classe I),Storia e geografia,Manuale integrato (2 vol.),36.5,27.5,32.7,Adottato nel biennio
Liceo,Liceo Classico,Anno 1 (Classe I),Matematica,Manuale con esercizi biennio,39.0,29.5,32.2,Corso triennale/biennale
Liceo,Liceo Classico,Anno 1 (Classe I),Scienze naturali,Biologia e Scienze della Terra,32.0,24.0,33.3,Modulo biennio
Liceo,Liceo Classico,Anno 1 (Classe I),Religione / Materia alternativa,Testo unico 5 anni,18.0,14.0,28.6,Facoltativo / Opzionale
Liceo,Liceo Classico,Anno 3 (Classe III),Filosofia,Manuale di Filosofia (Vol 1),34.0,26.0,30.8,MIM Tetto Anno 3: €150.00 | Overrun: +42.0%
Liceo,Liceo Classico,Anno 3 (Classe III),Fisica,Manuale di Fisica triennio,31.5,23.5,34.0,Adottato in 3a
Liceo,Liceo Classico,Anno 3 (Classe III),Storia dell'arte,Manuale di Storia dell'Arte (Vol 1),36.0,27.0,33.3,Adottato in 3a
Liceo,Liceo Scientifico,Anno 1 (Classe I),Lingua e letteratura italiana,Antologia + Grammatica,56.0,41.0,36.6,MIM Tetto Anno 1: €320.00 | Overrun: +68.8%
Liceo,Liceo Scientifico,Anno 1 (Classe I),Lingua e cultura latina,Grammatica + Esercizi,46.0,34.0,35.3,Adottato al biennio
Liceo,Liceo Scientifico,Anno 1 (Classe I),Lingua e cultura straniera (Inglese),Coursebook + Grammar,37.5,28.0,33.9,Versione mista paper+digital
Liceo,Liceo Scientifico,Anno 1 (Classe I),Storia e geografia,Manuale biennio,35.0,26.0,34.6,Adottato al biennio
Liceo,Liceo Scientifico,Anno 1 (Classe I),Matematica,Manuale avanzato + Algebra/Geometria,48.0,36.0,33.3,Corso biennale integrato
Liceo,Liceo Scientifico,Anno 1 (Classe I),Fisica,Fisica per i Licei (Vol 1),29.5,22.0,34.1,Primo biennio
Liceo,Liceo Scientifico,Anno 1 (Classe I),Scienze naturali,Chimica e Scienze della Terra,34.0,25.5,33.3,Modulo biennio
Liceo,Liceo Scientifico,Anno 1 (Classe I),Disegno e storia dell'arte,Manuale + Tavole da disegno,36.0,27.0,33.3,Corso 5 anni
Liceo,Scienze Applicate,Anno 1 (Classe I),Lingua e letteratura italiana,Antologia + Grammatica,54.0,40.0,35.0,MIM Tetto Anno 1: €320.00 | Overrun: +62.5%
Liceo,Scienze Applicate,Anno 1 (Classe I),Informatica,Manuale di Informatica + Lab Python,32.0,24.0,33.3,Sostituisce Latino
Liceo,Scienze Applicate,Anno 1 (Classe I),Matematica,Manuale avanzato con moduli Python/Excel,49.0,37.0,32.4,Corso biennale integrato
Liceo,Scienze Applicate,Anno 1 (Classe I),Fisica,Fisica sperimentale con Lab (Vol 1),31.0,23.0,34.8,Modulo con laboratori virtuali
Liceo,Scienze Applicate,Anno 1 (Classe I),Scienze naturali,"Biologia, Chimica, Scienze Terra (3 vol.)",44.0,33.0,33.3,Potenziato rispetto al Tradizionale
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Lingua e letteratura italiana,Antologia biennio,42.0,31.0,35.5,MIM Tetto Anno 1: €304.00 | Overrun: +51.3%
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Lingua inglese,Business English + Coursebook,34.0,25.0,36.0,Adottato al biennio
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Seconda lingua straniera (Spagnolo/Tedesco/Francese),Coursebook + Esercizi,31.0,23.0,34.8,Obbligatorio biennio
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Matematica,Matematica per l'Economia,36.0,27.0,33.3,Corso biennio
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Diritto ed economia,Manuale di Diritto ed Economia,29.0,21.5,34.9,Adottato al biennio
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Economia aziendale,Primi elementi di Economia Aziendale,28.0,21.0,33.3,Propedeutico al triennio
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Informatica,Informatica gestionale + Licenza software,33.0,24.5,34.8,Adottato al biennio
Tecnico,Tecnico Economico (AFM),Anno 1 (Classe I),Geografia economica,Geografia generale ed economica,26.0,19.5,33.3,Modulo biennio
Tecnico,Tecnico Tecnologico (Informatica),Anno 1 (Classe I),Lingua e letteratura italiana,Antologia biennio,41.0,30.0,36.6,MIM Tetto Anno 1: €304.00 | Overrun: +57.9%
Tecnico,Tecnico Tecnologico (Informatica),Anno 1 (Classe I),Matematica,Matematica con moduli tecnologici,38.0,28.5,33.3,Adottato al biennio
Tecnico,Tecnico Tecnologico (Informatica),Anno 1 (Classe I),Fisica,Fisica applicata con laboratorio,31.0,23.0,34.8,Scienze integrate
Tecnico,Tecnico Tecnologico (Informatica),Anno 1 (Classe I),Chimica,Chimica generale ed organica,29.5,22.0,34.1,Scienze integrate
Tecnico,Tecnico Tecnologico (Informatica),Anno 1 (Classe I),Tecnologie e tecniche di rappresentazione grafica,Manuale CAD + Disegno,35.0,26.0,34.6,Corso biennio
Tecnico,Tecnico Tecnologico (Informatica),Anno 1 (Classe I),Tecnologie informatiche,Manuale di Programmazione e Hardware,34.0,25.0,36.0,Corso 1° anno
Tecnico,Tecnico Tecnologico (Informatica),Anno 3 (Classe III),Informatica (Triennio),Linguaggi C++/Java/Web (Vol 1),38.0,28.5,33.3,MIM Tetto Anno 3: €190.00 | Overrun: +44.7%
Tecnico,Tecnico Tecnologico (Informatica),Anno 3 (Classe III),Sistemi e reti,Reti di calcolatori e Architetture (Vol 1),36.0,27.0,33.3,Adottato in 3a
Tecnico,Tecnico Tecnologico (Informatica),Anno 3 (Classe III),Telecomunicazioni,Tecnologie delle Telecomunicazioni,32.0,24.0,33.3,Adottato in 3a
Professionale,Professionale (Enogastronomia),Anno 1 (Classe I),Lingua e letteratura italiana,Italiano per la formazione professionale,36.0,27.0,33.3,MIM Tetto Anno 1: €240.00 | Overrun: +83.3%
Professionale,Professionale (Enogastronomia),Anno 1 (Classe I),Lingua inglese,English for Culinary & Hospitality,32.0,24.0,33.3,Adottato al biennio
Professionale,Professionale (Enogastronomia),Anno 1 (Classe I),Matematica,Matematica applicata ed esercitazioni,31.0,23.0,34.8,Adottato al biennio
Professionale,Professionale (Enogastronomia),Anno 1 (Classe I),Scienza e cultura dell'alimentazione,Manuale di Alimentazione e Nutrizione,38.0,28.5,33.3,Adottato per 5 anni
Professionale,Professionale (Enogastronomia),Anno 1 (Classe I),Laboratorio di servizi enogastronomici (Cucina),Manuale di Tecnica di Cucina + Divisa Lab,65.0,48.0,35.4,Corredo divisa professionale €180 extra
Professionale,Professionale (Enogastronomia),Anno 1 (Classe I),Diritto ed economia,Diritto per le strutture ricettive,26.0,19.5,33.3,Adottato al biennio
Professionale,Professionale (Enogastronomia),Anno 1 (Classe I),Seconda lingua straniera (Francese),Français pour la Restauration,28.0,21.0,33.3,Adottato al biennio
