ANNO_SOLARE;TIPO_ISTITUTO;Area_Istituto;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;DIPLOMATI
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione arte ambientale;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione arte ambientale;F;8
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione per gli spazi interni;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione per gli spazi interni;F;9
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE - Editoria artistica;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE - Editoria artistica;F;4
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuove Tendenze;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuove Tendenze;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA E NUOVE TECNOLOGIE;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;M;5
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;15
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;M;7
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;F;13
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;4
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;7
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;M;1
