paese;anno;assistenza formale di durata 1-29 ore settimanali;assistenza formale di durata maggiore 30 ore settimanali;altri tipi di assistenza di durata 1-29 ore settimanali;altri tipi di assistenza di durata maggiore di 30 ore settimanali;bambini accuditi solo dai genitori
Italia;2005;9;16;24;9;53
Austria;2005;4;0;27;2;68
Belgio;2005;23;19;15;6;45
Danimarca;2005;13;60;0;n.d;27
Finlandia;2005;8;19;3;2;70
Francia ;2005;16;16;15;15;48
Germania ;2005;8;8;24;3;62
Grecia;2005;3;4;17;31;47
Irlanda ;2005;14;6;26;12;47
Lussemburgo;2005;14;8;31;12;43
Paesi Bassi;2005;36;4;49;2;30
Portogallo;2005;4;26;26;21;27
Regno Unito ;2005;24;5;30;6;48
Spagna;2005;25;14;15;9;44
Svezia ;2005;22;31;0;0;47
Ue15;2005;17;13;22;9;49
Ue27 ;2005;n.d;n.d;n.d;n.d;n.d
Italia;2006;10;16;22;13;50
Austria;2006;3;1;31;5;61
Belgio;2006;17;23;22;8;43
Danimarca;2006;7;66;1;0;26
Finlandia;2006;5;21;3;2;70
Francia ;2006;14;17;15;14;50
Germania ;2006;11;7;5;2;76
Grecia;2006;2;8;25;29;41
Irlanda ;2006;13;5;22;14;52
Lussemburgo;2006;14;17;30;11;38
Paesi Bassi;2006;41;4;53;3;25
Portogallo;2006;1;32;9;37;23
Regno Unito ;2006;28;5;31;8;45
Spagna;2006;20;19;17;9;42
Svezia ;2006;17;27;2;2;52
Ue15;2006;16;13;19;9;51
Ue27 ;2006;n.d;n.d;n.d;n.d;n.d
Italia;2007;10;15;20;11;54
Austria;2007;7;1;26;2;66
Belgio;2007;21;23;17;9;40
Danimarca;2007;7;63;n.d;1;29
Finlandia;2007;6;20;3;2;70
Francia ;2007;13;14;15;15;52
Germania ;2007;8;9;17;3;66
Grecia;2007;4;6;16;29;49
Irlanda ;2007;13;11;16;10;55
Lussemburgo;2007;11;14;34;6;45
Paesi Bassi;2007;39;4;59;4;22
Portogallo;2007;2;25;9;34;37
Regno Unito ;2007;34;4;34;7;38
Spagna;2007;24;16;17;11;41
Svezia ;2007;20;27;2;2;50
Ue15;2007;18;12;21;10;49
Ue27 ;2007;n.d;n.d;n.d;n.d;n.d
Italia;2008;12;16;23;10;52
Austria;2008;4;2;25;3;67
Belgio;2008;20;23;17;7;43
Danimarca;2008;8;65;0;0;27
Finlandia;2008;5;21;1;1;72
Francia ;2008;17;23;14;10;47
Germania ;2008;10;9;17;2;64
Grecia;2008;5;7;20;35;37
Irlanda ;2008;16;8;15;13;53
Lussemburgo;2008;13;13;28;13;43
Paesi Bassi;2008;41;6;57;3;24
Portogallo;2008;2;31;8;37;28
Regno Unito ;2008;31;4;30;7;46
Spagna;2008;22;16;15;8;45
Svezia ;2008;18;31;2;2;47
Ue15;2008;18;15;20;8;49
Ue27 ;2008;n.d;n.d;n.d;n.d;n.d
Italia;2009;9;16;19;10;56
Austria;2009;7;2;31;3;63
Belgio;2009;17;16;12;4;59
Danimarca;2009;10;63;n.d;n.d;27
Finlandia;2009;6;21;3;1;69
Francia ;2009;16;25;15;9;45
Germania ;2009;7;12;13;2;68
Grecia;2009;4;7;21;39;32
Irlanda ;2009;15;5;18;11;57
Lussemburgo;2009;22;12;22;11;43
Paesi Bassi;2009;43;6;58;3;22
Portogallo;2009;2;34;10;39;22
Regno Unito ;2009;31;4;33;7;42
Spagna;2009;18;18;12;9;48
Svezia ;2009;26;37;2;2;34
Ue15;2009;17;16;20;8;49
Ue27 ;2009;n.d;n.d;n.d;n.d;n.d
Italia;2010;6;16;17;12;57
Austria;2010;6;3;35;2;59
Belgio;2010;17;19;13;5;55
Danimarca;2010;10;68;n.d;n.d;23
Finlandia;2010;8;20;2;3;67
Francia ;2010;17;26;13;8;46
Germania ;2010;7;13;12;3;66
Grecia;2010;3;5;25;34;35
Irlanda ;2010;21;8;19;9;52
Lussemburgo;2010;17;19;25;11;38
Paesi Bassi;2010;44;6;56;3;21
Portogallo;2010;5;32;23;34;22
Regno Unito ;2010;31;4;30;6;44
Spagna;2010;20;18;12;8;47
Svezia ;2010;18;33;1;2;47
Ue15;2010;17;16;19;8;49
Ue27 ;2010;14;14;19;9;52
Italia;2011;9;17;32;12;45
Austria;2011;11;3;30;3;60
Belgio;2011;19;20;10;5;54
Danimarca;2011;5;69;n.d;0;26
Finlandia;2011;6;20;1;1;71
Francia ;2011;18;26;17;8;41
Germania ;2011;9;15;10;4;66
Grecia;2011;4;15;20;31;36
Irlanda ;2011;10;11;11;10;62
Lussemburgo;2011;16;28;30;7;35
Paesi Bassi;2011;46;6;52;2;21
Portogallo;2011;1;34;10;32;28
Regno Unito ;2011;30;5;29;7;46
Spagna;2011;20;19;11;6;49
Svezia ;2011;19;32;2;1;47
Ue15;2011;18;17;20;7;48
Ue27 ;2011;15;15;20;9;50
