file,slug,rows,cols,size_kb
istat_employment_by_education.csv,employment_by_education,1755315,12,107648.1
istat_graduates_job_search.csv,graduates_job_search,420,13,20.6
istat_graduates_occupational_status.csv,graduates_occupational_status,3349,17,217.3
istat_highschool_graduates_demographics.csv,highschool_graduates_demographics,1961,17,146.1
istat_highschool_graduates_employment.csv,highschool_graduates_employment,1462,16,91.3
istat_highschool_graduates_job_search.csv,highschool_graduates_job_search,285,11,13.1
istat_household_spending_avg.csv,household_spending_avg,48076,12,2634.9
istat_household_spending_detail.csv,household_spending_detail,448,9,22.3
istat_household_spending_new.csv,household_spending_new,98293,14,6460.1
istat_households_cannot_afford.csv,households_cannot_afford,2090,16,140.3
istat_households_financial_difficulty.csv,households_financial_difficulty,4054,16,229.9
istat_households_heavy_burden.csv,households_heavy_burden,2761,16,166.7
istat_households_no_savings.csv,households_no_savings,1984,15,109.5
istat_labour_force.csv,labour_force,49485,10,2372.2
istat_neet.csv,neet,27487,13,1641.3
istat_neet_new.csv,neet_new,57397,13,3405.6
istat_phd_occupational_status.csv,phd_occupational_status,1752,17,105.8
istat_phd_wages.csv,phd_wages,1037,12,48.7
istat_poverty_absolute.csv,poverty_absolute,64,7,2.6
istat_poverty_absolute_incidence.csv,poverty_absolute_incidence,157,14,9.5
istat_poverty_absolute_intensity.csv,poverty_absolute_intensity,16,7,0.7
istat_poverty_absolute_threshold.csv,poverty_absolute_threshold,1368,9,62.9
istat_poverty_relative.csv,poverty_relative,64,7,2.5
istat_poverty_relative_incidence.csv,poverty_relative_incidence,715,14,44.0
istat_poverty_relative_intensity.csv,poverty_relative_intensity,16,7,0.7
istat_poverty_relative_threshold.csv,poverty_relative_threshold,28,8,1.2
istat_poverty_social_exclusion_risk.csv,poverty_social_exclusion_risk,2678,18,200.1
istat_schools_infanzia.csv,schools_infanzia,19834,9,646.6
istat_schools_primaria.csv,schools_primaria,22144,9,793.6
istat_schools_sec1.csv,schools_sec1,21322,9,749.8
istat_schools_sec2.csv,schools_sec2,255430,10,9977.3
istat_unemployment_rate.csv,unemployment_rate,82692,11,4794.6
istat_university_balance_sheet.csv,university_balance_sheet,176,7,5.7
istat_university_graduates.csv,university_graduates,14364,11,558.4
istat_university_income_statement.csv,university_income_statement,160,7,5.2
istat_university_indicators.csv,university_indicators,2673,9,105.8
