GRADO;Ripartizione;MATERIA;Perc.2018;Perc.2019;Perc.2021;Perc.2022;Perc.2023;Perc.2024
Terza Secondaria di Primo Grado;Nord ovest;Inglese - Ascolto;65,146041314835;70,2753176197618;68,8784790746346;71,8877640382527;73,7634194264886;76,0078397398115
Terza Secondaria di Primo Grado;Nord ovest;Inglese - Lettura;81,7630431385918;83,92992123203;82,0767817317268;83,847703521314;85,2942816516575;85,6273192328705
Terza Secondaria di Primo Grado;Nord ovest;Italiano;71,5405051184868;69,9261328761614;65,4642202861258;65,9154301015285;65,406909989214;64,0765893495151
Terza Secondaria di Primo Grado;Nord ovest;Matematica;68,6289950693484;68,0993030989854;61,9048953596727;63,5352243583024;62,7751783385748;62,6617427739507
Terza Secondaria di Primo Grado;Nord est;Inglese - Ascolto;70,5030908226343;74,2417620006841;73,1167204903447;75,4959478009063;77,2546088689586;79,1038549784781
Terza Secondaria di Primo Grado;Nord est;Inglese - Lettura;83,723290243648;85,8432595953867;84,499957691259;85,7966767172955;87,206680190593;87,1837392210746
Terza Secondaria di Primo Grado;Nord est;Italiano;70,9393771735694;69,6002207309743;66,651692854562;66,3296179898105;65,6891178465743;63,9538666272364
Terza Secondaria di Primo Grado;Nord est;Matematica;70,0481029231776;69,5250971456665;64,399770678847;65,0780985994818;64,3778286969531;63,7893975995283
Terza Secondaria di Primo Grado;Centro;Inglese - Ascolto;58,8334278873429;62,8275828882152;62,5491424990029;65,4959131972659;67,4455040871935;70,6619700736162
Terza Secondaria di Primo Grado;Centro;Inglese - Lettura;77,8524003597191;80,7210513170282;78,9630681818182;80,560692429413;82,3384368369746;83,4781441202985
Terza Secondaria di Primo Grado;Centro;Italiano;69,4010192979442;68,3905620563975;65,1131849363541;64,8149378065789;64,5228037721816;63,0731245155178
Terza Secondaria di Primo Grado;Centro;Matematica;64,8218738356596;64,1704195193148;59,2951050537319;60,0287419222826;58,6302730476472;59,4699331421281
Terza Secondaria di Primo Grado;Sud;Inglese - Ascolto;38,6480867757452;42,8502853002445;44,3291445252811;48,5589963292025;52,122293189098;56,6283310499199
Terza Secondaria di Primo Grado;Sud;Inglese - Lettura;64,2850975651874;69,2516146515514;66,6504111142614;70,0809654750993;74,7126108908349;77,8058007566204
Terza Secondaria di Primo Grado;Sud;Italiano;58,8318303848007;58,7900458438786;54,6284807225818;55,3211843376461;56,8179017903686;56,062540191383
Terza Secondaria di Primo Grado;Sud;Matematica;50,8697113023701;50,872557065683;44,3788914284427;46,319963484909;46,9473984048614;47,7468286203777
Terza Secondaria di Primo Grado;Sud e isole;Inglese - Ascolto;32,0953319721186;35,8713638216744;37,543540620838;41,0797241165129;44,6327611184472;48,6716947878599
Terza Secondaria di Primo Grado;Sud e isole;Inglese - Lettura;57,0361854329246;62,2291317866539;61,6566134738235;63,5694430145166;67,7267835665;71,1570760445467
Terza Secondaria di Primo Grado;Sud e isole;Italiano;54,2155989309144;53,8650394489071;50,6781564238762;50,5123499273534;51,2890112109888;49,5201535508637
Terza Secondaria di Primo Grado;Sud e isole;Matematica;44,4161289948916;44,0395099430971;39,4274494901514;39,9575192251097;39,9931689668695;39,468656408138
Terza Secondaria di Primo Grado;Italia;Inglese - Ascolto;54,3103526693532;58,7864513770367;59,6111882944701;62,3612506958481;64,678816839634;67,8232096609047
Terza Secondaria di Primo Grado;Italia;Inglese - Lettura;73,8823482582744;77,3863140805998;76,2530116784065;77,9700613862677;80,4506514715472;81,8824126459034
Terza Secondaria di Primo Grado;Italia;Italiano;65,6122111190737;64,8060440583536;61,5095326355295;61,4308158183309;61,5032933840736;60,1389886918044
Terza Secondaria di Primo Grado;Italia;Matematica;60,677521416478;60,4373113261949;55,5115526704968;56,3660627824028;55,8384237844709;55,9637601139269
Quinta Secondaria di Secondo Grado;Nord ovest;Inglese - Ascolto; ;47,6818664233713;47,9941162049522;51,061339088922;53,7866826373387;56,8846119255329
Quinta Secondaria di Secondo Grado;Nord ovest;Inglese - Lettura; ;64,9197413111246;58,7526549148959;61,4658700577359;62,9306434934054;66,0292028555502
Quinta Secondaria di Secondo Grado;Nord ovest;Italiano; ;75,9961460427456;61,902220324509;63,4834118910262;61,8071656281698;66,2371064244524
Quinta Secondaria di Secondo Grado;Nord ovest;Matematica; ;73,4795668619743;60,7300507683463;63,0529078350252;62,4489130139283;63,5955459770115
Quinta Secondaria di Secondo Grado;Nord est;Inglese - Ascolto; ;50,4733631861895;51,2303949732895;54,3926788685524;57,8245450845881;60,0041822047189
Quinta Secondaria di Secondo Grado;Nord est;Inglese - Lettura; ;66,3613364738725;61,9693899968267;63,8637307852098;66,4694463494868;67,9261281142924
Quinta Secondaria di Secondo Grado;Nord est;Italiano; ;75,6812454221549;62,9824163643692;63,0572623471553;62,4756756756757;66,1749996987335
Quinta Secondaria di Secondo Grado;Nord est;Matematica; ;74,8962500931885;64,0272430430333;65,5753662068802;65,6630924522371;65,8528922350094
Quinta Secondaria di Secondo Grado;Centro;Inglese - Ascolto; ;35,1451947845625;36,083384340129;39,1831984927408;41,7536755742588;44,9263283862765
Quinta Secondaria di Secondo Grado;Centro;Inglese - Lettura; ;52,9825752432677;47,7486247786157;49,5710906236873;52,7747206230952;56,4820749476563
Quinta Secondaria di Secondo Grado;Centro;Italiano; ;64,533585875668;51,6482622341044;51,3485283284406;50,9164947908403;57,0608115334431
Quinta Secondaria di Secondo Grado;Centro;Matematica; ;59,1269481696267;48,1735453196734;48,3978778085395;48,9975746920706;51,0526035282204
Quinta Secondaria di Secondo Grado;Sud;Inglese - Ascolto; ;21,5272007543576;21,8449091219874;23,7470134039354;25,5217003817115;29,1791144602488
Quinta Secondaria di Secondo Grado;Sud;Inglese - Lettura; ;47,1563032407623;38,7875095633448;42,2023066186733;45,83823381162;49,9790476020649
Quinta Secondaria di Secondo Grado;Sud;Italiano; ;53,4725050916497;38,2987494846777;39,6327899938008;38,9929279593673;45,2905614480674
Quinta Secondaria di Secondo Grado;Sud;Matematica; ;50,1262110694532;35,0836392165653;37,0726740719678;37,2656144610819;40,8161622665808
Quinta Secondaria di Secondo Grado;Sud e isole;Inglese - Ascolto; ;18,1486598507875;19,7511256399186;21,6041471668227;23,825489745427;28,5989943520331
Quinta Secondaria di Secondo Grado;Sud e isole;Inglese - Lettura; ;40,3838999049207;35,8290330507433;38,1878741762738;43,6014538772312;50,1055089752968
Quinta Secondaria di Secondo Grado;Sud e isole;Italiano; ;50,103602058319;37,9581309764411;38,3837234118233;39,4502960255701;46,6925796048277
Quinta Secondaria di Secondo Grado;Sud e isole;Matematica; ;43,5822990340424;32,4290566784969;33,3442932296432;34,7904814669676;39,0335200247671
Quinta Secondaria di Secondo Grado;Italia;Inglese - Ascolto; ;34,8961662921052;37,0613437678001;38,4995201046887;40,6192147704731;44,2986620083798
Quinta Secondaria di Secondo Grado;Italia;Inglese - Lettura; ;54,7722937268402;49,9232204929689;51,5393492505316;54,4141112663597;58,3052141417039
Quinta Secondaria di Secondo Grado;Italia;Italiano; ;64,2909067094535;51,8380927609915;51,547377277161;50,7017758929851;56,4669521250912
Quinta Secondaria di Secondo Grado;Italia;Matematica; ;60,6971890151051;49,7001210317899;50,0534927763182;49,9762040738626;52,4660857824005
Quinta Secondaria di Secondo Grado - Altri licei;Nord ovest;Inglese - Ascolto; ;58,3873549419768;41,1372575161656;45,4674046740467;49,3129955813813;53,2077243646182
Quinta Secondaria di Secondo Grado - Altri licei;Nord ovest;Inglese - Lettura; ;74,0737777066496;52,5714667379108;56,2031691438398;59,1118102613746;62,5271436117143
Quinta Secondaria di Secondo Grado - Altri licei;Nord ovest;Italiano; ;85,1603638104356;64,8299184404217;66,0943419283881;65,4574037124373;71,3443048428007
Quinta Secondaria di Secondo Grado - Altri licei;Nord ovest;Matematica; ;71,9234335673599;55,66962664642;58,5204837117473;58,234806375334;59,487555800159
Quinta Secondaria di Secondo Grado - Altri licei;Nord est;Inglese - Ascolto; ;61,5677233429395;46,1366880799429;50,3404255319149;55,2187729161574;58,7895550313186
Quinta Secondaria di Secondo Grado - Altri licei;Nord est;Inglese - Lettura; ;75,184331797235;57,3516307253609;59,4323589394969;62,7607561929596;66,0242335528991
Quinta Secondaria di Secondo Grado - Altri licei;Nord est;Italiano; ;85,0071694866648;65,6749929834409;66,7022982362373;66,0046228918757;71,5899292981549
Quinta Secondaria di Secondo Grado - Altri licei;Nord est;Matematica; ;71,360705802511;58,4750869061414;59,8729486500794;60,4358395554784;61,0070671378092
Quinta Secondaria di Secondo Grado - Altri licei;Centro;Inglese - Ascolto; ;41,189297233453;23,8670950287454;25,6190334128878;29,164603522671;33,2772430504139
Quinta Secondaria di Secondo Grado - Altri licei;Centro;Inglese - Lettura; ;57,7003452662184;34,3013008812421;34,4827586206897;39,3922261484099;44,2974207415368
Quinta Secondaria di Secondo Grado - Altri licei;Centro;Italiano; ;69,9313417905697;45,4955707838877;44,3776441772434;44,0067887702426;53,0433020333716
Quinta Secondaria di Secondo Grado - Altri licei;Centro;Matematica; ;50,8578690955306;38,0769925899151;38,4660593593888;39,6116686989963;41,5813318438528
Quinta Secondaria di Secondo Grado - Altri licei;Sud;Inglese - Ascolto; ;26,2653835477006;11,4932355544317;13,5329158393157;15,124314312175;18,8274755724078
Quinta Secondaria di Secondo Grado - Altri licei;Sud;Inglese - Lettura; ;51,903465460754;25,8332285247139;30,1487981686379;35,1251422070535;40,1515151515151
Quinta Secondaria di Secondo Grado - Altri licei;Sud;Italiano; ;59,7355935326362;32,3060056036058;34,0661848611639;34,2498759832755;42,0717888734557
Quinta Secondaria di Secondo Grado - Altri licei;Sud;Matematica; ;43,5994930291508;25,893050443819;30,7716123705666;31,3436208677686;36,0306813653872
Quinta Secondaria di Secondo Grado - Altri licei;Sud e isole;Inglese - Ascolto; ;21,8958788119336;9,7981127935045;11,4788658163803;13,4106125712002;18,0631451123254
Quinta Secondaria di Secondo Grado - Altri licei;Sud e isole;Inglese - Lettura; ;44,1568731018091;23,0306345733042;26,2936474547749;30,1517571884984;39,2154885550066
Quinta Secondaria di Secondo Grado - Altri licei;Sud e isole;Italiano; ;54,8566142460685;31,7684050742708;30,9122843268933;32,0933913731698;41,5617128463476
Quinta Secondaria di Secondo Grado - Altri licei;Sud e isole;Matematica; ;36,6971207087486;25,2150668286756;26,2330105913905;27,8446005267779;33,0789473684211
