DATAFLOW,FREQ,ITTER107,MISURA1,GEST_SCUOLA,ORDINESCOL,TIPO_DATO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:158_149(1.0),A,IT,9,1,1,1,2010,15983,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,1,2011,15965,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,1,2012,15826,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,1,2013,15758,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,1,2014,15378,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,2,2010,50726,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,2,2011,50759,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,2,2012,50405,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,2,2013,50500,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,2,2014,50047,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,3,2010,1175108,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,3,2011,1180440,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,3,2012,1189694,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,3,2013,1188136,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,3,2014,1166851,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,4,2010,564182,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,4,2011,567174,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,4,2012,572041,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,4,2013,571368,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,4,2014,558698,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,7,2010,109469,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,7,2011,116731,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,7,2012,127102,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,7,2013,134490,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,7,2014,136087,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,8,2010,51680,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,8,2011,55697,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,8,2012,60433,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,8,2013,63765,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1,1,8,2014,64231,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1A,1,1,2010,13553,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1A,1,1,2011,13537,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1A,1,1,2012,13461,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1A,1,1,2013,13411,,,,,,,,,
IT1:158_149(1.0),A,IT,9,1A,1,1,2014,13424,,,,,,,,,
