Informazioni sulla variabile;;;
Variabile;Posizione;Etichetta;Livello di misurazione
GRADO;1;Grado scolastico;Nominale
Ripartizione;2;Ripartizione geografica;Scala
MATERIA;3;Materia;Nominale
Perc.2018;4;Percentuale di studenti che raggiungono i TRAGUARDI nell'anno scolastico 2017-2018;Scala
Perc.2019;5;Percentuale di studenti che raggiungono i TRAGUARDI nell'anno scolastico 2018-2019;Scala
Perc.2021;6;Percentuale di studenti che raggiungono i TRAGUARDI nell'anno scolastico 2020-2021;Scala
Perc.2022;7;Percentuale di studenti che raggiungono i TRAGUARDI nell'anno scolastico 2021-2022;Scala
Perc.2023;8;Percentuale di studenti che raggiungono i TRAGUARDI nell'anno scolastico 2022-2023;Scala
Perc.2024;9;Percentuale di studenti che raggiungono i TRAGUARDI nell'anno scolastico 2023-2024;Scala
Perc.2025;10;Percentuale di studenti che raggiungono i TRAGUARDI nell'anno scolastico 2024-2025;Scala
;;;
Valori di variabile;;;
Valore;;Etichetta;
GRADO;G08;Terza Secondaria di Primo Grado;
;G13;Quinta Secondaria di Secondo Grado;
;G13 - Altri licei;Quinta Secondaria di Secondo Grado - Altri licei;
;G13 - Istituti professionali;Quinta Secondaria di Secondo Grado - Istituti professionali;
;G13 - Istituti tecnici;Quinta Secondaria di Secondo Grado - Istituti tecnici;
;G13 - Licei scientifici;Quinta Secondaria di Secondo Grado - Licei scientifici;
;G13 - Licei scientifici classici e linguistici;Quinta Secondaria di Secondo Grado - Licei scientifici classici e linguistici;
Ripartizione;1;Valle D'Aosta;
;2;Piemonte;
;3;Liguria;
;4;Lombardia;
;6;Veneto;
;7;Friuli-Venezia Giulia;
;8;Emilia-Romagna;
;9;Toscana;
;10;Umbria;
;11;Marche;
;12;Lazio;
;13;Abruzzo;
;14;Molise;
;15;Campania;
;16;Puglia;
;17;Basilicata;
;18;Calabria;
;19;Sicilia;
;20;Sardegna;
;51;Prov. Aut. Bolzano (l. it.);
;54;Prov. Aut. Trento;
;60;Nord ovest;
;61;Nord est;
;62;Centro;
;63;Sud;
;64;Sud e isole;
;99;Italia;
MATERIA;INGLESE Listening;Inglese - Ascolto;
;INGLESE Reading;Inglese - Lettura;
;ITALIANO;Italiano;
;MATEMATICA;Matematica;
