Macro_Track,Component_Type,Content_Description,Socio_Economic_Orientation
Liceo Classico,Quadro Orario Nazionale,"Tutte le materie (Latino, Greco, Filosofia...)",High Academic Focus
Liceo Classico,POF/Autonomia (Proxy),"Certificazioni Cambridge, Teatro Classico",High Cultural Capital
Liceo Classico,PCTO (Triennio),Min. 90 ore,"Orientamento Universitario, Musei, Enti Culturali"
Liceo Scientifico,Quadro Orario Nazionale,"Matematica, Fisica, Scienze (No Latino per Scienze Applicate)",High STEM Academic Focus
Liceo Scientifico,POF/Autonomia (Proxy),"Coding, Robotica, Certificazioni CISCO",High STEM Capital
Liceo Scientifico,PCTO (Triennio),Min. 90 ore,"Centri di Ricerca, Università, Tech Hubs"
Istituto Tecnico,Quadro Orario Nazionale,"Economia Aziendale / Informatica, Laboratori",Applied STEM & Admin
Istituto Tecnico,POF/Autonomia (Proxy),"Simulazione d'Impresa, Certificazioni IT (EIPASS)",Labor Market Alignment
Istituto Tecnico,PCTO (Triennio),Min. 150 ore,"Banche, Aziende Tech, PMI Locali"
Istituto Professionale,Quadro Orario Nazionale,"Laboratori (Cucina, Officina), Materie Base",Direct Labor Prep
Istituto Professionale,POF/Autonomia (Proxy),"Corsi di recupero, Materie prime per laboratori",Basic Welfare / Remedial
Istituto Professionale,PCTO (Triennio),Min. 210 ore,"Ristoranti, Officine, Cantieri (Heavy manual focus)"
