CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
AO1E001010,3,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788861619302,"AA VV  ",IN VIA DEGLI IPPOCASTANI 3,ND,3,LANG EDIZIONI,"26,71",No,Si,No
AO1E001010,5,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788861615373,"FOSTER - BROWN ",TOP SECRET PREMIUM 5,ND,5,LANG EDIZIONI,"10,08",No,Si,No
AO1E001010,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788842618249,"AA VV  ",SFOGLIASTORIE LINGUAGGI 5,ND,2,IL CAPITELLO,"20,96",No,Si,No
AO1E001010,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE,9788842618287,"AA VV  ",SFOGLIAMONDO DISCIPLINE 5  KIT UNICO,ND,2,IL CAPITELLO,"25,00",No,Si,No
AO1E001010,2,B,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847239272,"PHILIP CURTIS - DONATELLA SANTANDREA ",HAPPY DAYS 2,ND,2,CELTIC PUBLISHING,"6,03",No,Si,No
AO1E001010,2,B,EE,CORSO A ORARIO ORDINARIO,LINGUA FRANCESE,9788853623522,"APICELLA MARIA ANGELA - GUILLEMANT DOMINIQUE ",LEO ET THEO 2,CAHIER + CD AUDIO,2,ELI,"9,90",No,Si,No
AO1E001010,2,B,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788847242364,BARTOLUCCI TIZIANA - GAGLIARDINI MARIA LUISA - PAPALINI PAOLA,VERDE PRATO 2,ND,2,RAFFAELLO,"18,69",Si,Si,No
AO1E001010,3,B,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788883397097,"AA VV  ",BILLY BOT GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
AO1E001010,3,B,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788861619302,"AA VV  ",IN VIA DEGLI IPPOCASTANI 3,ND,3,LANG EDIZIONI,"26,71",No,Si,No
AO1E001010,2,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847239272,"PHILIP CURTIS - DONATELLA SANTANDREA ",HAPPY DAYS 2,ND,2,CELTIC PUBLISHING,"6,03",No,Si,No
AO1E001010,2,A,EE,CORSO A ORARIO ORDINARIO,LINGUA FRANCESE,9788853623522,"APICELLA MARIA ANGELA - GUILLEMANT DOMINIQUE ",LEO ET THEO 2,CAHIER + CD AUDIO,2,ELI,"9,90",No,Si,No
AO1E001010,2,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788847242364,BARTOLUCCI TIZIANA - GAGLIARDINI MARIA LUISA - PAPALINI PAOLA,VERDE PRATO 2,ND,2,RAFFAELLO,"18,69",Si,Si,No
AO1E001010,2,C,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788847239272,"PHILIP CURTIS - DONATELLA SANTANDREA ",HAPPY DAYS 2,ND,2,CELTIC PUBLISHING,"6,03",No,Si,No
AO1E001010,2,C,EE,CORSO A ORARIO ORDINARIO,LINGUA FRANCESE,9788853623522,"APICELLA MARIA ANGELA - GUILLEMANT DOMINIQUE ",LEO ET THEO 2,CAHIER + CD AUDIO,2,ELI,"9,90",No,Si,No
AO1E001010,2,C,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788847242364,BARTOLUCCI TIZIANA - GAGLIARDINI MARIA LUISA - PAPALINI PAOLA,VERDE PRATO 2,ND,2,RAFFAELLO,"18,69",Si,Si,No
AO1E001010,4,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788842632931,BERGER MARELLA - GENNESI MARINA - STIO NICOLETTA,NUOVO COME FARFALLE DAI MILLE COLORI 4-5 (IL),CORSO DI IRC PER LA SCUOLA PRIMARIA,U,IL CAPITELLO,"8,19",No,Si,No
AO1E001010,4,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788853640024,"BERTARINI MARIAGRAZIA  ",THE STORY GARDEN PREMIUM 4,ND,1,ELI,"8,06",No,Si,No
AO1E001010,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788847248854,"MEIANI ANTONELLA  ",NUVOLE DI PAROLE 4,ND,1,RAFFAELLO,"17,28",No,Si,No
