ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ESONERO_PARZIALE;DESCRIZIONE_ESONERO_PARZIALE;ESONERO_PARZIALE_LAUREA;ESONERO_PARZIALE_DOTTORATO;ESONERO_PARZIALE_SPECIALIZZAZIONE;ESONERO_PARZIALE_MASTER
2023-2024;00101;Torino - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);120;N;3;
2023-2024;00101;Torino - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;400;3;0;4
2023-2024;00101;Torino - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00101;Torino - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);7254;0;0;
2023-2024;00102;Torino - Politecnico;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;00102;Torino - Politecnico;15 ;Altre tipologie non comprese nelle precedenti voci;1332;0;0;0
2023-2024;00102;Torino - Politecnico;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00102;Torino - Politecnico;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);2319;0;0;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);58;0;0;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";15 ;Altre tipologie non comprese nelle precedenti voci;37;2;2;15
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);21;0;0;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;15 ;Altre tipologie non comprese nelle precedenti voci;19;0;0;2
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;00701;Aosta - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);N;0;0;
2023-2024;00701;Aosta - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;25;0;0;0
2023-2024;00701;Aosta - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01001;Genova - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);25;0;0;
2023-2024;01001;Genova - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;1695;0;1;28
2023-2024;01001;Genova - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01001;Genova - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);1893;0;0;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";15 ;Altre tipologie non comprese nelle precedenti voci;1;0;0;36
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);N;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01202;Varese - Università dell' Insubria;15 ;Altre tipologie non comprese nelle precedenti voci;104;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);919;0;0;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);7;0;0;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";15 ;Altre tipologie non comprese nelle precedenti voci;129;0;0;0
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01501;Milano - Università degli studi;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);6;0;0;
2023-2024;01501;Milano - Università degli studi;15 ;Altre tipologie non comprese nelle precedenti voci;6558;0;0;23
2023-2024;01501;Milano - Università degli studi;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01501;Milano - Università degli studi;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);3636;0;0;
2023-2024;01502;Milano - Politecnico;09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01502;Milano - Politecnico;15 ;Altre tipologie non comprese nelle precedenti voci;4945;0;0;0
2023-2024;01502;Milano - Politecnico;19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01502;Milano - Politecnico;24 ;Studenti con requisiti per ulteriore agevolazione tasse (normativa vigente);3840;0;0;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";15 ;Altre tipologie non comprese nelle precedenti voci;538;0;0;428
2023-2024;01503;"Milano - Università commerciale ""Luigi Bocconi""";19 ;Altre situazioni di disabilità non incluse nelle precedenti (incluso DSA);0;0;0;0
2023-2024;01504;"Milano - Università Cattolica del ""Sacro Cuore""";09 ;Studenti in situazione di disabilità con invalidità inferiore al 66% (d.lgs. 68/12 art. 9, c. 7a);0;0;0;
