AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2017;101;Torino;13;Scienze dei Beni Culturali;TORINO;1;F;7
2017;101;Torino;14/S;Farmacia;TORINO;1;F;10
2017;101;Torino;17;Economia Aziendale;TORINO;1;F;9
2017;101;Torino;17;Economia Aziendale;TORINO;1;M;8
2017;101;Torino;18;Scienze dell'Educazione;TORINO;1;F;11
2017;101;Torino;18-bis;Scienze della Formazione Primaria;TORINO;1;F;46
2017;101;Torino;26;Informatica;TORINO;1;M;11
2017;101;Torino;3;Scienze della Mediazione Linguistica;TORINO;1;F;6
2017;101;Torino;33;Scienze Motorie e Sportive;TORINO;1;M;12
2017;101;Torino;38;Societa' e Culture d'Europa;TORINO;1;M;6
2017;101;Torino;46/S;Medicina e Chirurgia (Orbassano);ORBASSANO;1;F;7
2017;101;Torino;46/S;Medicina e Chirurgia (Torino);TORINO;1;F;22
2017;101;Torino;46/S;Medicina e Chirurgia (Torino);TORINO;1;M;15
2017;101;Torino;47/S;Medicina Veterinaria;GRUGLIASCO;1;F;15
2017;101;Torino;5;Lettere;TORINO;1;F;6
2017;101;Torino;99999;Lingue e letterature straniere;TORINO;1;F;8
2017;101;Torino;99999;Psicologia;TORINO;1;F;7
2017;101;Torino;99999;Scienze strategiche;TORINO;1;M;38
2017;101;Torino;DS1;Corso di Laurea Triennale Interdipartimentale in Scienze Strategiche;TORINO;1;F;25
2017;101;Torino;DS1;Corso di Laurea Triennale Interdipartimentale in Scienze Strategiche;TORINO;1;M;125
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ASTI;5;F;35
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ASTI;5;M;8
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);CUNEO;4;F;49
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);CUNEO;4;M;8
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);IVREA;1;F;37
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);IVREA;1;M;9
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ORBASSANO;1;F;79
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);ORBASSANO;1;M;19
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);TORINO;1;F;160
2017;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);TORINO;1;M;27
2017;101;Torino;L/SNT1;Infermieristica Pediatrica (Abilitante alla Professione Sanitaria di Infermiere Pediatrico);TORINO;1;F;23
2017;101;Torino;L/SNT1;Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o);TORINO;1;F;23
2017;101;Torino;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);SAVIGLIANO;4;F;10
2017;101;Torino;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);TORINO;1;F;53
2017;101;Torino;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);TORINO;1;M;16
2017;101;Torino;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);TORINO;1;F;25
2017;101;Torino;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);TORINO;1;M;25
2017;101;Torino;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);TORINO;1;F;27
2017;101;Torino;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);TORINO;1;F;7
2017;101;Torino;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);ORBASSANO;1;F;19
2017;101;Torino;L/SNT2;Terapia della Neuro e Psicomotricita dell'Eta Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricita dell'Eta Evolutiva);TORINO;1;F;12
2017;101;Torino;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);TORINO;1;F;13
2017;101;Torino;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);TORINO;1;F;17
2017;101;Torino;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);TORINO;1;M;7
2017;101;Torino;L/SNT3;Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista);TORINO;1;F;13
2017;101;Torino;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);TORINO;1;F;17
2017;101;Torino;L/SNT3;Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico);TORINO;1;M;15
2017;101;Torino;L/SNT3;Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia);TORINO;1;F;6
2017;101;Torino;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);CUNEO;4;M;6
2017;101;Torino;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);TORINO;1;F;9
2017;101;Torino;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);TORINO;1;M;16
2017;101;Torino;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);COLLEGNO;1;F;8
2017;101;Torino;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);COLLEGNO;1;M;10
2017;101;Torino;L-1;Beni Culturali;TORINO;1;F;11
2017;101;Torino;L-1;Beni Culturali - Archeologia, Storia dell'Arte, Archivistica e Biblioteconomia;TORINO;1;F;31
2017;101;Torino;L-1;Beni Culturali - Archeologia, Storia dell'Arte, Archivistica e Biblioteconomia;TORINO;1;M;8
2017;101;Torino;L-1;Beni Culturali Archeologici e Storico-Artistici;TORINO;1;F;17
2017;101;Torino;L-1;Beni Culturali Archeologici e Storico-Artistici;TORINO;1;M;6
2017;101;Torino;L-10;Culture e Letterature del Mondo Moderno;TORINO;1;F;39
2017;101;Torino;L-10;Culture e Letterature del Mondo Moderno;TORINO;1;M;10
2017;101;Torino;L-10;Lettere;TORINO;1;F;72
2017;101;Torino;L-10;Lettere;TORINO;1;M;30
2017;101;Torino;L-11;Lingue e Letterature Moderne;TORINO;1;F;95
2017;101;Torino;L-11;Lingue e Letterature Moderne;TORINO;1;M;35
2017;101;Torino;L-12;Lingue e Culture dell'Asia e dell'Africa;TORINO;1;F;90
2017;101;Torino;L-12;Lingue e Culture dell'Asia e dell'Africa;TORINO;1;M;20
2017;101;Torino;L-12;Scienze della Mediazione Linguistica;TORINO;1;F;267
2017;101;Torino;L-12;Scienze della Mediazione Linguistica;TORINO;1;M;56
2017;101;Torino;L-13;Scienze Biologiche;TORINO;1;F;112
2017;101;Torino;L-13;Scienze Biologiche;TORINO;1;M;37
2017;101;Torino;L-14;Diritto per le Imprese e le Istituzioni;TORINO;1;F;80
2017;101;Torino;L-14;Diritto per le Imprese e le Istituzioni;TORINO;1;M;30
2017;101;Torino;L-14;Scienze del Diritto Italiano ed Europeo;CUNEO;4;M;7
2017;101;Torino;L-15;Lingue e Culture per il Turismo;TORINO;1;F;187
2017;101;Torino;L-15;Lingue e Culture per il Turismo;TORINO;1;M;29
2017;101;Torino;L-15;Scienze del Turismo;TORINO;1;F;8
2017;101;Torino;L-16;Scienze dell'Amministrazione (On Line);TORINO;1;F;20
2017;101;Torino;L-16;Scienze dell'Amministrazione (On Line);TORINO;1;M;35
2017;101;Torino;L-16;Scienze dell'Amministrazione e Consulenza del Lavoro;TORINO;1;F;65
2017;101;Torino;L-16;Scienze dell'Amministrazione e Consulenza del Lavoro;TORINO;1;M;47
2017;101;Torino;L-18;Amministrazione Aziendale;TORINO;1;F;19
2017;101;Torino;L-18;Amministrazione Aziendale;TORINO;1;M;15
2017;101;Torino;L-18;Banca, Borsa e Assicurazione;TORINO;1;F;24
2017;101;Torino;L-18;Banca, Borsa e Assicurazione;TORINO;1;M;28
2017;101;Torino;L-18;Economia Aziendale;CUNEO;4;F;53
2017;101;Torino;L-18;Economia Aziendale;CUNEO;4;M;33
2017;101;Torino;L-18;Economia Aziendale;TORINO;1;F;370
2017;101;Torino;L-18;Economia Aziendale;TORINO;1;M;379
2017;101;Torino;L-18;Management dell'Informazione e della Comunicazione Aziendale;TORINO;1;F;107
2017;101;Torino;L-18;Management dell'Informazione e della Comunicazione Aziendale;TORINO;1;M;120
2017;101;Torino;L-19;Scienze dell?Educazione;TORINO;1;F;6
2017;101;Torino;L-19;Scienze dell'Educazione;SAVIGLIANO;4;F;34
2017;101;Torino;L-19;Scienze dell'Educazione;TORINO;1;F;273
2017;101;Torino;L-19;Scienze dell'Educazione;TORINO;1;M;21
2017;101;Torino;L-2;Biotecnologie;TORINO;1;F;33
2017;101;Torino;L-2;Biotecnologie;TORINO;1;M;27
2017;101;Torino;L-20;Comunicazione Interculturale;TORINO;1;F;80
2017;101;Torino;L-20;Comunicazione Interculturale;TORINO;1;M;20
2017;101;Torino;L-20;Scienze della Comunicazione;TORINO;1;F;137
2017;101;Torino;L-20;Scienze della Comunicazione;TORINO;1;M;72
2017;101;Torino;L-22;Scienze delle Attivita Motorie e Sportive;ASTI;5;F;26
2017;101;Torino;L-22;Scienze delle Attivita Motorie e Sportive;ASTI;5;M;60
2017;101;Torino;L-22;Scienze delle Attivita Motorie e Sportive;TORINO;1;F;80
2017;101;Torino;L-22;Scienze delle Attivita Motorie e Sportive;TORINO;1;M;208
2017;101;Torino;L-24;Scienze e Tecniche Psicologiche;TORINO;1;F;283
2017;101;Torino;L-24;Scienze e Tecniche Psicologiche;TORINO;1;M;74
2017;101;Torino;L-25;Scienze e Tecnologie Agrarie;GRUGLIASCO;1;F;32
2017;101;Torino;L-25;Scienze e Tecnologie Agrarie;GRUGLIASCO;1;M;66
