Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,:,not available
Source: ,Eurydice,,,,,,-,not applicable
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/school-year-eu-time-holidays,,,,,,,
Copyright: ,"European Commission, 2026",,,,,,,
Last update: ,2026-01-06 00:00:00,,,,,,,
UnitCode,TrackCode,RefYear,ISCED,SubjectID,FlexStatus,Nr_Hours,Proportion,Notes
AL,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
AL,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
AT,AHS,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
AT,AHS,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
AT,MS,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
AT,MS,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
BA,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
BA,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
BE_de,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,3215.333333333334,0.630952380952381,-
BE_de,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,1031.3333333333333,0.6071428571428572,-
BE_fr,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,649,0.13095238095238096,-
BE_fr,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
BE_nl,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,4576.000000000001,0.9285714285714287,-
BE_nl,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,1424,0.7499999999999999,-
BG,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
BG,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
CY,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
CY,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
CZ,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
CZ,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
DE,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,The data represent the weighted average instruction time for the compulsory core curriculum subjects based on the number of students enrolled in the different types of school (school year n-1).
DE,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,The data represent the weighted average instruction time for the compulsory core curriculum subjects based on the number of students enrolled in the different types of school (school year n-1).
DK,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,600,0.08571428571428572,-
DK,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
EE,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
EE,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
EL,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
EL,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
ES,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,"National regulations allow for vertical flexibility across two-year cycles for all subjects (grades 1-6) in primary education, as well as throughout the three years of lower secondary education (grades 7-9). However, only about half of the autonomous communities include provisions in their recommended instruction time frameworks enabling schools to apply vertical flexibility in primary education. 
Data are based on national and regional regulations on the curriculum and school calendars (school year n). To calculate the weighted averages, statistics on the number of students per grade and autonomous community reported by the Statistics Office of the Ministry of Education and Vocational Training were used (school year n-1)."
ES,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,"National regulations allow for vertical flexibility across two-year cycles for all subjects (grades 1-6) in primary education, as well as throughout the three years of lower secondary education (grades 7-9). However, only about half of the autonomous communities include provisions in their recommended instruction time frameworks enabling schools to apply vertical flexibility in primary education. 
Data are based on national and regional regulations on the curriculum and school calendars (school year n). To calculate the weighted averages, statistics on the number of students per grade and autonomous community reported by the Statistics Office of the Ministry of Education and Vocational Training were used (school year n-1)."
FI,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,171,0.04316546762589928,-
FI,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,142.5,0.05813953488372093,-
FR,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
FR,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
HR,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
HR,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
HU,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
HU,,2024/2025,ISCED 24,Compulsory flexible subjects,Horizontal,,,-
IE,,2024/2025,ISCED 1,Compulsory flexible subjects,Horizontal,,,-
