System-level indicators for monitoring education and training systems in Europe – 2025. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
System-level indicators on equity in school education,,,,,,,,
"Indicator 3: Educational tracking, ISCED 24 and 34, 2024/2025",,,,,,,,
,Existence of educational tracks at ISCED 2,Earliest (theoretical) enrolment age in the educational track,Possibility to change from any track to any track (ISCED 2),Possibility to change from some tracks or to some tracks (ISCED 2),Necessary to meet conditions to change tracks (ISCED 2),Possibility to change from any track to any track (ISCED 3),Possibility to change from some tracks or to some tracks (ISCED 3),Necessary to meet conditions to change tracks (ISCED 3)
BEfr,0,14,,,,1,0,1
BEde,1,12,1,0,1,0,1,1
BEnl,1,12,0,1,1,0,1,1
BG,0,14,,,,1,0,1
CZ,1,11,1,0,1,1,0,1
DK,1,14,1,0,0,1,0,0
DE,1,10,1,0,1,0,1,1
EE,0,16,,,,0,1,1
IE,1,12,1,0,0,1,0,0
EL,0,4,,,,0,1,1
ES,0,15,,,,1,0,0
FR,0,15,,,,1,0,1
HR,0,15,,,,1,0,1
IT,0,14,,,,1,0,0
CY,0,15,,,,1,0,1
LV,1,13,0,0,0,0,0,0
LT,0,17,,,,0,1,1
LU,1,12,0,1,1,0,1,1
HU,1,10,1,0,1,0,1,1
MT,0,14,,,,1,0,1
NL,1,12,0,1,1,0,1,1
AT,1,10,1,0,1,1,0,1
PL,0,15,,,,1,0,1
PT,1,12,1,0,1,1,0,1
RO,0,15,,,,1,0,1
SI,0,15,,,,1,0,1
SK,1,11,1,,1,1,0,1
FI,0,16,,,,1,0,1
SE,0,16,,,,1,0,1
AL,0,15,,,,0,0,0
BA,0,15,,,,1,0,1
IS,0,16,,,,1,0,1
LI,1,11,0,1,1,0,1,1
ME,0,15,,,,0,1,1
NO,0,16,,,,0,1,1
RS,0,15,,,,0,1,1
TR,1,10,1,0,1,0,1,1
Total,15,,10,4,12,21,14,31
Source:,Eurydice,,,,,,,
Explanatory notes:,,,,,,,,
All education systems have tracks at ISCED 3.,,,,,,,,
,not applicable,,,,,,,
