freq,ref_area,data_type,econ_activity_nace_2007,pers_empl_size_class,info_innov_enterprises,enterprise_goals,enterprises_strategies,obstacles,degree_importance,time_period,obs_value,year,source,flow_id,description
A,IT,POPI_MAN2018,00100,W_GE10,ALL,ALL,ALL,ALL,ALL,2022,91813,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,00100,W_GE10,EMPUD0,ALL,ALL,ALL,ALL,2022,28712,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,00100,W_GE10,EMPUD1,ALL,ALL,ALL,ALL,2022,16163,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,00100,W_GE10,EMPUD2,ALL,ALL,ALL,ALL,2022,11035,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,00100,W_GE10,EMPUD3,ALL,ALL,ALL,ALL,2022,10723,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,00100,W_GE10,EMPUD4,ALL,ALL,ALL,ALL,2022,8546,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,00100,W_GE10,EMPUD5,ALL,ALL,ALL,ALL,2022,6250,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,00100,W_GE10,EMPUD6,ALL,ALL,ALL,ALL,2022,9584,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,0011,W_GE10,ALL,ALL,ALL,ALL,ALL,2022,53884,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,0011,W_GE10,EMPUD0,ALL,ALL,ALL,ALL,2022,19407,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,0011,W_GE10,EMPUD1,ALL,ALL,ALL,ALL,2022,10339,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
A,IT,POPI_MAN2018,0011,W_GE10,EMPUD2,ALL,ALL,ALL,ALL,2022,7402,2022,ISTAT SDMX,6_471_DF_DCSP_LACIS_13,Employees with a tertiary degree and economic activities (Nace 2 digit)
