ANNOSCOLASTICO,ANNOFINANZIARIO,REGIONE,CODICESCUOLA,DATAAPPROVAZIONEDS,DATAAPPROVAZIONEGIUNTA,DATAAPPROVAZIONECONSIGLIO,TIPOLOGIAVOCE,CODICELIVELLO1,CODICELIVELLO2,IMPORTO,IMPORTOACCERTATOIMPEGNATO,IMPORTORISCOSSOPAGATO,IMPORTODARISCUOTEREDAPAGARE
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,10,01,0,0,0,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,09,13,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,ENTRATA,08,05,0,0,0,0
202526,2025,LIGURIA,GEIC81900P,2025-08-22,2025-09-29,2025-09-29,SPESA,A,A02,18000.04,13253.32,13253.32,0
202526,2025,PUGLIA,LERH03000N,2025-08-26,2025-08-26,2025-08-29,ENTRATA,06,08,2590.56,2590.56,2590.56,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,07,03,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,SPESA,A,A03,384748.58,80984.06,70259.38,10724.68
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,09,18,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,ENTRATA,06,06,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,ENTRATA,11,03,0,0,0,0
202526,2025,PUGLIA,FGIC820009,2025-08-31,2025-08-31,2025-09-23,SPESA,A,A04,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,07,05,0,0,0,0
202526,2025,CAMPANIA,NAIC8D900T,2025-08-28,2025-08-28,2025-08-28,ENTRATA,09,02,0,0,0,0
202526,2025,LIGURIA,GEIC82100P,2025-08-29,-,2025-08-29,ENTRATA,09,11,0,0,0,0
202526,2025,PUGLIA,LEIS02600V,2025-08-26,2025-08-26,2025-08-28,ENTRATA,05,02,0,0,0,0
202526,2025,LAZIO,FRIS028005,2025-08-31,2025-08-31,2025-10-08,ENTRATA,02,03,0,0,0,0
202526,2025,SICILIA,AGPM02000Q,2025-08-25,2025-08-26,2025-08-29,ENTRATA,02,01,0,0,0,0
202526,2025,PUGLIA,LEEE07100P,2025-08-25,2025-08-29,2025-08-29,ENTRATA,12,03,0,0,0,0
202526,2025,PUGLIA,LEPC120003,2025-08-25,2025-08-27,2025-08-27,SPESA,G,G04,0,0,0,0
