freq,ref_area,data_type,sex,type_of_degree,field_study,labprof_status_e,labprof_status_d,employ_sector_pubpriv,econ_activity_nace_2007,professione,y_grad_access_work,y_use_of_graduation,year_educ_attainem,time_period,obs_value,year,source,flow_id,description
A,ITTOT,WORK_O,9,72,1,TOT,9,9,0010,ALL,9,9,2011,2015,100.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,1,TOT,9,9,0010,ART,9,9,2011,2015,1.2,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,1,TOT,9,9,0010,SERV,9,9,2011,2015,10.1,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,1,TOT,9,9,0010,SKIL,9,9,2011,2015,46.4,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,1,TOT,9,9,0010,TECH,9,9,2011,2015,42.3,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,10,TOT,9,9,0010,ALL,9,9,2011,2015,100.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,10,TOT,9,9,0010,ART,9,9,2011,2015,5.2,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,10,TOT,9,9,0010,SERV,9,9,2011,2015,44.1,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,10,TOT,9,9,0010,SKIL,9,9,2011,2015,15.6,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,10,TOT,9,9,0010,TECH,9,9,2011,2015,35.1,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,11,TOT,9,9,0010,ALL,9,9,2011,2015,100.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,11,TOT,9,9,0010,ART,9,9,2011,2015,5.3,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,11,TOT,9,9,0010,SERV,9,9,2011,2015,36.0,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
A,ITTOT,WORK_O,9,72,11,TOT,9,9,0010,SKIL,9,9,2011,2015,35.1,2015,ISTAT SDMX,612_939_DF_DCCV_LAU_OCCUP_RED_2,Degree group and profession group
