ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;COD_QUALIFICA;DESC_QUALIFICA;GRADE;AREA_SD;FoRD;GENERE;N_AcStaff
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;01 - Scienze matematiche e informatiche;01 - Natural sciences;M;866
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;01 - Scienze matematiche e informatiche;01 - Natural sciences;F;226
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;02 - Scienze fisiche;01 - Natural sciences;F;117
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;02 - Scienze fisiche;01 - Natural sciences;M;609
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;03 - Scienze chimiche;01 - Natural sciences;F;296
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;03 - Scienze chimiche;01 - Natural sciences;M;473
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;04 - Scienze della terra;01 - Natural sciences;F;53
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;04 - Scienze della terra;01 - Natural sciences;M;222
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;05 - Scienze biologiche;01 - Natural sciences;F;479
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;05 - Scienze biologiche;01 - Natural sciences;M;705
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;06 - Scienze mediche;03 - Medical and health sciences;F;537
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;06 - Scienze mediche;03 - Medical and health sciences;M;1810
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;F;246
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;M;632
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;08 - Ingegneria civile e Architettura;02 - Engineering and technology;M;792
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;08 - Ingegneria civile e Architettura;02 - Engineering and technology;F;303
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;09 - Ingegneria industriale e dell'informazione;02 - Engineering and technology;F;305
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;09 - Ingegneria industriale e dell'informazione;02 - Engineering and technology;M;1897
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;F;630
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;M;713
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;05 - Social Sciences;F;391
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;05 - Social Sciences;M;354
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;06 - Humanities and the arts;F;193
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;06 - Humanities and the arts;M;429
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;12 - Scienze giuridiche;05 - Social sciences;M;1290
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;12 - Scienze giuridiche;05 - Social sciences;F;576
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;13 - Scienze economiche e statistiche;05 - Social sciences;M;1440
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;13 - Scienze economiche e statistiche;05 - Social sciences;F;588
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;14 - Scienze politiche e sociali;05 - Social sciences;F;176
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;1PO;Prof. I fascia (ordinario);A;14 - Scienze politiche e sociali;05 - Social sciences;M;347
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;01 - Scienze matematiche e informatiche;01 - Natural sciences;F;535
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;01 - Scienze matematiche e informatiche;01 - Natural sciences;M;1010
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;02 - Scienze fisiche;01 - Natural sciences;F;293
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;02 - Scienze fisiche;01 - Natural sciences;M;1006
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;03 - Scienze chimiche;01 - Natural sciences;F;835
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;03 - Scienze chimiche;01 - Natural sciences;M;753
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;04 - Scienze della terra;01 - Natural sciences;F;188
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;04 - Scienze della terra;01 - Natural sciences;M;404
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;05 - Scienze biologiche;01 - Natural sciences;F;1455
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;05 - Scienze biologiche;01 - Natural sciences;M;1049
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;06 - Scienze mediche;03 - Medical and health sciences;M;2608
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;2PA;Prof. II fascia (associato);B;06 - Scienze mediche;03 - Medical and health sciences;F;1644
