freq,classe_eta_pperc,voci_spesa,cond_prof_prev_pperc,itter107,misura1,num_comp_fam,sesso_pperc,tipologia_fam,fam_anziani,fam_minori,tipo_dato,titolo_studio_pperc,time_period,obs_value,year
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2010,47.7,2010
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2011,46.2,2011
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2012,51.9,2012
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2013,56.4,2013
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2014,53.9,2014
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2015,49.2,2015
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2016,46.0,2016
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2017,37.5,2017
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2018,40.9,2018
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2019,35.1,2019
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2020,34.2,2020
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2021,34.2,2021
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2022,34.4,2022
A,1,1,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2023,29.9,2023
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2010,56.9,2010
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2011,56.9,2011
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2012,64.1,2012
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2013,65.0,2013
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2014,63.9,2014
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2015,65.7,2015
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2016,57.9,2016
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2017,57.3,2017
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2018,58.4,2018
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2019,43.8,2019
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2020,48.0,2020
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2021,48.0,2021
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2022,47.4,2022
A,1,2,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2023,34.7,2023
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2010,65.1,2010
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2011,65.3,2011
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2012,59.9,2012
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2013,63.0,2013
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2014,57.4,2014
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2015,54.8,2015
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2016,55.2,2016
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2017,51.9,2017
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2018,54.5,2018
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2019,41.3,2019
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2020,29.1,2020
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2021,27.6,2021
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2022,31.8,2022
A,1,3,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2023,30.3,2023
A,1,4,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2010,54.2,2010
A,1,4,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2011,52.1,2011
A,1,4,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2012,51.5,2012
A,1,4,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2013,54.1,2013
A,1,4,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2014,50.4,2014
A,1,4,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2015,50.2,2015
A,1,4,99,IT,10,99,9,99,9,9,FAM_GIUD_CARICO,99,2016,50.2,2016
