Indicator 3,"Minimum qualification requirement to become school head, by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Category,Qualification,School Year,ISCED level,BE-FR,BE-DE,BE-NL,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Heads,Minimum,2020/2021,ISCED 02,ISCED 6,a,ISCED 6,ISCED 7,ISCED 3,ISCED 6,:,ISCED 5,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,a,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,ISCED 7,a,ISCED 5,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 3,ISCED 6,a,ISCED 6,ISCED 6,:,ISCED 7,a,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6
Heads,Minimum,2020/2021,ISCED 1,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Heads,Minimum,2020/2021,ISCED 24,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Heads,Minimum,2020/2021,ISCED 34,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,a,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Heads,Minimum,2021/2022,ISCED 02,ISCED 6,a,ISCED 6,ISCED 7,ISCED 3,ISCED 6,:,ISCED 6,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,a,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,ISCED 7,a,ISCED 5,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 3,ISCED 6,a,ISCED 6,ISCED 6,:,ISCED 7,a,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6
Heads,Minimum,2021/2022,ISCED 1,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Heads,Minimum,2021/2022,ISCED 24,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Heads,Minimum,2021/2022,ISCED 34,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,a,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6
Heads,Minimum,2022/2023,ISCED 02,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 3,ISCED 6,:,ISCED 6,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,a,ISCED 5,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 3,ISCED 6,a,ISCED 6,ISCED 6,:,ISCED 7,a,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6
Heads,Minimum,2022/2023,ISCED 1,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6
Heads,Minimum,2022/2023,ISCED 24,ISCED 6,ISCED 6,ISCED 5,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6
Heads,Minimum,2022/2023,ISCED 34,ISCED 6,ISCED 7,ISCED 5,ISCED 7,ISCED 7,ISCED 7,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6
Heads,Minimum,2023/2024,ISCED 02,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 3,ISCED 6,:,ISCED 6,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,a,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,ISCED 7,a,ISCED 5,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 3,ISCED 6,a,ISCED 6,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,:,ISCED 6,ISCED 6,ISCED 6
Heads,Minimum,2023/2024,ISCED 1,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,a,ISCED 6,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6
Heads,Minimum,2023/2024,ISCED 24,ISCED 6,ISCED 6,ISCED 5,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6
Heads,Minimum,2023/2024,ISCED 34,ISCED 6,ISCED 6,ISCED 5,ISCED 7,ISCED 7,ISCED 7,:,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 7,ISCED 6,ISCED 6,ISCED 7,ISCED 6,ISCED 7,ISCED 7,a,ISCED 6,ISCED 7,ISCED 7,ISCED 6,ISCED 7,ISCED 7,ISCED 7,a,ISCED 6,ISCED 6,ISCED 7,ISCED 7,ISCED 7,ISCED 6,:,ISCED 7,ISCED 7,ISCED 6
