Informazioni sulla variabile;;;
Variabile;Posizione;Etichetta;Livello di misurazione
GRADO;1;Grado scolastico;Nominale
MATERIA;2;Materia;Nominale
Anno_scolastico;3;Anno scolastico;Nominale
WLE_MASCHI;4;Rendimento medio dei maschi;Scala
WLE_FEMMINE;5;Rendimento medio delle femmine;Scala
WLE_NATIVO;6;Rendimento medio degli studenti nativi;Scala
WLE_ST_PRIMA_GEN;7;Rendimento medio degli studenti stranieri di prima generazione;Scala
WLE_ST_SECONDA_GEN;8;Rendimento medio degli studenti stranieri di seconda generazione;Scala
WLE_ESCS_Q01;9;Rendimento medio degli studenti con ESCS nel primo quartile;Scala
WLE_ESCS_Q02;10;Rendimento medio degli studenti con ESCS nel secondo quartile;Scala
WLE_ESCS_Q03;11;Rendimento medio degli studenti con ESCS nel terzo quartile;Scala
WLE_ESCS_Q04;12;Rendimento medio degli studenti con ESCS nel quarto quartile;Scala
;;;
Valori di variabile;;;
Valore;;Etichetta;
GRADO;G08;Terza Secondaria di Primo Grado;
;G13;Quinta Secondaria di Secondo Grado;
;G13 - Altri licei;Quinta Secondaria di Secondo Grado - Altri licei;
;G13 - Istituti professionali;Quinta Secondaria di Secondo Grado - Istituti professionali;
;G13 - Istituti tecnici;Quinta Secondaria di Secondo Grado - Istituti tecnici;
;G13 - Licei scientifici;Quinta Secondaria di Secondo Grado - Licei scientifici;
;G13 - Licei scientifici classici e linguistici;Quinta Secondaria di Secondo Grado - Licei scientifici classici e linguistici;
MATERIA;INGLESE Listening;Inglese - Ascolto;
;INGLESE Reading;Inglese - Lettura;
;ITALIANO;Italiano;
;MATEMATICA;Matematica;
