RIPARTIZIONE_GEOGRAFICA;MATERIA;GRADO;Anno_scolastico;LIVELLO_1;LIVELLO_2;LIVELLO_3;LIVELLO_4;LIVELLO_5
1;INGLESE Listening;8;2024-2025;,897666068222621;16,6965888689408;82,4057450628366; ; 
1;INGLESE Listening;13;2024-2025;8,0091533180778;27,3455377574371;64,6453089244851; ; 
1;INGLESE Listening;13 Altri licei;2024-2025;5,06329113924051;24,6835443037975;70,253164556962; ; 
1;INGLESE Listening;13 Istituti professionali;2024-2025;24,6376811594203;50;25,3623188405797; ; 
1;INGLESE Listening;13 Istituti tecnici;2024-2025;10,4247104247104;41,3127413127413;48,2625482625483; ; 
1;INGLESE Listening;13 Licei scientifici classici e linguistici;2024-2025;,313479623824451;7,52351097178683;92,1630094043887; ; 
1;INGLESE Reading;8;2024-2025;1,88679245283019;11,141060197664;86,9721473495058; ; 
1;INGLESE Reading;13;2024-2025;6,75057208237986;28,7185354691076;64,5308924485126; ; 
1;INGLESE Reading;13 Altri licei;2024-2025;3,16455696202532;25,9493670886076;70,8860759493671; ; 
1;INGLESE Reading;13 Istituti professionali;2024-2025;23,9130434782609;50,7246376811594;25,3623188405797; ; 
1;INGLESE Reading;13 Istituti tecnici;2024-2025;6,94980694980695;41,3127413127413;51,7374517374517; ; 
1;INGLESE Reading;13 Licei scientifici classici e linguistici;2024-2025;,940438871473354;10,3448275862069;88,7147335423197; ; 
1;ITALIANO;8;2024-2025;12,0704845814978;22,0264317180617;31,9823788546256;22,2907488986784;11,6299559471366
1;ITALIANO;13;2024-2025;10,6043329532497;23,3751425313569;31,6989737742303;24,6294184720639;9,6921322690992
1;ITALIANO;13 Altri licei;2024-2025;11,9496855345912;23,8993710691824;37,1069182389937;23,8993710691824;3,14465408805031
1;ITALIANO;13 Istituti professionali;2024-2025;30,4347826086957;43,4782608695652;21,7391304347826;3,6231884057971;,72463768115942
1;ITALIANO;13 Istituti tecnici;2024-2025;11,1969111969112;32,8185328185328;37,4517374517375;17,7606177606178;,772200772200772
1;ITALIANO;13 Licei scientifici classici e linguistici;2024-2025;,934579439252336;6,85358255451713;28,6604361370717;39,5638629283489;23,98753894081
1;MATEMATICA;8;2024-2025;12,4113475177305;24,0248226950355;27,8368794326241;19,2375886524823;16,4893617021277
1;MATEMATICA;13;2024-2025;15,4109589041096;23,4018264840183;25,3424657534247;19,634703196347;16,2100456621005
1;MATEMATICA;13 Altri licei;2024-2025;13,2530120481928;25,6024096385542;31,9277108433735;24,0963855421687;5,12048192771084
1;MATEMATICA;13 Istituti professionali;2024-2025;42,0289855072464;31,1594202898551;18,8405797101449;7,2463768115942;,72463768115942
1;MATEMATICA;13 Istituti tecnici;2024-2025;12,7413127413127;29,7297297297297;29,7297297297297;19,6911196911197;8,10810810810811
1;MATEMATICA;13 Licei scientifici;2024-2025;0;0;8,84353741496599;21,0884353741497;70,0680272108844
2;INGLESE Listening;8;2024-2025;2,04886388705052;24,9476064416501;73,0035296712994; ; 
2;INGLESE Listening;13;2024-2025;14,8160546312724;34,9881163592542;50,1958290094734; ; 
