ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;QUALIFICA;GENERE;ETA-MEDIA_PERS_TA
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRETTORE GENERALE;F;57
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRIGENTE II FASCIA;F;55
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA EP;F;55
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA D/FUNZIONARIO;F;50
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA C/COLLABORATORE;F;50
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA B/OPERATORE;F;52
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRETTORE GENERALE;M;58
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;DIRIGENTE II FASCIA;M;56
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA EP;M;56
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA D/FUNZIONARIO;M;51
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA C/COLLABORATORE;M;50
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;POSIZIONE ECONOMICA B/OPERATORE;M;52
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;DIRIGENTE II FASCIA;F;58
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA EP;F;56
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA D/FUNZIONARIO;F;48
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA C/COLLABORATORE;F;51
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;POSIZIONE ECONOMICA B/OPERATORE;F;60
