DATAFLOW,FREQ,CITTADINANZA,CONDIZIONE_PROF,CONDIZIONE_PROF_EU,CLASSE_ETA,ITTER107,RUOLO_FAM,SESSO,TIPO_DATO,TITOLO_STUDIO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2018,57.867,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2019,52.401,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2020,61.767,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2021,60.59,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2022,51.404,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2023,35.485,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET,99,2024,35.349,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2018,23.840953,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2019,21.671216,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2020,24.928363,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2021,23.963677,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2022,20.140266,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2023,14.142408,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,1,NEET_I,99,2024,12.887596,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2018,72.498,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2019,65.292,,,,,,,,,
IT1:172_931(1.0),A,FRG,99,TOT,Y15-24,IT,TOT,2,NEET,99,2020,71.865,,,,,,,,,
