GRADO;MATERIA;WLE_MASCHI;WLE_FEMMINE;SIG_DIFF_GENERE;WLE_NATIVO;WLE_ST_PRIMA_GEN;WLE_ST_SECONDA_GEN;WLE_ESCS_Q01;WLE_ESCS_Q02;WLE_ESCS_Q03;WLE_ESCS_Q04;Anno_new
G02;ITALIANO;194,056772494393;196,946143650984;NS;201,282025407609;159,578993739487;172,113691632379; ; ; ; ;2023-2024
G02;MATEMATICA;196,643961000346;187,867035712943;S;196,061176209745;172,389374680811;178,609633352873; ; ; ; ;2023-2024
G05;INGLESE Listening;212,38731406796;215,801489144669;NS;212,21213675586;217,338293961467;226,560210054585;204,642823885104;212,920140125956;215,102346835108;224,260171717647;2023-2024
G05;INGLESE Reading;210,277673710392;211,830189286593;NS;210,979998838149;204,969106158228;214,928502668717;201,243387797753;209,271754985578;212,879382709136;221,126930887878;2023-2024
G05;ITALIANO;193,294234420797;198,122901911608;S;199,948043111217;165,784448024273;177,773463053109;181,178506808949;193,116857173819;199,743309848024;209,85321627495;2023-2024
G05;MATEMATICA;200,497728030977;189,256226030662;S;197,839110771414;174,783155830099;182,078167378189;181,652057131172;192,554084809541;196,913184378476;207,077826644282;2023-2024
G10;ITALIANO; ; ; ;197,903631770206;169,464936485387;183,039168924779;182,631339511404;195,474131608625;201,467692794601;211,778728588147;2023-2024
G10;MATEMATICA; ; ; ;198,113240784919;185,367138864268;191,47963693163;186,030240769038;196,052378914062;201,816693067642;212,147105535397;2023-2024
G10 - Altri licei;ITALIANO;192,256395368623;194,730533824694;NS; ; ; ; ; ; ; ;2023-2024
G10 - Altri licei;MATEMATICA;195,553573852713;189,757526768259;NS; ; ; ; ; ; ; ;2023-2024
G10 - Istituti professionali;ITALIANO;157,754422173624;167,422984687168;S; ; ; ; ; ; ; ;2023-2024
G10 - Istituti professionali;MATEMATICA;168,707263065621;166,808630046542;NS; ; ; ; ; ; ; ;2023-2024
G10 - Istituti tecnici;ITALIANO;184,941940981127;188,872542146724;NS; ; ; ; ; ; ; ;2023-2024
G10 - Istituti tecnici;MATEMATICA;195,927703926599;189,298317976966;S; ; ; ; ; ; ; ;2023-2024
G10 - Licei scientifici;MATEMATICA;226,500543151168;224,705324526788;NS; ; ; ; ; ; ; ;2023-2024
G10 - Licei scientifici classici e linguistici;ITALIANO;213,501107998441;218,978207965973;S; ; ; ; ; ; ; ;2023-2024
