freq,territorio,ind_type,measure,tipo_ateneo,sesso,tipcorsolaurea,grup_corsilaurea,time_period,obs_value,year
A,IT,GRAD,9,1,1,9999,99,2010,107774,2010
A,IT,GRAD,9,1,1,9999,99,2011,109648,2011
A,IT,GRAD,9,1,1,9999,99,2012,111476,2012
A,IT,GRAD,9,1,1,9999,99,2013,112849,2013
A,IT,GRAD,9,1,1,9999,99,2014,112295,2014
A,IT,GRAD,9,1,1,9999,99,2015,112993,2015
A,IT,GRAD,9,1,1,9999,99,2016,116559,2016
A,IT,GRAD,9,1,1,9999,99,2017,118130,2017
A,IT,GRAD,9,1,1,9999,99,2018,121534,2018
A,IT,GRAD,9,1,1,9999,99,2019,126576,2019
A,IT,GRAD,9,1,1,9999,99,2020,126069,2020
A,IT,GRAD,9,1,1,9999,99,2021,127368,2021
A,IT,GRAD,9,1,1,9999,99,2022,119734,2022
A,IT,GRAD,9,1,1,CDL,99,2010,6108,2010
A,IT,GRAD,9,1,1,CDL,99,2011,4425,2011
A,IT,GRAD,9,1,1,CDL,99,2012,3091,2012
A,IT,GRAD,9,1,1,CDL,99,2013,2198,2013
A,IT,GRAD,9,1,1,CDL,99,2014,1603,2014
A,IT,GRAD,9,1,1,L,99,2010,62889,2010
A,IT,GRAD,9,1,1,L,99,2011,62837,2011
A,IT,GRAD,9,1,1,L,99,2012,64375,2012
A,IT,GRAD,9,1,1,L,99,2013,65801,2013
A,IT,GRAD,9,1,1,L,99,2014,65831,2014
A,IT,GRAD,9,1,1,L,99,2015,65402,2015
A,IT,GRAD,9,1,1,L,99,2016,67626,2016
A,IT,GRAD,9,1,1,L,99,2017,68081,2017
A,IT,GRAD,9,1,1,L,99,2018,69453,2018
A,IT,GRAD,9,1,1,L,99,2019,72727,2019
A,IT,GRAD,9,1,1,L,99,2020,72188,2020
A,IT,GRAD,9,1,1,L,99,2021,71490,2021
A,IT,GRAD,9,1,1,L,99,2022,66278,2022
A,IT,GRAD,9,1,1,LS,99,2010,31306,2010
A,IT,GRAD,9,1,1,LS,99,2011,33754,2011
A,IT,GRAD,9,1,1,LS,99,2012,34194,2012
A,IT,GRAD,9,1,1,LS,99,2013,34268,2013
