Country List,OECD only,Eurydice only,Unnamed: 11
Please select a country,Argentina,Albania,
Albania,Australia,Belgium - German-speaking Community,
Argentina,Brazil,Bosnia and Herzegovina,Common
Australia,Canada,Cyprus,OECD only
Austria,Chile,Liechtenstein,Eurydice only
Belgium - Flemish Community,Colombia,Malta,
Belgium - French Community,Costa Rica,Montenegro,
Belgium - German-speaking Community,England (UK),North Macedonia,
Bosnia and Herzegovina,Israel,Serbia,
Brazil,Japan,,
Bulgaria,Korea,,
Canada,Mexico,,
Chile,New Zealand,,
Colombia,Northern Ireland (UK),,
Costa Rica,Peru,,
Croatia,Scotland (UK),,
Cyprus,United States,,
Czech Republic,Wales (UK),,
Denmark,,,
England (UK),,,
Estonia,,,
Finland,,,
France,,,
Germany,,,
Greece,,,
Hungary,,,
Iceland,,,
Ireland,,,
Israel,,,
Italy,,,
Japan,,,
Korea,,,
Latvia,,,
Liechtenstein,,,
Lithuania,,,
Luxembourg,,,
Malta,,,
Mexico,,,
Montenegro,,,
Netherlands,,,
New Zealand,,,
North Macedonia,,,
Northern Ireland (UK),,,
Norway,,,
Peru,,,
Poland,,,
Portugal,,,
Romania,,,
Scotland (UK),,,
Serbia,,,
Slovak Republic,,,
Slovenia,,,
Spain,,,
Sweden,,,
Switzerland,,,
Türkiye,,,
United States,,,
Wales (UK),,,
