AnnoA;Imm_M;Imm_F;Imm;fonte dati;note
2024/2025;159.917;200.694;360.611;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2023/2024;154.974;194.854;349.828;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2022/2023;151.085;187.124;338.209;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2021/2022;148.362;183.078;331.440;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2020/2021;150.443;186.390;336.833;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2019/2020;140.604;172.831;313.435;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2018/2019;133.680;164.458;298.138;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2017/2018;131.520;160.432;291.952;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2016/2017;130.417;158.118;288.535;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2015/2016;123.604;150.743;274.347;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2014/2015;120.358;148.705;269.063;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2013/2014;119.389;149.273;268.662;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2012/2013;118.733;150.662;269.395;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2011/2012;122.411;157.039;279.450;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2010/2011;126.894;161.191;288.085;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2009/2010;130.000;165.896;295.896;Anagrafe Nazionale degli Studenti universitari (ANS) - ottobre 2025;
2008/2009;127.896;167.037;294.933;Rilevazione Istruzione Universitaria;
2007/2008;134.215;173.371;307.586;Rilevazione Istruzione Universitaria;
2006/2007;136.382;171.803;308.185;Rilevazione Istruzione Universitaria;
2005/2006;143.996;179.934;323.930;Rilevazione Istruzione Universitaria;
2004/2005;148.616;183.277;331.893;Rilevazione Istruzione Universitaria;
2003/2004;152.758;185.278;338.036;Rilevazione Istruzione Universitaria;
2002/2003;149.823;180.979;330.802;Rilevazione Istruzione Universitaria;
2001/2002;143.277;175.987;319.264;Rilevazione Istruzione Universitaria;
2000/2001;127.195;156.947;284.142;Rilevazione Istruzione Universitaria;
1999/2000;125.535;152.844;278.379;Rilevazione Istruzione Universitaria;
1998/1999;123.992;154.942;278.934;Rilevazione Istruzione Universitaria;
