System-level indicators for monitoring education and training systems in Europe – 2024. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3
System-level indicators on equity in school and higher education,,,
"Figure 2: Financial measures for teachers working in schools with a large number of disadvantaged students, ISCED 1 to 34, 2023/2024 ",,,
,Increased basic salary,Additional allowance(s),No additional financial measures
BEfr,0,0,1
BEde,0,0,1
BEnl,0,0,1
BG,0,1,0
CZ,0,0,1
DK,0,0,1
DE,0,0,1
EE,1,0,0
IE,0,0,1
EL,0,0,1
ES,0,1,0
FR,0,1,0
HR,0,0,1
IT,0,1,0
CY,0,0,1
LV,0,1,0
LT,1,0,0
LU,0,0,1
HU,1,0,0
MT,0,0,1
NL,0,1,0
AT,0,1,0
PL,0,1,0
PT,0,0,1
RO,1,1,0
SI,0,1,0
SK,0,1,0
FI,0,0,1
SE,0,1,0
AL,0,0,1
BA,0,0,1
IS,0,0,1
LI,0,0,1
ME,1,0,0
MK,0,0,1
NO,0,0,1
RS,0,0,1
TR,0,1,0
Country-specific notes:,,,
"FR: At ISCED 3, there are no additional financial measures",,,
"SK: At ISCED 3, there are no additional financial measures",,,
"MK: At ISCED 3, there are no additional financial measures",,,
