freq,ref_area,data_type,sex,type_of_degree,posiz_prof_desired,full_part_time_pref,place_of_work,y_job_search,year_educ_attainem,time_period,obs_value,year,source,flow_id,description
A,IT,LOOK,1,72,9,9,ALL,9,2011,2015,26139.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,72,9,9,ITAFOR,9,2011,2015,18230.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,72,9,9,ONLFOR,9,2011,2015,816.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,72,9,9,ONLITA,9,2011,2015,7093.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,73,9,9,ALL,9,2011,2015,17465.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,73,9,9,ITAFOR,9,2011,2015,11466.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,73,9,9,ONLFOR,9,2011,2015,677.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,73,9,9,ONLITA,9,2011,2015,5322.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,99,9,9,ALL,9,2011,2015,43604.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,99,9,9,ITAFOR,9,2011,2015,29695.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,99,9,9,ONLFOR,9,2011,2015,1493.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,1,99,9,9,ONLITA,9,2011,2015,12415.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,72,9,9,ALL,9,2011,2015,45691.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,72,9,9,ITAFOR,9,2011,2015,21309.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,72,9,9,ONLFOR,9,2011,2015,821.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,72,9,9,ONLITA,9,2011,2015,23561.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,73,9,9,ALL,9,2011,2015,30002.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,73,9,9,ITAFOR,9,2011,2015,13304.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,73,9,9,ONLFOR,9,2011,2015,433.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
A,IT,LOOK,2,73,9,9,ONLITA,9,2011,2015,16264.0,2015,ISTAT SDMX,612_937_DF_DCCV_LAU_RIC_1,Job search in Italy or abroad (employed or not)
