System-level indicators for monitoring education and training systems in Europe – 2025. Eurydice background report,Unnamed: 1,Unnamed: 2
System-level indicators on equity in school education,,
"Indicator 2: Regulations on the socio-economic composition of schools aiming to tackle educational segregation, ISCED 1 to 34, 2024/2025 ",,
,Existence of regulations/recommendations on the socio-economic composition of schools aiming to tackle segregation,Not applicable (local or school autonomy)
BEfr,0,0
BEde,0,0
BEnl,0,1
BG,1,0
CZ,1,0
DK,0,1
DE,0,0
EE,0,0
IE,1,0
EL,0,0
ES,1,0
FR,1,0
HR,1,0
IT,1,0
CY,0,0
LV,0,0
LT,1,0
LU,0,0
HU,1,0
MT,0,0
NL,1,0
AT,0,0
PL,0,0
PT,1,0
RO,1,0
SI,0,0
SK,1,0
FI,0,0
SE,0,1
AL,1,0
BA,0,0
IS,0,1
LI,0,0
ME,0,0
NO,0,0
RS,1,0
TR,0,0
Total,15,4
Source,Eurydice,
Country notes:,,
TR,"At ISCED 3, data not available.",
