DATAFLOW,FREQ,ATT_ECO,CONDIZIONE_DICH3_OCC,PROFESSIONE_CP2011,ITTER107,ORE_SETT_LAVORO,TIPO_OCC,SETTORE_IMPIEGO,SESSO,RICH_DIPL_LAVORO,UTILITA_DIPL_LAVORO,TIPO_DATO,TIPO_SCUOLA,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:613_935(1.0),A,0010,A1_P,ALL,IT,TOT,9,9,9,9,9,GRAD,ALL,2015,193086,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,IT,TOT,9,9,9,9,9,GRAD_P,ALL,2015,43.4,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC,TOT,9,9,9,9,9,GRAD,ALL,2015,49929,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.3,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC1,TOT,9,9,9,9,9,GRAD,ALL,2015,13718,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.1,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC2,TOT,9,9,9,9,9,GRAD,ALL,2015,316,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,51.4,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC3,TOT,9,9,9,9,9,GRAD,ALL,2015,4368,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC3,TOT,9,9,9,9,9,GRAD_P,ALL,2015,48.1,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC4,TOT,9,9,9,9,9,GRAD,ALL,2015,31527,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITC4,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.5,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD,TOT,9,9,9,9,9,GRAD,ALL,2015,39720,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD,TOT,9,9,9,9,9,GRAD_P,ALL,2015,51.7,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD1,TOT,9,9,9,9,9,GRAD,ALL,2015,1935,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,65,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD2,TOT,9,9,9,9,9,GRAD,ALL,2015,1710,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,47.6,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD3,TOT,9,9,9,9,9,GRAD,ALL,2015,17782,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD3,TOT,9,9,9,9,9,GRAD_P,ALL,2015,54.5,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD4,TOT,9,9,9,9,9,GRAD,ALL,2015,3815,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD4,TOT,9,9,9,9,9,GRAD_P,ALL,2015,49.9,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD5,TOT,9,9,9,9,9,GRAD,ALL,2015,14479,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITD5,TOT,9,9,9,9,9,GRAD_P,ALL,2015,48.4,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITDA,TOT,9,9,9,9,9,GRAD,ALL,2015,3645,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITDA,TOT,9,9,9,9,9,GRAD_P,ALL,2015,55.5,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE,TOT,9,9,9,9,9,GRAD,ALL,2015,38837,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE,TOT,9,9,9,9,9,GRAD_P,ALL,2015,42.4,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE1,TOT,9,9,9,9,9,GRAD,ALL,2015,11756,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,44.7,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE2,TOT,9,9,9,9,9,GRAD,ALL,2015,2411,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,40.5,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE3,TOT,9,9,9,9,9,GRAD,ALL,2015,5296,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE3,TOT,9,9,9,9,9,GRAD_P,ALL,2015,46.8,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE4,TOT,9,9,9,9,9,GRAD,ALL,2015,19375,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITE4,TOT,9,9,9,9,9,GRAD_P,ALL,2015,40.3,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITF,TOT,9,9,9,9,9,GRAD,ALL,2015,46461,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITF,TOT,9,9,9,9,9,GRAD_P,ALL,2015,37.2,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITF1,TOT,9,9,9,9,9,GRAD,ALL,2015,4034,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITF1,TOT,9,9,9,9,9,GRAD_P,ALL,2015,36.8,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITF2,TOT,9,9,9,9,9,GRAD,ALL,2015,826,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITF2,TOT,9,9,9,9,9,GRAD_P,ALL,2015,32.9,,,,,,,,,
IT1:613_935(1.0),A,0010,A1_P,ALL,ITF3,TOT,9,9,9,9,9,GRAD,ALL,2015,22594,,,,,,,,,
