Nome Variabile;Descrizione;Valori
id;Codice identificativo;
Aggregato_territoriale;Aggregazione territoriale;"Provincia; Regione; Area geografica; Italia; Comune istituto principale; Comune plesso; Aree interne SNAI 2014; Aree interne SNAI 2021; Sistemi locali del lavoro (SLL)"
Aggregazione;Sotto aggregazione territoriale;"Istituto Professionale - Settore Industria e Artigianato; Istituto Professionale - Settore Industria e Artigianato_Femmina; Istituto Professionale - Settore Industria e Artigianato_Maschio; Istituto Professionale - Settore Industria e Artigianato_Nativo ; Istituto Professionale - Settore Industria e Artigianato_Straniero I generazione; Istituto Professionale - Settore Industria e Artigianato_Straniero II generazione;Istituto Professionale - Settore Servizi; Istituto Professionale - Settore Servizi_Femmina; Istituto Professionale - Settore Servizi_Maschio; Istituto Professionale - Settore Servizi_Nativo ; Istituto Professionale - Settore Servizio_Straniero I generazione; Istituto Professionale - Settore Servizi_Straniero II generazione ; Istituto Tecnico - Settore Economico; Istituto Tecnico - Settore Economico_Femmina; Istituto Tecnico - Settore Economico_Maschio; Istituto Tecnico - Settore Economico_Nativo ; Istituto Tecnico - Settore Economico_Straniero I generazione; Istituto Tecnico - Settore Economico_Straniero II generazione ;Istituto Tecnico - Settore Tecnologico; Istituto Tecnico - Settore Tecnologico_Femmina; Istituto Tecnico - Settore Tecnologico_Maschio; Istituto Tecnico - Settore Tecnologico_Nativo ; Istituto Tecnico - Settore Tecnologico_Straniero I generazione; Istituto Tecnico - Settore Tecnologico_Straniero II generazione; Liceo Artistico, Musicale, Coreutico; Liceo Artistico, Musicale, Coreutico_Femmina;Liceo Artistico, Musicale, Coreutico_Maschio; Liceo Artistico, Musicale, Coreutico_Nativo ; Liceo Artistico, Musicale, Coreutico_Straniero I generazione; Liceo Artistico, Musicale, Coreutico_Straniero II generazione;  Liceo Classico; Liceo Classico_Femmina;Liceo Classico_Maschio; Liceo Classico_Nativo ; Liceo Classico_Straniero I generazione; Liceo Classico_Straniero II generazione;Liceo delle Scienze Umane; Liceo delle Scienze Umane_Femmina;Liceo delle Scienze Umane_Maschio; Liceo delle Scienze Umane_Nativo ; Liceo delle Scienze Umane_Straniero I generazione; Liceo delle Scienze Umane_Straniero II generazione; Liceo Linguistico; Liceo Linguistico_Femmina;Liceo Linguistico_Maschio; Liceo Linguistico_Nativo ; Liceo Linguistico_Straniero I generazione; Liceo Linguistico_Straniero II generazione; Liceo Scientifico; Liceo Scientifico_Femmina;Liceo Scientifico_Maschio; Liceo Scientifico_Nativo ; Liceo Scientifico_Straniero I generazione; Liceo Scientifico_Straniero II generazione; Maschio; Femmina; Nativo; Straniero I generazione; Straniero II generazione; Totale"
Denominazione;Denominazione dell'aggregato territoriale;-
Grado;Grado scolastico;8: III secondaria di I grado. 13: ultimo anno secondaria di II grado.
Anno;Anno scolastico;Dal 2017-18 al 2024-25 (non è presente l'anno scolastico 2019-20 poiché non si sono svolte le prove).
Pct_dispersione;Percentuale di studenti a rischio dispersione implicita per la III secondaria di I grado e in dispersione implicita per l'ultimo anno della scuola secondaria di II grado;999= dato mancante
Variabilità_Dispersione;Percentuale media di variabilità all'interno del singolo strato della percentuale di studenti a rischio dispersione implicita e in dispersione implicita;999= dato mancante
Pct_eccellenze;Percentuale di studenti Eccellenti;999= dato mancante
Variabilità_Eccellenti;Percentuale media di variabilità all'interno del singolo strato della percentuale di studenti Eccellenti;999= dato mancante
Pct_copertura;Percentuale di copertura del dato (alunni che hanno sostenuto tutte le prove su alunni attesi);
