freq,ref_area,ind_type,measure,tipologia_fam,ampiezza_comune,time_period,obs_value,year
A,ITCD,SOGLIA_POVASS,14,1,1,2010,766.6,2010
A,ITCD,SOGLIA_POVASS,14,1,1,2011,784.49,2011
A,ITCD,SOGLIA_POVASS,14,1,1,2012,806.78,2012
A,ITCD,SOGLIA_POVASS,14,1,1,2013,820.19,2013
A,ITCD,SOGLIA_POVASS,14,1,4,2010,729.48,2010
A,ITCD,SOGLIA_POVASS,14,1,4,2011,746.75,2011
A,ITCD,SOGLIA_POVASS,14,1,4,2012,768.36,2012
A,ITCD,SOGLIA_POVASS,14,1,4,2013,781.22,2013
A,ITCD,SOGLIA_POVASS,14,1,5,2010,686.61,2010
A,ITCD,SOGLIA_POVASS,14,1,5,2011,703.16,2011
A,ITCD,SOGLIA_POVASS,14,1,5,2012,723.99,2012
A,ITCD,SOGLIA_POVASS,14,1,5,2013,736.2,2013
A,ITCD,SOGLIA_POVASS,14,10,1,2010,1070.9,2010
A,ITCD,SOGLIA_POVASS,14,10,1,2011,1095.83,2011
A,ITCD,SOGLIA_POVASS,14,10,1,2012,1126.16,2012
A,ITCD,SOGLIA_POVASS,14,10,1,2013,1145.69,2013
A,ITCD,SOGLIA_POVASS,14,10,4,2010,1026.1,2010
A,ITCD,SOGLIA_POVASS,14,10,4,2011,1050.29,2011
A,ITCD,SOGLIA_POVASS,14,10,4,2012,1079.8,2012
A,ITCD,SOGLIA_POVASS,14,10,4,2013,1098.66,2013
A,ITCD,SOGLIA_POVASS,14,10,5,2010,975.3,2010
A,ITCD,SOGLIA_POVASS,14,10,5,2011,998.65,2011
A,ITCD,SOGLIA_POVASS,14,10,5,2012,1027.23,2012
A,ITCD,SOGLIA_POVASS,14,10,5,2013,1045.32,2013
A,ITCD,SOGLIA_POVASS,14,11,1,2010,1018.49,2010
A,ITCD,SOGLIA_POVASS,14,11,1,2011,1042.17,2011
A,ITCD,SOGLIA_POVASS,14,11,1,2012,1071.26,2012
A,ITCD,SOGLIA_POVASS,14,11,1,2013,1089.62,2013
A,ITCD,SOGLIA_POVASS,14,11,4,2010,973.69,2010
A,ITCD,SOGLIA_POVASS,14,11,4,2011,996.63,2011
A,ITCD,SOGLIA_POVASS,14,11,4,2012,1024.9,2012
A,ITCD,SOGLIA_POVASS,14,11,4,2013,1042.59,2013
A,ITCD,SOGLIA_POVASS,14,11,5,2010,922.9,2010
A,ITCD,SOGLIA_POVASS,14,11,5,2011,944.99,2011
A,ITCD,SOGLIA_POVASS,14,11,5,2012,972.33,2012
A,ITCD,SOGLIA_POVASS,14,11,5,2013,989.25,2013
A,ITCD,SOGLIA_POVASS,14,12,1,2010,1188.95,2010
A,ITCD,SOGLIA_POVASS,14,12,1,2011,1217.58,2011
A,ITCD,SOGLIA_POVASS,14,12,1,2012,1253.06,2012
A,ITCD,SOGLIA_POVASS,14,12,1,2013,1275.37,2013
A,ITCD,SOGLIA_POVASS,14,12,4,2010,1137.26,2010
A,ITCD,SOGLIA_POVASS,14,12,4,2011,1165.02,2011
A,ITCD,SOGLIA_POVASS,14,12,4,2012,1199.56,2012
A,ITCD,SOGLIA_POVASS,14,12,4,2013,1221.09,2013
A,ITCD,SOGLIA_POVASS,14,12,5,2010,1079.45,2010
A,ITCD,SOGLIA_POVASS,14,12,5,2011,1106.26,2011
A,ITCD,SOGLIA_POVASS,14,12,5,2012,1139.74,2012
A,ITCD,SOGLIA_POVASS,14,12,5,2013,1160.4,2013
A,ITCD,SOGLIA_POVASS,14,13,1,2010,1221.54,2010
A,ITCD,SOGLIA_POVASS,14,13,1,2011,1250.93,2011
A,ITCD,SOGLIA_POVASS,14,13,1,2012,1287.25,2012
A,ITCD,SOGLIA_POVASS,14,13,1,2013,1310.15,2013
A,ITCD,SOGLIA_POVASS,14,13,4,2010,1169.85,2010
A,ITCD,SOGLIA_POVASS,14,13,4,2011,1198.37,2011
A,ITCD,SOGLIA_POVASS,14,13,4,2012,1233.75,2012
A,ITCD,SOGLIA_POVASS,14,13,4,2013,1255.87,2013
A,ITCD,SOGLIA_POVASS,14,13,5,2010,1112.05,2010
A,ITCD,SOGLIA_POVASS,14,13,5,2011,1139.61,2011
A,ITCD,SOGLIA_POVASS,14,13,5,2012,1173.93,2012
A,ITCD,SOGLIA_POVASS,14,13,5,2013,1195.18,2013
A,ITCD,SOGLIA_POVASS,14,14,1,2010,1254.68,2010
A,ITCD,SOGLIA_POVASS,14,14,1,2011,1284.84,2011
A,ITCD,SOGLIA_POVASS,14,14,1,2012,1321.98,2012
A,ITCD,SOGLIA_POVASS,14,14,1,2013,1345.49,2013
A,ITCD,SOGLIA_POVASS,14,14,4,2010,1202.99,2010
A,ITCD,SOGLIA_POVASS,14,14,4,2011,1232.28,2011
A,ITCD,SOGLIA_POVASS,14,14,4,2012,1268.48,2012
A,ITCD,SOGLIA_POVASS,14,14,4,2013,1291.21,2013
A,ITCD,SOGLIA_POVASS,14,14,5,2010,1145.18,2010
A,ITCD,SOGLIA_POVASS,14,14,5,2011,1173.52,2011
A,ITCD,SOGLIA_POVASS,14,14,5,2012,1208.66,2012
A,ITCD,SOGLIA_POVASS,14,14,5,2013,1230.52,2013
A,ITCD,SOGLIA_POVASS,14,15,1,2010,1251.13,2010
A,ITCD,SOGLIA_POVASS,14,15,1,2011,1280.87,2011
A,ITCD,SOGLIA_POVASS,14,15,1,2012,1317.42,2012
A,ITCD,SOGLIA_POVASS,14,15,1,2013,1340.76,2013
A,ITCD,SOGLIA_POVASS,14,15,4,2010,1199.44,2010
A,ITCD,SOGLIA_POVASS,14,15,4,2011,1228.31,2011
A,ITCD,SOGLIA_POVASS,14,15,4,2012,1263.92,2012
A,ITCD,SOGLIA_POVASS,14,15,4,2013,1286.48,2013
A,ITCD,SOGLIA_POVASS,14,15,5,2010,1141.64,2010
A,ITCD,SOGLIA_POVASS,14,15,5,2011,1169.55,2011
A,ITCD,SOGLIA_POVASS,14,15,5,2012,1204.1,2012
A,ITCD,SOGLIA_POVASS,14,15,5,2013,1225.79,2013
A,ITCD,SOGLIA_POVASS,14,16,1,2010,1285.2,2010
A,ITCD,SOGLIA_POVASS,14,16,1,2011,1315.72,2011
A,ITCD,SOGLIA_POVASS,14,16,1,2012,1353.11,2012
A,ITCD,SOGLIA_POVASS,14,16,1,2013,1377.06,2013
A,ITCD,SOGLIA_POVASS,14,16,4,2010,1233.51,2010
A,ITCD,SOGLIA_POVASS,14,16,4,2011,1263.16,2011
A,ITCD,SOGLIA_POVASS,14,16,4,2012,1299.61,2012
A,ITCD,SOGLIA_POVASS,14,16,4,2013,1322.78,2013
A,ITCD,SOGLIA_POVASS,14,16,5,2010,1175.71,2010
A,ITCD,SOGLIA_POVASS,14,16,5,2011,1204.4,2011
A,ITCD,SOGLIA_POVASS,14,16,5,2012,1239.79,2012
A,ITCD,SOGLIA_POVASS,14,16,5,2013,1262.09,2013
A,ITCD,SOGLIA_POVASS,14,17,1,2010,1317.13,2010
A,ITCD,SOGLIA_POVASS,14,17,1,2011,1348.02,2011
A,ITCD,SOGLIA_POVASS,14,17,1,2012,1385.67,2012
A,ITCD,SOGLIA_POVASS,14,17,1,2013,1410.09,2013
A,ITCD,SOGLIA_POVASS,14,17,4,2010,1265.43,2010
A,ITCD,SOGLIA_POVASS,14,17,4,2011,1295.46,2011
A,ITCD,SOGLIA_POVASS,14,17,4,2012,1332.17,2012
A,ITCD,SOGLIA_POVASS,14,17,4,2013,1355.81,2013
A,ITCD,SOGLIA_POVASS,14,17,5,2010,1207.63,2010
A,ITCD,SOGLIA_POVASS,14,17,5,2011,1236.7,2011
A,ITCD,SOGLIA_POVASS,14,17,5,2012,1272.35,2012
A,ITCD,SOGLIA_POVASS,14,17,5,2013,1295.12,2013
A,ITCD,SOGLIA_POVASS,14,18,1,2010,1329.64,2010
A,ITCD,SOGLIA_POVASS,14,18,1,2011,1360.71,2011
A,ITCD,SOGLIA_POVASS,14,18,1,2012,1398.45,2012
A,ITCD,SOGLIA_POVASS,14,18,1,2013,1423.15,2013
A,ITCD,SOGLIA_POVASS,14,18,4,2010,1277.95,2010
A,ITCD,SOGLIA_POVASS,14,18,4,2011,1308.15,2011
A,ITCD,SOGLIA_POVASS,14,18,4,2012,1344.95,2012
A,ITCD,SOGLIA_POVASS,14,18,4,2013,1368.87,2013
A,ITCD,SOGLIA_POVASS,14,18,5,2010,1220.15,2010
A,ITCD,SOGLIA_POVASS,14,18,5,2011,1249.39,2011
A,ITCD,SOGLIA_POVASS,14,18,5,2012,1285.13,2012
A,ITCD,SOGLIA_POVASS,14,18,5,2013,1308.18,2013
A,ITCD,SOGLIA_POVASS,14,19,1,2010,1283.18,2010
A,ITCD,SOGLIA_POVASS,14,19,1,2011,1313.12,2011
A,ITCD,SOGLIA_POVASS,14,19,1,2012,1349.73,2012
A,ITCD,SOGLIA_POVASS,14,19,1,2013,1373.37,2013
A,ITCD,SOGLIA_POVASS,14,19,4,2010,1231.48,2010
A,ITCD,SOGLIA_POVASS,14,19,4,2011,1260.56,2011
A,ITCD,SOGLIA_POVASS,14,19,4,2012,1296.23,2012
A,ITCD,SOGLIA_POVASS,14,19,4,2013,1319.09,2013
A,ITCD,SOGLIA_POVASS,14,19,5,2010,1173.68,2010
A,ITCD,SOGLIA_POVASS,14,19,5,2011,1201.8,2011
A,ITCD,SOGLIA_POVASS,14,19,5,2012,1236.41,2012
A,ITCD,SOGLIA_POVASS,14,19,5,2013,1258.4,2013
A,ITCD,SOGLIA_POVASS,14,2,1,2010,737.29,2010
A,ITCD,SOGLIA_POVASS,14,2,1,2011,754.77,2011
A,ITCD,SOGLIA_POVASS,14,2,1,2012,776.79,2012
A,ITCD,SOGLIA_POVASS,14,2,1,2013,789.65,2013
A,ITCD,SOGLIA_POVASS,14,2,4,2010,700.17,2010
A,ITCD,SOGLIA_POVASS,14,2,4,2011,717.03,2011
A,ITCD,SOGLIA_POVASS,14,2,4,2012,738.37,2012
A,ITCD,SOGLIA_POVASS,14,2,4,2013,750.68,2013
A,ITCD,SOGLIA_POVASS,14,2,5,2010,657.3,2010
A,ITCD,SOGLIA_POVASS,14,2,5,2011,673.44,2011
A,ITCD,SOGLIA_POVASS,14,2,5,2012,694.0,2012
A,ITCD,SOGLIA_POVASS,14,2,5,2013,705.66,2013
A,ITCD,SOGLIA_POVASS,14,20,1,2010,1190.39,2010
A,ITCD,SOGLIA_POVASS,14,20,1,2011,1218.08,2011
A,ITCD,SOGLIA_POVASS,14,20,1,2012,1252.21,2012
A,ITCD,SOGLIA_POVASS,14,20,1,2013,1274.1,2013
A,ITCD,SOGLIA_POVASS,14,20,4,2010,1138.69,2010
A,ITCD,SOGLIA_POVASS,14,20,4,2011,1165.52,2011
A,ITCD,SOGLIA_POVASS,14,20,4,2012,1198.71,2012
A,ITCD,SOGLIA_POVASS,14,20,4,2013,1219.82,2013
A,ITCD,SOGLIA_POVASS,14,20,5,2010,1080.89,2010
A,ITCD,SOGLIA_POVASS,14,20,5,2011,1106.76,2011
A,ITCD,SOGLIA_POVASS,14,20,5,2012,1138.89,2012
A,ITCD,SOGLIA_POVASS,14,20,5,2013,1159.13,2013
A,ITCD,SOGLIA_POVASS,14,21,1,2010,1518.36,2010
A,ITCD,SOGLIA_POVASS,14,21,1,2011,1554.9,2011
A,ITCD,SOGLIA_POVASS,14,21,1,2012,1599.47,2012
A,ITCD,SOGLIA_POVASS,14,21,1,2013,1628.12,2013
A,ITCD,SOGLIA_POVASS,14,21,4,2010,1454.45,2010
A,ITCD,SOGLIA_POVASS,14,21,4,2011,1489.93,2011
A,ITCD,SOGLIA_POVASS,14,21,4,2012,1533.33,2012
A,ITCD,SOGLIA_POVASS,14,21,4,2013,1561.02,2013
A,ITCD,SOGLIA_POVASS,14,21,5,2010,1384.51,2010
A,ITCD,SOGLIA_POVASS,14,21,5,2011,1418.82,2011
A,ITCD,SOGLIA_POVASS,14,21,5,2012,1460.93,2012
A,ITCD,SOGLIA_POVASS,14,21,5,2013,1487.57,2013
A,ITCD,SOGLIA_POVASS,14,22,1,2010,1551.39,2010
A,ITCD,SOGLIA_POVASS,14,22,1,2011,1588.32,2011
A,ITCD,SOGLIA_POVASS,14,22,1,2012,1633.15,2012
A,ITCD,SOGLIA_POVASS,14,22,1,2013,1662.24,2013
A,ITCD,SOGLIA_POVASS,14,22,4,2010,1487.49,2010
A,ITCD,SOGLIA_POVASS,14,22,4,2011,1523.35,2011
A,ITCD,SOGLIA_POVASS,14,22,4,2012,1567.01,2012
A,ITCD,SOGLIA_POVASS,14,22,4,2013,1595.14,2013
A,ITCD,SOGLIA_POVASS,14,22,5,2010,1417.54,2010
A,ITCD,SOGLIA_POVASS,14,22,5,2011,1452.24,2011
A,ITCD,SOGLIA_POVASS,14,22,5,2012,1494.61,2012
A,ITCD,SOGLIA_POVASS,14,22,5,2013,1521.69,2013
A,ITCD,SOGLIA_POVASS,14,23,1,2010,1585.97,2010
A,ITCD,SOGLIA_POVASS,14,23,1,2011,1623.29,2011
A,ITCD,SOGLIA_POVASS,14,23,1,2012,1668.41,2012
A,ITCD,SOGLIA_POVASS,14,23,1,2013,1697.95,2013
A,ITCD,SOGLIA_POVASS,14,23,4,2010,1522.07,2010
A,ITCD,SOGLIA_POVASS,14,23,4,2011,1558.32,2011
A,ITCD,SOGLIA_POVASS,14,23,4,2012,1602.27,2012
A,ITCD,SOGLIA_POVASS,14,23,4,2013,1630.85,2013
A,ITCD,SOGLIA_POVASS,14,23,5,2010,1452.12,2010
A,ITCD,SOGLIA_POVASS,14,23,5,2011,1487.21,2011
A,ITCD,SOGLIA_POVASS,14,23,5,2012,1529.87,2012
A,ITCD,SOGLIA_POVASS,14,23,5,2013,1557.4,2013
A,ITCD,SOGLIA_POVASS,14,24,1,2010,1597.78,2010
A,ITCD,SOGLIA_POVASS,14,24,1,2011,1635.25,2011
A,ITCD,SOGLIA_POVASS,14,24,1,2012,1680.44,2012
A,ITCD,SOGLIA_POVASS,14,24,1,2013,1710.25,2013
A,ITCD,SOGLIA_POVASS,14,24,4,2010,1533.88,2010
A,ITCD,SOGLIA_POVASS,14,24,4,2011,1570.28,2011
A,ITCD,SOGLIA_POVASS,14,24,4,2012,1614.3,2012
A,ITCD,SOGLIA_POVASS,14,24,4,2013,1643.15,2013
