ANNO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;TIPO_CONTR;N_PERS_ND
1998;F;7CL;Collaboratori linguistici;Dato non disponibile;1321
1998;M;7CL;Collaboratori linguistici;Dato non disponibile;618
1999;F;7CL;Collaboratori linguistici;Dato non disponibile;1318
1999;M;7CL;Collaboratori linguistici;Dato non disponibile;554
2000;F;7CL;Collaboratori linguistici;Dato non disponibile;1223
2000;M;7CL;Collaboratori linguistici;Dato non disponibile;509
2001;F;7CL;Collaboratori linguistici;Dato non disponibile;1305
2001;M;7CL;Collaboratori linguistici;Dato non disponibile;522
2002;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;346
2002;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1186
2002;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;123
2002;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;448
2003;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;354
2003;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1159
2003;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;130
2003;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;446
2004;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;364
2004;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1101
2004;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;121
2004;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;462
2005;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;374
2005;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1133
2005;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;132
2005;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;422
2006;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;402
2006;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1099
2006;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;131
2006;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;400
2007;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;544
2007;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1130
2007;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;147
2007;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;396
2008;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;504
2008;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1145
2008;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;124
2008;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;414
2009;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;282
2009;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1119
2009;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;75
2009;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;433
2010;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;246
2010;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1115
2010;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;71
2010;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;425
2011;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;297
2011;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1093
2011;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;84
2011;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;390
2012;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;263
2012;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1068
2012;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;75
2012;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;384
2013;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;303
2013;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1043
2013;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;80
2013;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;383
2014;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;269
2014;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1048
2014;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;59
2014;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;365
2015;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;308
2015;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;997
2015;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;72
2015;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;350
2016;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;287
2016;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1016
2016;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;64
2016;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;346
2017;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;281
2017;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;996
2017;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;63
2017;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;336
2018;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;246
2018;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;1004
2018;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;47
2018;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;330
2019;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;237
2019;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;984
2019;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;43
2019;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;316
2020;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;305
2020;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;39
2020;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;949
2020;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;263
2021;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;298
2021;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;38
2021;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;970
2021;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;204
2022;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;264
2022;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;70
2022;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;899
2022;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;255
2023;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;266
2023;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;59
2023;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;914
2023;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;224
2024;M;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;260
2024;M;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;61
2024;F;7CL;Collaboratori linguistici;TI = Contratto a tempo indeterminato;932
2024;F;7CL;Collaboratori linguistici;TD = Contratto a tempo determinato;230
