freq,ref_area,aggr,measure,time_period,obs_value,year
A,IT,FAM_POVASS,14,2010,1156.0,2010
A,IT,FAM_POVASS,14,2011,1297.0,2011
A,IT,FAM_POVASS,14,2012,1725.0,2012
A,IT,FAM_POVASS,14,2013,2028.0,2013
A,IT,INCID_POVASS_FAM,14,2010,4.6,2010
A,IT,INCID_POVASS_FAM,14,2011,5.2,2011
A,IT,INCID_POVASS_FAM,14,2012,6.8,2012
A,IT,INCID_POVASS_FAM,14,2013,7.9,2013
A,IT,INCID_POVASS_INDIV,14,2010,5.2,2010
A,IT,INCID_POVASS_INDIV,14,2011,5.7,2011
A,IT,INCID_POVASS_INDIV,14,2012,8.0,2012
A,IT,INCID_POVASS_INDIV,14,2013,9.9,2013
A,IT,INDIV_POVASS,14,2010,3129.0,2010
A,IT,INDIV_POVASS,14,2011,3415.0,2011
A,IT,INDIV_POVASS,14,2012,4814.0,2012
A,IT,INDIV_POVASS,14,2013,6020.0,2013
A,ITCD,FAM_POVASS,14,2010,435.0,2010
A,ITCD,FAM_POVASS,14,2011,454.0,2011
A,ITCD,FAM_POVASS,14,2012,677.0,2012
A,ITCD,FAM_POVASS,14,2013,699.0,2013
A,ITCD,INCID_POVASS_FAM,14,2010,3.6,2010
A,ITCD,INCID_POVASS_FAM,14,2011,3.7,2011
A,ITCD,INCID_POVASS_FAM,14,2012,5.5,2012
A,ITCD,INCID_POVASS_FAM,14,2013,5.7,2013
A,ITCD,INCID_POVASS_INDIV,14,2010,3.6,2010
A,ITCD,INCID_POVASS_INDIV,14,2011,4.0,2011
A,ITCD,INCID_POVASS_INDIV,14,2012,6.4,2012
A,ITCD,INCID_POVASS_INDIV,14,2013,7.3,2013
A,ITCD,INDIV_POVASS,14,2010,982.0,2010
A,ITCD,INDIV_POVASS,14,2011,1096.0,2011
A,ITCD,INDIV_POVASS,14,2012,1783.0,2012
A,ITCD,INDIV_POVASS,14,2013,2038.0,2013
A,ITE,FAM_POVASS,14,2010,187.0,2010
A,ITE,FAM_POVASS,14,2011,203.0,2011
A,ITE,FAM_POVASS,14,2012,256.0,2012
A,ITE,FAM_POVASS,14,2013,315.0,2013
A,ITE,INCID_POVASS_FAM,14,2010,3.8,2010
A,ITE,INCID_POVASS_FAM,14,2011,4.1,2011
A,ITE,INCID_POVASS_FAM,14,2012,5.1,2012
A,ITE,INCID_POVASS_FAM,14,2013,6.0,2013
A,ITE,INCID_POVASS_INDIV,14,2010,4.6,2010
A,ITE,INCID_POVASS_INDIV,14,2011,4.1,2011
A,ITE,INCID_POVASS_INDIV,14,2012,5.7,2012
A,ITE,INCID_POVASS_INDIV,14,2013,7.6,2013
A,ITE,INDIV_POVASS,14,2010,539.0,2010
A,ITE,INDIV_POVASS,14,2011,491.0,2011
A,ITE,INDIV_POVASS,14,2012,684.0,2012
A,ITE,INDIV_POVASS,14,2013,910.0,2013
A,ITFG,FAM_POVASS,14,2010,534.0,2010
A,ITFG,FAM_POVASS,14,2011,640.0,2011
A,ITFG,FAM_POVASS,14,2012,792.0,2012
A,ITFG,FAM_POVASS,14,2013,1014.0,2013
A,ITFG,INCID_POVASS_FAM,14,2010,6.7,2010
A,ITFG,INCID_POVASS_FAM,14,2011,8.0,2011
A,ITFG,INCID_POVASS_FAM,14,2012,9.8,2012
A,ITFG,INCID_POVASS_FAM,14,2013,12.6,2013
A,ITFG,INCID_POVASS_INDIV,14,2010,7.7,2010
A,ITFG,INCID_POVASS_INDIV,14,2011,8.8,2011
A,ITFG,INCID_POVASS_INDIV,14,2012,11.3,2012
A,ITFG,INCID_POVASS_INDIV,14,2013,14.8,2013
A,ITFG,INDIV_POVASS,14,2010,1608.0,2010
A,ITFG,INDIV_POVASS,14,2011,1828.0,2011
A,ITFG,INDIV_POVASS,14,2012,2347.0,2012
A,ITFG,INDIV_POVASS,14,2013,3072.0,2013
