ANNO_ACCADEMICO;AREA_ISTITUTO;CONTINENTE;PROVENIENZA;GENERE;ISCR_STRANIERI
2019-2020;Area Artistica;AFRICA;Algeria;M;1
2019-2020;Area Artistica;AFRICA;Algeria;F;1
2019-2020;Area Artistica;AFRICA;Angola;F;2
2019-2020;Area Artistica;AFRICA;Burkina Faso;F;1
2019-2020;Area Artistica;AFRICA;Camerun;F;4
2019-2020;Area Artistica;AFRICA;Camerun;M;3
2019-2020;Area Artistica;AFRICA;Congo;F;3
2019-2020;Area Artistica;AFRICA;Congo;M;1
2019-2020;Area Artistica;AFRICA;Costa d Avorio;F;1
2019-2020;Area Artistica;AFRICA;Egitto;F;17
2019-2020;Area Artistica;AFRICA;Egitto;M;21
2019-2020;Area Artistica;AFRICA;Eritrea;M;1
2019-2020;Area Artistica;AFRICA;Etiopia;F;1
2019-2020;Area Artistica;AFRICA;Etiopia;M;4
2019-2020;Area Artistica;AFRICA;Gabon;F;1
2019-2020;Area Artistica;AFRICA;Ghana;F;2
2019-2020;Area Artistica;AFRICA;Ghana;M;1
2019-2020;Area Artistica;AFRICA;Kenya;F;4
2019-2020;Area Artistica;AFRICA;Kenya;M;1
2019-2020;Area Artistica;AFRICA;Libia;M;2
2019-2020;Area Artistica;AFRICA;Madagascar;F;2
2019-2020;Area Artistica;AFRICA;Madagascar;M;1
2019-2020;Area Artistica;AFRICA;Marocco;F;21
2019-2020;Area Artistica;AFRICA;Marocco;M;11
2019-2020;Area Artistica;AFRICA;Mauritius;M;1
2019-2020;Area Artistica;AFRICA;Nigeria;M;2
2019-2020;Area Artistica;AFRICA;Nigeria;F;5
2019-2020;Area Artistica;AFRICA;Repubblica Democratica del Congo (ex Zaire);M;1
2019-2020;Area Artistica;AFRICA;Ruanda;F;1
2019-2020;Area Artistica;AFRICA;Senegal;F;1
2019-2020;Area Artistica;AFRICA;Sud Africa;F;1
2019-2020;Area Artistica;AFRICA;Sud Africa;M;3
2019-2020;Area Artistica;AFRICA;Tunisia;F;12
2019-2020;Area Artistica;AFRICA;Tunisia;M;3
2019-2020;Area Artistica;AFRICA;Zimbabwe;F;1
2019-2020;Area Artistica;ASIA;Afghanistan;F;3
2019-2020;Area Artistica;ASIA;Afghanistan;M;1
2019-2020;Area Artistica;ASIA;Arabia Saudita;M;1
