ANNO_ACCADEMICO;TIPO_ISTITUTO;AREA ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;ISCR_STRANIERI
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;M;9
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;20
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;F;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione arte ambientale;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione arte ambientale;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione per gli spazi interni;F;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione per gli spazi interni;M;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE - Editoria artistica;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuove Tendenze;F;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuove Tendenze;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA E NUOVE TECNOLOGIE;F;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;M;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA DELL'ARTE;F;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA DELL'ARTE;M;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE;F;1
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;CINEMA, FOTOGRAFIA, AUDIOVISIVO;F;3
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;CINEMA, FOTOGRAFIA, AUDIOVISIVO;M;2
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;NUOVE TECNOLOGIE DELL'ARTE;M;4
2024-2025;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;NUOVE TECNOLOGIE DELL'ARTE;F;4
