ANNO_ACCADEMICO;AREA_ISTITUTO;CONTINENTE;PROVENIENZA;GENERE;ISCR_STRANIERI
2024-2025;Area Artistica;AFRICA;Algeria;M;2
2024-2025;Area Artistica;AFRICA;Burkina Faso;M;1
2024-2025;Area Artistica;AFRICA;Burundi;M;1
2024-2025;Area Artistica;AFRICA;Camerun;F;1
2024-2025;Area Artistica;AFRICA;Camerun;M;4
2024-2025;Area Artistica;AFRICA;Congo;F;6
2024-2025;Area Artistica;AFRICA;Congo;M;3
2024-2025;Area Artistica;AFRICA;Costa d Avorio;F;2
2024-2025;Area Artistica;AFRICA;Costa d Avorio;M;2
2024-2025;Area Artistica;AFRICA;Egitto;F;26
2024-2025;Area Artistica;AFRICA;Egitto;M;8
2024-2025;Area Artistica;AFRICA;Eritrea;F;2
2024-2025;Area Artistica;AFRICA;Eritrea;M;1
2024-2025;Area Artistica;AFRICA;Etiopia;M;3
2024-2025;Area Artistica;AFRICA;Etiopia;F;4
2024-2025;Area Artistica;AFRICA;Gabon;F;1
2024-2025;Area Artistica;AFRICA;Gambia;F;1
2024-2025;Area Artistica;AFRICA;Gambia;M;1
2024-2025;Area Artistica;AFRICA;Ghana;F;1
2024-2025;Area Artistica;AFRICA;Ghana;M;2
2024-2025;Area Artistica;AFRICA;Guinea;F;1
2024-2025;Area Artistica;AFRICA;Kenya;M;2
2024-2025;Area Artistica;AFRICA;Kenya;F;3
2024-2025;Area Artistica;AFRICA;Libia;F;2
2024-2025;Area Artistica;AFRICA;Libia;M;2
2024-2025;Area Artistica;AFRICA;Madagascar;F;2
2024-2025;Area Artistica;AFRICA;Madagascar;M;1
2024-2025;Area Artistica;AFRICA;Marocco;F;32
2024-2025;Area Artistica;AFRICA;Marocco;M;4
2024-2025;Area Artistica;AFRICA;Mauritius;F;2
2024-2025;Area Artistica;AFRICA;Mozambico;F;1
2024-2025;Area Artistica;AFRICA;Nigeria;M;4
2024-2025;Area Artistica;AFRICA;Nigeria;F;6
2024-2025;Area Artistica;AFRICA;Repubblica Democratica del Congo (ex Zaire);M;1
2024-2025;Area Artistica;AFRICA;Ruanda;F;2
2024-2025;Area Artistica;AFRICA;Senegal;F;2
2024-2025;Area Artistica;AFRICA;Senegal;M;1
2024-2025;Area Artistica;AFRICA;Somalia;F;1
2024-2025;Area Artistica;AFRICA;Somalia;M;1
2024-2025;Area Artistica;AFRICA;Sud Africa;F;6
2024-2025;Area Artistica;AFRICA;Sud Africa;M;2
2024-2025;Area Artistica;AFRICA;Sudan;F;1
2024-2025;Area Artistica;AFRICA;Tunisia;F;21
2024-2025;Area Artistica;AFRICA;Tunisia;M;5
2024-2025;Area Artistica;AFRICA;Uganda;F;7
2024-2025;Area Artistica;ASIA;Afghanistan;F;3
