ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER
2023-2024;00101;Torino - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO/MIUR;235;6;0;0;1
2023-2024;00101;Torino - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita);1884;97;43;1;0
2023-2024;00101;Torino - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa;107;2;42;0;0
2023-2024;00101;Torino - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea;108;6;10;0;0
2023-2024;00101;Torino - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo in mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50%;;;0;;
2023-2024;00101;Torino - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata);1300;312;0;0;0
2023-2024;00101;Torino - Università degli studi;063c  ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata) - di cui studenti con borsa dell'Ateneo italiano;0;0;0;0;0
2023-2024;00101;Torino - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri in mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei;160;154;0;0;0
2023-2024;00101;Torino - Università degli studi;073   ;Interventi a favore di studenti in situazione di disabilità - N. contributi finanziari;20;0;0;N;0
2023-2024;00101;Torino - Università degli studi;074   ;Interventi a favore di studenti in situazione di disabilità - N. interventi non finanziari;1285;0;0;0;0
