ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_ISCRIZIONE;DESCRIZIONE_ISCRIZIONE;ISCRITTI_LAUREA;ISCRITTI_DOTTORATO;ISCRITTI_SPECIALIZZAZIONE;ISCRITTI_MASTER
2023-2024;00101;Torino - Università degli studi;T1 ;Totale iscritti;74703;1281;2599;2046
2023-2024;00101;Torino - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1195;;
2023-2024;00101;Torino - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;00101;Torino - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;5037;;;
2023-2024;00102;Torino - Politecnico;T1 ;Totale iscritti;35992;1480;0;71
2023-2024;00102;Torino - Politecnico;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1353;;
2023-2024;00102;Torino - Politecnico;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;00102;Torino - Politecnico;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;3768;;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1 ;Totale iscritti;13337;268;643;205
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;226;;
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;1
2023-2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;360;;;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;T1 ;Totale iscritti;290;15;0;98
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;13;;
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;00401;Bra (CN) - Università di Scienze Gastronomiche;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1;;;
2023-2024;00701;Aosta - Università degli studi;T1 ;Totale iscritti;978;0;0;0
2023-2024;00701;Aosta - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;0;;
2023-2024;00701;Aosta - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;00701;Aosta - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;01001;Genova - Università degli studi;T1 ;Totale iscritti;31732;1300;1307;620
2023-2024;01001;Genova - Università degli studi;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;1269;;
2023-2024;01001;Genova - Università degli studi;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01001;Genova - Università degli studi;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;1704;;;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";T1 ;Totale iscritti;2474;28;0;65
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;25;;
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01201;"Castellanza - Università ""Carlo Cattaneo""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;0;;;
2023-2024;01202;Varese - Università dell' Insubria;T1 ;Totale iscritti;10690;249;619;68
2023-2024;01202;Varese - Università dell' Insubria;T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;206;;
2023-2024;01202;Varese - Università dell' Insubria;T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01202;Varese - Università dell' Insubria;T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;33;;;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1 ;Totale iscritti;48630;43;0;14017
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1a;Totale iscritti - di cui dottorandi con supporto finanziario;;29;;
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1b;Totale iscritti - di cui studenti con parziale copertura delle tasse da enti esterni;0;0;0;0
2023-2024;01301;"Novedrate (CO) - Università telematica ""e-Campus""";T1c;Totale iscritti - di cui studenti iscritti a tempo parziale;4526;;;
