CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
TOTAL	Total	Total	Insgesamt	Y			
POP	Population	Population	Bevölkerung	Y			
ACT_INAC	Persons in- and outside the labour force	Personnes actives et inactives	Erwerbs- und Nichterwerbspersonen	Y			
ACT	Persons in the labour force	Personnes comprises dans les forces de travail	Erwerbspersonen	Y			
EMP_W	Persons employed or previously employed	Personnes employées actuellement et auparavant	Erwerbstätige, zuvor gearbeitet	Y			
EMP	Employed persons	Personnes occupées	Erwerbstätige	Y			
EMP_FT	Employed persons working full-time	Personnes occupées à plein temps	Vollzeitbeschäftigte	Y			
EMP_PT	Employed persons working part-time	Personnes occupées à temps partiel	Teilzeitbeschäftigte	Y			
EMP_TEMP	Employed persons with temporary contract	Personnes occupées avec contrat temporaire	Beschäftigte mit befristetem Vertrag	Y			
LEAV	Employed persons on temporary leave from work	Personnes occupées en congé temporaire	Vorübergehend beurlaubte Erwerbstätige	Y			
SAL_SCTR	Employees and subcontractors	Salariés et sous-traitants	Arbeitnehmer und Subunternehmer	Y			
SAL	Employees	Salariés	Arbeitnehmer	Y			
SAL_PERM	Employees with a permanent job	Salariés avec un emploi permanent	Arbeitnehmer mit einer unbefristeten Arbeitsstelle	Y			
SAL_TEMP	Employees with a temporary job	Salariés avec un emploi temporaire	Arbeitnehmer mit einer befristeten Arbeitsstelle	Y			
MW_IS	Manual workers in industry and services	Ouvriers dans l'industrie et les services	Arbeiter in der Industrie und im Dienstleistungsbereich	M			
NMW_IS	Non-manual workers in industry and services	Employés dans l'industrie et les services	Angestellte in der Industrie und im Dienstleistungsbereich	M			
NSAL	Employed persons except employees	Personnes occupées sauf salariés	Erwerbstätige ausgenommen Arbeitnehmer	Y			
SELF_COWN	Self-employed persons and co-owner	Travailleurs indépendants et copropriétaire	Selbstständige und Miteigentümer	Y			
SELF	Self-employed persons	Travailleurs indépendants	Selbstständige	Y			
SELF_S	Self-employed persons with employees (employers)	Travailleurs indépendants avec salariés (employeurs)	Selbständige mit Arbeitnehmern (Arbeitgeber)	Y			
SELF_NS	Self-employed persons without employees (own-account workers)	Travailleurs indépendants sans salariés	Selbständige, die keine Arbeitnehmer beschäftigen	Y			
SELF_I_NS	Independent self-employed without employees (own-account workers)	Travailleurs indépendants économiquement indépendants sans salariés	Unabhängige Selbständige, die keine Arbeitnehmer beschäftigen	Y			
