ANNO_SOLARE;TIPO_ISTITUTO;AREA_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;COD_ISTITUTO;REGIONE_ISTITUTO;AREA_CORSO;TIPO_CORSO;SCUOLA_AGGREGAZIONE;CLASSE;CORSO;GENERE;DIPL_STRANIERI
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Decorazione per gli spazi interni;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Nuove Tendenze;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;F;5
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA - Cinema e Televisione;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;NUOVE TECNOLOGIE DELL'ARTE;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BARI;7238 ;PUGLIA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;WEB DESIGN E COMUNICAZIONE VISIVA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE PER L'ARCHITETTURA;F;14
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE PER L'ARCHITETTURA;M;3
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;GRAFICA;DASL04;GRAFICA D'ARTE;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Arti visive;F;4
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;PITTURA;DASL01;PITTURA - Arti visive;M;5
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;F;3
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 2L;SCULTURA;DASL02;SCULTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arte e Ambiente;M;5
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;DECORAZIONE;DAPL03;DECORAZIONE - Arte e Ambiente;F;13
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;GRAFICA;DAPL04;GRAFICA - Grafica d'arte;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;F;9
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;PITTURA;DAPL01;PITTURA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Arti visive;AFAM_Corso Diploma accademico 1L;SCULTURA;DAPL02;SCULTURA;F;4
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 2L;DIDATTICA DELL'ARTE;DASL10;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Comunicazione e didattica dell'arte;AFAM_Corso Diploma accademico 1L;DIDATTICA DELL'ARTE;DAPL10;DIDATTICA E COMUNICAZIONE DELL'ARTE;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FASHION DESIGN;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FOTOGRAFIA;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;FOTOGRAFIA;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;ILLUSTRAZIONE PER L'EDITORIA;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;ILLUSTRAZIONE PER L'EDITORIA;F;7
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;LINGUAGGI DEL FUMETTO;F;2
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 2L;SCENOGRAFIA;DASL05;SCENOGRAFIA E ALLESTIMENTI DEGLI SPAZI ESPOSITIVI;F;3
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN DEL PRODOTTO;F;5
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN DEL PRODOTTO;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;DESIGN GRAFICO;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;F;9
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;FASHION DESIGN;M;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;ILLUSTRAZIONE E FUMETTO;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;LINGUAGGI DEL CINEMA E DELL'AUDIOVISIVO;F;1
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;F;15
2024;Accademia di Belle Arti statale;Area Artistica;;BOLOGNA;7195 ;EMILIA ROMAGNA;Progettazione e arti applicate;AFAM_Corso Diploma accademico 1L;SCENOGRAFIA;DAPL05;SCENOGRAFIA;M;2
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Arti per l'ambiente;F;3
2024;Accademia di Belle Arti statale;Area Artistica;;CARRARA;7213 ;TOSCANA;Arti visive;AFAM_Corso Diploma accademico 2L;DECORAZIONE;DASL03;DECORAZIONE - Arti per l'ambiente;M;3
