Indicator 1a,"Proportion of teachers per salary range (qualification), by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Category,Year,Range (qualification),ISCED level,BE-FR,BE-DE,BE-NL,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Teachers,2020/2021,Minimum,ISCED 02,98,97,100,:,100,100,:,:,0,100,100,99,:,100,:,100,:,72,:,8,100,:,0,100,10,100,:,63,100,100,:,100,:,:,55,:,:,:,:
Teachers,2020/2021,Minimum,ISCED 1,91,91,100,:,100,100,100,:,:,100,100,99,13,100,:,100,:,79,:,100,100,100,0,100,10,100,:,61,100,100,:,100,:,:,82,100,36,87,:
Teachers,2020/2021,Minimum,ISCED 24,83,52,92,:,100,100,100,:,:,100,100,83,13,100,:,100,:,82,:,100,:,100,0,100,100,100,:,91,100,100,:,100,:,:,100,100,36,89,:
Teachers,2020/2021,Minimum,ISCED 34,60,60,25,:,100,100,100,:,:,100,100,65,100,100,:,100,:,80,:,100,100,100,99,100,100,100,:,97,100,100,:,100,:,:,100,100,11,89,:
Teachers,2020/2021,Higher (if most common),ISCED 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,93,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teachers,2020/2021,Higher (if most common),ISCED 1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,98,0,90,0,0,0,0,0,0,0,0,0,0,0,49,0,0
Teachers,2020/2021,Higher (if most common),ISCED 24,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,0,49,0,0
Teachers,2020/2021,Higher (if most common),ISCED 34,80,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
Teachers,2020/2021,Other (if different from minimum 0nd most common),ISCED 02,1,0,100,0,0,0,:,:,a,0,0,99,0,0,0,0,:,0,:,0,0,0,0,0,0,0,:,0,0,0,0,0,:,0,0,0,:,0,:
